Tower No,Tower Type,Tower Type,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
8,DA,S,,26,8-Jul,,265.871,,144.21907,,11.89123922,79.02038474,GOOD,GOOD,LT-2,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02038473560187 11.891239219502728, 79.02107073495884 11.893537221276883)"
9,DB,T,,24,9-Aug,,265.013,10.12,144.665894," 5d2'35""LT",11.89353722,79.02107073,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02107073495884 11.893537221276883, 79.02142773413745 11.895252219951411)"
10,DA,S,,26,10-Sep,,193.695,9.87,143.463226,,11.89525222,79.02142773,GOOD,GOOD,400KV DC CROSSING,,PLAIN,NEW LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02142773413745 11.895252219951411, 79.02182373445235 11.897120224543484)"
11,DA,S,,26,11-Oct,,211.134,5.22,151.295303,,11.89712022,79.02182373,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02182373445235 11.897120224543484, 79.0221607338671 11.898859215830539)"
12,DA,S,,26,12-Nov,,195.876,4.73,158.112045,,11.89885922,79.02216073,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0221607338671 11.898859215830539, 79.02253673390368 11.900654221016564)"
13,DC,T,,26,13-Dec,,202.783,3.82,150.854187,"4d11'12""RT",11.90065422,79.02253673,GOOD,GOOD,,,PLAIN,D/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02253673390368 11.900654221016564, 79.02316373380599 11.902914217805051)"
14,DA,S,,26,13-14,,259.213,6.32,147.674316,,11.90291422,79.02316373,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02316373380599 11.902914217805051, 79.02381673317043 11.905198222175986)"
15,DA,S,,26,14-15,,262.529,5.38,146.707062,,11.90519822,79.02381673,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02381673317043 11.905198222175986, 79.02441173268265 11.907331220427553)"
16,DA,S,,26,15-16,,244.739,9.85,142.713776,,11.90733122,79.02441173,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02441173268265 11.907331220427553, 79.02519073288056 11.909962218641216)"
17,DC,T,2W,26,16-17,,303.218,,142.970581,"26d48'41""RT",11.90996222,79.02519073,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02519073288056 11.909962218641216, 79.02687373173904 11.911735214681297)"
18,DA,S,,26,17-18,,268.528,,143.246552,,11.91173521,79.02687373,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02687373173904 11.911735214681297, 79.02861173050705 11.913621217537637)"
19,DA,S,,26,18-19,,281.783,3.79,136.814087,,11.91362122,79.02861173,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02861173050705 11.913621217537637, 79.03030872994941 11.915442219599736)"
20,DA,S,,26,19-20,,273.459,3.11,136.44989,,11.91544222,79.03030873,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03030872994941 11.915442219599736, 79.03186372869524 11.917122215570659)"
21,DA,S,,26,20-21,,251.504,7.12,136.593994,,11.91712222,79.03186373,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03186372869524 11.917122215570659, 79.03346572799069 11.918860217793146)"
22,DB,T,,24,21-22,,259.696,,137.210663," 9d14'54""LT",11.91886022,79.03346573,GOOD,GOOD,LT-1,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03346572799069 11.918860217793146, 79.0347907266992 11.920828218561262)"
23,DA,S,,26,22-23,,261.249,9.32,134.825378,,11.92082822,79.03479073,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0347907266992 11.920828218561262, 79.03618672592458 11.922949218385105)"
24,DB,T,,24,23-24,,279.647,8.33,133.712677," 5d58'54""LT",11.92294922,79.03618673,GOOD,GOOD,LT-1,,PLAIN,D/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03618672592458 11.922949218385105, 79.03750972556762 11.925452216765262)"
25,DA,S,,26,24-25,,312.199,,129.818985,,11.92545222,79.03750973,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03750972556762 11.925452216765262, 79.03872472530313 11.927803217333711)"
26,DA,S,,26,25-26,,291.86,,127.816628,,11.92780322,79.03872473,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03872472530313 11.927803217333711, 79.03992872438855 11.930114215488672)"
27,DA,S,,26,26-27,,287.373,11.47,130.499313,,11.93011422,79.03992872,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03992872438855 11.930114215488672, 79.04128272387469 11.932690208912149)"
28,DC,T,,26,27-28,,320.921,,134.297958," 15d14'34""LT",11.93269021,79.04128272,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04128272387469 11.932690208912149, 79.04183372302485 11.935251209383452)"
29,DA,S,,26,28-29,,289.638,6.21,130.680405,,11.93525121,79.04183372,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04183372302485 11.935251209383452, 79.04236172301701 11.937755206239855)"
30,DA,S,,26,29-30,,282.951,,131.870163,,11.93775521,79.04236172,GOOD,GOOD,,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04236172301701 11.937755206239855, 79.04294372275432 11.940301210725101)"
31,DA,S,,26,30-31,,288.737,4.08,134.150177,,11.94030121,79.04294372,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04294372275432 11.940301210725101, 79.04347472251119 11.942833211986049)"
32,DD,T,2W,28,31-32,,286.051,2.74,131.576294," 58d17'36""RT",11.94283321,79.04347472,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04347472251119 11.942833211986049, 79.04602572102525 11.943744213434027)"
33,DA,S,,26,32-33,,295.626,2.45,130.421539,,11.94374421,79.04602572,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04602572102525 11.943744213434027, 79.0487037196606 11.944696207356866)"
34,DA,S,,26,33-34,,310.178,2.99,131.119598,,11.94469621,79.04870372,GOOD,GOOD,,"ROAD,POND",PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0487037196606 11.944696207356866, 79.05035571831856 11.94525820495248)"
35,DB,T,,24,34-35,,190.41,2.28,131.621109,"8d35'53""LT",11.9452582,79.05035572,GOOD,GOOD,LT-1,,PLAIN,D/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05035571831856 11.94525820495248, 79.05257771779095 11.946438209849031)"
36,DA,S,,26,35-36,,275.03,2.55,127.109459,,11.94643821,79.05257772,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05257771779095 11.946438209849031, 79.05456171622491 11.947485211890875)"
37,DA,S,,26,36-37,,245.224,5.55,129.260284,,11.94748521,79.05456172,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05456171622491 11.947485211890875, 79.05675371497583 11.948658211271313)"
38,DA,S,,26,37-38,,271.784,1.42,133.638519,,11.94865821,79.05675371,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05675371497583 11.948658211271313, 79.05893471418725 11.949805206443145)"
39,DA,S,,26,38-39,,269.364,3.81,130.444244,,11.94980521,79.05893471,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05893471418725 11.949805206443145, 79.0611117133059 11.950958206541024)"
40,DD,T,,28,39-40,,269.292,3.01,131.450592," 31d36'16""LT",11.95095821,79.06111171,GOOD,GOOD,,CAR TRACK,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0611117133059 11.950958206541024, 79.06232971240455 11.953029205776001)"
41,DA,S,,26,40-41,,264.778,,129.008682,,11.95302921,79.06232971,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06232971240455 11.953029205776001, 79.06360471118364 11.955171205288629)"
42,DA,S,,26,41-42,,274.691,4.31,123.753441,,11.95517121,79.06360471,GOOD,GOOD,HT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06360471118364 11.955171205288629, 79.06491371086983 11.95738520305058)"
43,DA,S,,26,42-43,,283.437,,126.174339,,11.9573852,79.06491371,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06491371086983 11.95738520305058, 79.06613470978294 11.959443207469285)"
44,DA,S,,26,43-44,,263.698,,123.745247,,11.95944321,79.06613471,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06613470978294 11.959443207469285, 79.06742670988304 11.961681206067384)"
45,DB,T,2W,24,44-45,,284.814,6.02,118.684433," 13d43'36""LT",11.96168121,79.06742671,GOOD,GOOD,"LT-1,HT-1",SOIL ROAD,PLAIN,D/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06742670988304 11.961681206067384, 79.06813070940855 11.963938202731365)"
46,DA,S,,26,45-46,,261.221,,121.973831,,11.9639382,79.06813071,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06813070940855 11.963938202731365, 79.06881770861321 11.966285206709905)"
47,DA,S,,26,46-47,,270.237,,123.842918,,11.96628521,79.06881771,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06881770861321 11.966285206709905, 79.06945470793622 11.968531202472006)"
48,DA,S,,26,47-48,,257.999,4.88,125.126953,,11.9685312,79.06945471,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06945470793622 11.968531202472006, 79.07014670816241 11.970791206817841)"
49,DA,S,,26,48-49,,261.158,,122.644928,,11.97079121,79.07014671,GOOD,GOOD,,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07014670816241 11.970791206817841, 79.07044670810515 11.97325419804694)"
50,DD,T,,28,49-50,,274.454,7.43,121.103752," 65d43'12""LT",11.9732542,79.07044671,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07044670810515 11.97325419804694, 79.06997270806797 11.973603200571956)"
DBT51 ,DB,T,,24,50-51,,65,,122.121368," 9d38'20""RT",11.9736032,79.06997271,GOOD,NIL,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06997270806797 11.973603200571956, 79.0696547081596 11.973871204889312)"
DBT52,DB,T,,24,51-52,,45,,125.379646," 10d30'51""RT",11.9738712,79.06965471,GOOD,NIL,400KV DC CROSSING,,PLAIN,PUGALUR-K.V.PATTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0696547081596 11.973871204889312, 79.06921270844884 11.974319200801709)"
53,DD,T,,28,52A-53,,71.725,6.25,120.293549," 34d35'54""RT",11.9743192,79.06921271,GOOD,GOOD,HT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06921270844884 11.974319200801709, 79.06904470900233 11.976713203150057)"
54,DA,S,,26,53-54,,265.5,,122.382912,,11.9767132,79.06904471,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06904470900233 11.976713203150057, 79.06884870911992 11.979214201322813)"
55,DA,S,2W,26,54-55,,277.529,8.77,125.001358,,11.9792142,79.06884871,GOOD,GOOD,LT-2,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06884870911992 11.979214201322813, 79.06867970909362 11.981527199354163)"
56,DA,S,,26,55-56,,256.568,,125.663406,,11.9815272,79.06867971,GOOD,GOOD,400KV DC CROSSING,,PLAIN,new line on construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06867970909362 11.981527199354163, 79.0685507090204 11.983384200164563)"
57,DA,S,,26,56-57,,205.936,,127.566856,,11.9833842,79.06855071,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0685507090204 11.983384200164563, 79.06835370871505 11.986029201770766)"
58,DD,T,,28,57-58,,293.425,8.22,125.51104," 47d18'30""RT",11.9860292,79.06835371,GOOD,GOOD,400KV DC CROSSING,,PLAIN,new line on construction,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06835370871505 11.986029201770766, 79.07005570831585 11.987766199298287)"
59,DA,S,,26,58-59,,267.023,7.64,125.299599,,11.9877662,79.07005571,GOOD,GOOD,,CAR TRACK,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07005570831585 11.987766199298287, 79.07173370752162 11.989561197186061)"
60,DA,S,,26,59-60,,269.9,3.97,127.013741,,11.9895612,79.07173371,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07173370752162 11.989561197186061, 79.07337370582881 11.991296198925633)"
61,DA,S,,26,60-61,,262.216,5.11,125.352409,,11.9912962,79.07337371,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07337370582881 11.991296198925633, 79.0751237051751 11.99312919757201)"
62,DA,S,,26,61-62,,278.318,7.21,121.83316,,11.9931292,79.07512371,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0751237051751 11.99312919757201, 79.07674970471915 11.9949011930671)"
63,DA,S,,26,62-63,,264.2,5.33,122.869179,,11.99490119,79.0767497,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07674970471915 11.9949011930671, 79.07835070338604 11.996621200469704)"
64,DA,S,,26,63-64,,258.112,,122.750214,,11.9966212,79.0783507,GOOD,GOOD,"LT-1,HT-1",ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07835070338604 11.996621200469704, 79.08015170293731 11.998541199418835)"
65,DA,S,,26,64-65,,289.144,,123.466087,,11.9985412,79.0801517,GOOD,GOOD,,POND,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08015170293731 11.998541199418835, 79.08156470166132 12.00006919628647)"
66,DC,T,2W,26,65-66,,228.615,,120.223465," 27d46'54""LT",12.0000692,79.0815647,GOOD,GOOD,LT-1,,PLAIN,D/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08156470166132 12.00006919628647, 79.08228970108097 12.002769198157916)"
67,DD,T,,28,66-67,,308.983,1.35,119.530632,"60d5'53""LT",12.0027692,79.0822897,GOOD,GOOD,,RIVER,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08228970108097 12.002769198157916, 79.08064370244183 12.00437319260278)"
68,DA,S,,26,67-68,,252.256,2.46,118.234657,,12.00437319,79.0806437,GOOD,GOOD,LT-1,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08064370244183 12.00437319260278, 79.07921070342337 12.006231196843155)"
69,DA,S,,26,68-69,,258.103,3.41,119.959373,,12.0062312,79.0792107,GOOD,GOOD,"HT-,LT-1",,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07921070342337 12.006231196843155, 79.07784870366844 12.007988192119159)"
70,DA,S,,26,69-70,,244.526,,120.831589,,12.00798819,79.0778487,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07784870366844 12.007988192119159, 79.07647370489191 12.009785193240246)"
71,DA,S,,26,70-71,,248.908,7.05,120.352524,,12.00978519,79.0764737,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07647370489191 12.009785193240246, 79.07505770538644 12.011607192661042)"
72,DA,S,,26,71-72,,253.811,,124.837044,,12.01160719,79.07505771,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07505770538644 12.011607192661042, 79.07372870573728 12.01347418847902)"
73,DA,S,,26,72-73,,252.228,,124.261826,,12.01347419,79.07372871,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07372870573728 12.01347418847902, 79.07226070702832 12.015385192789141)"
74,DA,S,,26,73-74,,265.077,7.26,125.646164,,12.01538519,79.07226071,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07226070702832 12.015385192789141, 79.07081270794335 12.017354189704099)"
75,DA,S,,26,74-75,,268.939,,130.291016,,12.01735419,79.07081271,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07081270794335 12.017354189704099, 79.06947370797873 12.019153188740473)"
76,DA,S,,26,75-76,,246.746,10.22,132.471649,,12.01915319,79.06947371,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06947370797873 12.019153188740473, 79.06818070944293 12.020884191584509)"
77,DC,T,,26,76-77,,237.716,6.12,134.288254,"27d20'45""RT",12.02088419,79.06818071,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06818070944293 12.020884191584509, 79.06784170891972 12.023046187002652)"
78,DB,T,,24,77-78,,242.033,3.55,137.960388,"13d21'26""",12.02304619,79.06784171,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06784170891972 12.023046187002652, 79.06795570952818 12.024446193988597)"
79,DB,T,,24,78-79,,155.392,4.85,134.725647," 9d1'2""RT",12.02444619,79.06795571,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06795570952818 12.024446193988597, 79.06801370912866 12.02468218749173)"
MANALURPET GANTRY,T,T,2W,20,79-GANTRY,,26.863,,138.218597,,12.02468219,79.06801371,GOOD,GOOD,,,PLAIN,D/C,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
