S. No ,Tower No,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Availability of Road,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Earthing Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
40,T.NO.39DC,S,26,38-39,NO,237.89283301520456,19.21,82,,78.72361111111111,10.930305555555554,GOOD,GOOD,NO,"2NOS LT,11 KV",TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72361111111111 10.930305555555554, 78.72597222222223 10.930805555555555)"
41,T.NO.40DC,S,26,39-40,YES,266.5276721092952,9.21,,,78.72597222222223,10.930805555555555,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72597222222223 10.930805555555555, 78.72866666666667 10.93136111111111)"
42,T.NO.41DC,S,26,40-41,NO,301.0398644698074,1.1,86,,78.72866666666667,10.93136111111111,GOOD,GOOD,NO,"LT,11KV",,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72866666666667 10.93136111111111, 78.73116666666667 10.931888888888889)"
43,T.NO.42DC,T,27,41-42,YES,279.46556138458277,0.5,88,"4°33'8.1""",78.73116666666667,10.931888888888889,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73116666666667 10.931888888888889, 78.73255555555556 10.932055555555555)"
44,T.NO.43(LILO THATCHANKURUCHI),T,31,42-43,YES,152.0690632574555,1.71,84,,78.73255555555556,10.932055555555555,GOOD,GOOD,NO,11 KV,MUD ROAD,PLAIN LAND,"LILO TO THATCHANKURICI 230KV SS. 2 EARTH WIRE, 1 E/W CONNECTING TO THACHANKURUCHI 230KV TOWER AND OUR E/W CONTINUE TO OUR TOWER, INSIDE OF COMPOUNT WALL",2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73255555555556 10.932055555555555, 78.73272222222222 10.930055555555555)"
45,T.NO.44DC,T,24,43-44,YES,221.50846484954022,1.05,86,"3°9'7.5""",78.73272222222222,10.930055555555555,GOOD,GOOD,NO,,MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73272222222222 10.930055555555555, 78.733 10.927944444444444)"
46,T.NO.45DC,T,227,44-45,YES,236.78260071213003,1.14,85,"7°23'8.9""",78.733,10.927944444444444,GOOD,GOOD,NO,LT,MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.733 10.927944444444444, 78.73341666666667 10.92636111111111)"
47,T.NO.46DC,S,26,45-46,YES,180.6931099959265,-,85,,78.73341666666667,10.92636111111111,GOOD,GOOD,NO,2 NONS LT & 2 NONS 11 KV,"TAAR ROAD ,MUD ROAD",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73341666666667 10.92636111111111, 78.73386111111111 10.925055555555556)"
48,T.NO.47DC,T,27,46-47,YES,151.47607071745688,1.19,80,"3°24'2.5""",78.73386111111111,10.925055555555556,GOOD,GOOD,YES,2 NONS LT  ,TAAR ROAD,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73386111111111 10.925055555555556, 78.73452777777779 10.923416666666666)"
49,T.NO.48DC,T,29,47-48,YES,196.65451939886864,,,"27°5'58.4""",78.73452777777779,10.923416666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73452777777779 10.923416666666666, 78.73469444444444 10.923277777777777)"
50,GANTRY SAMAYAPURAM 110KV S,GANTRY,20,48-GANTRY,YES,22.67156809750927,-,80,,78.73469444444444,10.923277777777777,GOOD,GOOD,NO,,,,NO EARTH WIRE,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,=SUM(G8:G56),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
