,Tower No,Tower Type & Supspension/Tenion,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
85,T.NO 84SC,T,,27,83-84,NO,,330.0802933,4.53,140,"9°58'25.34""",78.60016667,10.32594444,GOOD,GOOD,NO,,,,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60016666666667 10.325944444444444, 78.59869444444443 10.326527777777777)"
86,T.NO 85SC,S,,24,84-85,NO,,174.5537167,6.79,139,,78.59869444,10.32652778,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59869444444443 10.326527777777777, 78.59722222222221 10.327361111111111)"
87,T.NO 86SC,T,2W,28,85-86,YES,,184.8783384,7.13,140,"38°9'51.76""",78.59722222,10.32736111,GOOD,GOOD,NO,11KV,MUD ROAD ,,BUSHES,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59722222222221 10.327361111111111, 78.59458333333333 10.327027777777777)"
88,T.NO 87SC,S,,24,86-87,NO,,292.1044334,3.17,141,,78.59458333,10.32702778,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59458333333333 10.327027777777777, 78.59224999999999 10.326722222222221)"
89,T.NO 88SC,T,,28,87-88,NO,,260.2306669,5.67,138,"32°54'46.25""",78.59225,10.32672222,GOOD,GOOD,NO,"11KV,LT",,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59224999999999 10.326722222222221, 78.59033333333333 10.325083333333334)"
90,T.NO 89SC,S,,24,88-89,YES,,274.5268657,2.99,140,,78.59033333,10.32508333,GOOD,GOOD,NO,LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59033333333333 10.325083333333334, 78.58888888888889 10.323805555555555)"
91,T.NO 90SC,S,,27,89-90,YES,,213.2627487,5.93,142,,78.58888889,10.32380556,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58888888888889 10.323805555555555, 78.58730555555555 10.322277777777778)"
92,T.NO 91SC,T,,28,90-91,YES,,243.2817297,6.96,149,"64°33'24.49""",78.58730556,10.32227778,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58730555555555 10.322277777777778, 78.58402777777778 10.323472222222222)"
93,T.NO 92SC,S,,24,91-92,NO,,384.4801685,4.92,147,,78.58402778,10.32347222,GOOD,GOOD,NO,11KV,,,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58402777777778 10.323472222222222, 78.58288888888889 10.323611111111111)"
94,T.NO 93SC,T,,28,92-93,NO,,123.3207201,6.61,148,"44°49'15.46""",78.58288889,10.32361111,GOOD,GOOD,NO,111KV,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58288888888889 10.323611111111111, 78.58005555555555 10.3215)"
95,T.NO 94SC,S,,24,93-94,NO,,389.011568,6.39,143,,78.58005556,10.3215,GOOD,GOOD,NO,11KV,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58005555555555 10.3215, 78.57880555555555 10.321694444444445)"
96,T.NO 95 (97)SC,T,,28,94-95,YES,,139.5886815,5.33,167,"102°44'17.37""",78.57880556,10.32169444,GOOD,GOOD,NO,11 KV 2 NOS,,,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57880555555555 10.321694444444445, 78.57880555555555 10.321555555555555)"
97,GANTRY KONNAIYUR,GANTRY,2W,20,95-GANTRY,YES,,14.03566885,,162,,78.57880556,10.32155556,GOOD,GOOD,NO,,,BUSHES,INSIDE SS NO EARTH WIRE,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
