,Tower No,Tower Type & Supspension/Tenion,Tower Type,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
84,T.NO.82,DC,T,,26,81-82,NO,,285.1876575,2.61,112,"26°47'16.39""",78.79397222,10.43636111,GOOD,GOOD,LT LINE-1 CROSSING,,WATER LOGGED,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79397222222222 10.436361111111111, 78.79322222222223 10.43663888888889)"
85,T.NO.83,DD+9,T,,37,82-83,NO,,87.09190548,2.72,113,"42°14'6.79""",78.79322222,10.43663889,GOOD,GOOD,,RAILWAY LINE CROSSING,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79322222222223 10.43663888888889, 78.79233333333333 10.438361111111112)"
86,T.NO.84(LILO POINT) DC,DD,T,,28,83-84,YES,,215.1139233,4.68,111,"56°52'51.86""",78.79233333,10.43836111,GOOD,GOOD,,,PLAIN LAND,"POND CROSSING,TAPPING POINT CONNECTING TO T.NELLUR 110KV SS AND  ONE EARTH WIRE CONNECTING TO T.NELLUR 110KV SS AND OUR EARTH WIRE CONTINUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79233333333333 10.438361111111112, 78.79113888888888 10.4385)"
87,T.NO.85 DC,DD,T,,28,84-85,YES,,132.9661611,3.95,114,"43°23'43.60""",78.79113889,10.4385,GOOD,GOOD,LT LINE-1 CROSSING,TAR ROAD CROSSING,PLAIN LAND,TOWER COVERED WITH BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79113888888888 10.4385, 78.78919444444445 10.437055555555556)"
88,T.NO.86 DC,DA,S,,26,85-86,NO,,267.4060583,1.3,111,,78.78919444,10.43705556,GOOD,GOOD,,LT LINE-2 CROSSING,CULTIVATION LAND,TOWER COVERED WITH BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78919444444445 10.437055555555556, 78.7875 10.435666666666666)"
89,T.NO.87 DC,DA,S,,26,86-87,NO,,240.9834019,1.89,114,,78.7875,10.43566667,GOOD,GOOD,,LT LINE-1 CROSSING,CULTIVATION LAND,TOWER COVERED WITH BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7875 10.435666666666666, 78.78597222222223 10.434583333333334)"
90,T.NO.88 DC,DD,T,,28,87-88,YES,,204.8316382,1.19,115,"35°25'31.49""",78.78597222,10.43458333,GOOD,GOOD,,MUD ROAD CROSSING,WATER LOGGED,TOWER COVERED WITH BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78597222222223 10.434583333333334, 78.78522222222222 10.432333333333332)"
91,T.NO.89 DC,DB,T,,24,88-89,YES,,261.8396456,1.76,122,"6°3'48.25""",78.78522222,10.43233333,GOOD,GOOD,,,PLAIN LAND,TOWER COVERED WITH BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78522222222222 10.432333333333332, 78.7851111111111 10.432083333333333)"
92,GANTRY PUDUKOTTAI,T,T,2W,20,89-GANTRY ,YES,,28.63564213,,,,78.78511111,10.43208333,,NO EARTH WIRE,,,,GANTRY TO T.NO 89 NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
