S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
75,78,T,DC,26,76-78,53.66062085290688,2.17,9.24543199999999,"0°8'35"" R",11.053027777777778,79.79883333333333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79883333333333 11.053027777777778, 79.79983333333332 11.051222222222222)"
76,79,S,DA,26,78-79,230.12796817486995,3.12,9.80267699999999,,11.051222222222222,79.79983333333332,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79983333333332 11.051222222222222, 79.80097222222221 11.048944444444444)"
77,80,S,DA,26,79-80,278.7125647011878,,8.41144,,11.048944444444444,79.80097222222221,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80097222222221 11.048944444444444, 79.80202777777778 11.046944444444444)"
78,81,T,DC,26,80-81,249.11328151171153,1.64,7.256437,"0°5'41"" L",11.046944444444444,79.80202777777778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80202777777778 11.046944444444444, 79.80319444444444 11.044694444444444)"
79,82,T,DC,26,81-82,280.68725012392395,1.92,6.81804,"4°34'25"" R",11.044694444444444,79.80319444444444,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80319444444444 11.044694444444444, 79.80411111111111 11.0425)"
80,83,S,DA+3,29,82-83,263.10336349849604,1.8,10.474047,,11.0425,79.80411111111111,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80411111111111 11.0425, 79.80527777777777 11.040277777777778)"
81,84,S,DA,26,83-84,277.51906028239347,1.39,8.233298,,11.040277777777778,79.80527777777777,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80527777777777 11.040277777777778, 79.8063611111111 11.038027777777778)"
82,85,S,DA,26,84-85,274.60690797975826,1.27,11.259781,,11.038027777777778,79.8063611111111,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8063611111111 11.038027777777778, 79.80738888888888 11.035777777777778)"
83,86,T,DC,26,85-86,271.6060999064456,2.07,11.122265,"9°19'35"" L",11.035777777777778,79.80738888888888,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80738888888888 11.035777777777778, 79.80844444444445 11.03425)"
84,87,S,DA,26,86-87,196,1.25,11.07168,,11.03425,79.80844444444445,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80844444444445 11.03425, 79.80894444444444 11.032583333333335)"
