S. No ,Tower No,Supspension/Tenion,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
48,T.NO 48,S,,DA,26,47-48,279.643141,1.12,26,,79.53016667,11.21813889,GOOD,GOOD,"2nos LT,HT","DRAIN ,TAAR ROAD",CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53016666666666 11.21813888888889, 79.53136111111111 11.220555555555556)"
49,T.NO 49,S,,DA,26,48-49,299.3035367,-,25,,79.53136111,11.22055556,GOOD,GOOD,,,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53136111111111 11.220555555555556, 79.53261111111111 11.223083333333333)"
50,T.NO 50,S,,DA,26,49-50,311.3820227,2.37,24,,79.53261111,11.22308333,GOOD,GOOD,,,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53261111111111 11.223083333333333, 79.53377777777777 11.2255)"
51,T.NO 51,S,,DA,26,50-51,296.6298361,1.86,24,,79.53377778,11.2255,GOOD,GOOD,"2nos HT,LT",DRAIN,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53377777777777 11.2255, 79.535 11.228)"
52,T.NO 52,S,,DA,26,51-52,308.6881538,1.55,25,,79.535,11.228,GOOD,GOOD,,,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.535 11.228, 79.53616666666666 11.2305)"
53,T.NO 53,S,,DA,26,52-53,306.5650504,1.72,24,,79.53616667,11.2305,GOOD,GOOD,,,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53616666666666 11.2305, 79.53727777777777 11.232888888888889)"
54,T.NO 54,T,2W,DB,24,53-54,290.4356578,1.91,22,"6°28'56""",79.53727778,11.23288889,GOOD,GOOD,,TAAR ROAD,CULITIVATION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53727777777777 11.232888888888889, 79.53883333333333 11.235388888888888)"
55,T.NO 55,S,,DA,26,54-55,325.1542843,-,24,,79.53883333,11.23538889,GOOD,GOOD,,"DRAIN,MUD ROAD",CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53883333333333 11.235388888888888, 79.54027777777777 11.237777777777778)"
56,T.NO 56,S,,DA,26,55-56,307.9918566,1.16,24,,79.54027778,11.23777778,GOOD,GOOD,,,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54027777777777 11.237777777777778, 79.54175 11.240166666666665)"
57,T.NO 57,S,,DA,26,56-57,310.741828,1.89,23,,79.54175,11.24016667,GOOD,GOOD,,DRAIN,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54175 11.240166666666665, 79.54327777777777 11.24261111111111)"
58,T.NO 58,T,,DB,24,57-58,318.4728335,-,21,"11°56'11""",79.54327778,11.24261111,GOOD,GOOD,LT,"DRAIN,TAAR ROAD",CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54327777777777 11.24261111111111, 79.54519444444445 11.24461111111111)"
59,T.NO 59,S,,DA,26,58-59,306.5519596,1.08,21,,79.54519444,11.24461111,GOOD,GOOD,,,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54519444444445 11.24461111111111, 79.54705555555556 11.246527777777777)"
60,T.NO 60,S,,DA,26,59-60,294.4910561,-,21,,79.54705556,11.24652778,GOOD,GOOD,,,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54705555555556 11.246527777777777, 79.54897222222222 11.248527777777777)"
61,T.NO 61,S,,DA,26,60-61,305.862264,-,15,,79.54897222,11.24852778,GOOD,GOOD,HT,DRAIN,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54897222222222 11.248527777777777, 79.5508611111111 11.250416666666666)"
62,T.NO 62,S,,DA,26,61-62,294.4501661,-,13,,79.55086111,11.25041667,GOOD,GOOD,,DRAIN,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5508611111111 11.250416666666666, 79.55266666666667 11.25225)"
63,T.NO 63,S,,DA,26,62-63,283.8745305,-,15,,79.55266667,11.25225,GOOD,GOOD,,,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55266666666667 11.25225, 79.55449999999999 11.254138888888889)"
64,T.NO 64,T,2W,DB,24,63-64,288.800278,-,16,"6°16'28""",79.5545,11.25413889,GOOD,GOOD,LT,,CULITIVATION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55449999999999 11.254138888888889, 79.55630555555555 11.255611111111111)"
65,T.NO 65,S,,DA,26,64-65,257.6028059,5.93,15,,79.55630556,11.25561111,GOOD,GOOD,LT,"2nos DRAIN,TAAR ROAD",CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55630555555555 11.255611111111111, 79.55838888888889 11.257277777777778)"
66,T.NO 66,S,,DA,26,65-66,295.244796,4.35,18,,79.55838889,11.25727778,GOOD,GOOD,LT,,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55838888888889 11.257277777777778, 79.56041666666667 11.258916666666666)"
67,T.NO 67,S,,DA,26,66-67,286.3296339,-,15,,79.56041667,11.25891667,GOOD,GOOD,HT,DRAIN,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56041666666667 11.258916666666666, 79.56244444444444 11.26061111111111)"
68,T.NO 68,T,,DD,28,67-68,291.9089205,-,16,"49°6'14""",79.56244444,11.26061111,GOOD,GOOD,HT,,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56244444444444 11.26061111111111, 79.56247222222223 11.263055555555555)"
69,T.NO 69,S,,DA,26,68-69,271.0166662,5.18,16,,79.56247222,11.26305556,GOOD,GOOD,,"DRAIN,TAAR ROAD",CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56247222222223 11.263055555555555, 79.56244444444444 11.265472222222222)"
70,T.NO 70,S,,DA,26,69-70,267.0018797,6.24,19,,79.56244444,11.26547222,GOOD,GOOD,,DRAIN,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56244444444444 11.265472222222222, 79.56238888888889 11.267916666666668)"
71,T.NO 71,S,,DA,26,70-71,272.0295187,-,18,,79.56238889,11.26791667,GOOD,GOOD,"2nos HT,LT",TAAR ROAD,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56238888888889 11.267916666666668, 79.56241666666666 11.270333333333333)"
72,T.NO 72,T,,DC,26,71-72,268.0168534,5.81,15,"22°7'27""",79.56241667,11.27033333,GOOD,GOOD,,,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56241666666666 11.270333333333333, 79.5616111111111 11.272277777777779)"
73,T.NO 72 ABAN LILO,T,3W,DC,26,72-72LILO,235,,24,,79.56161111,11.27227778,GOOD,GOOD,,,,ABAN LILO NEED JUNCTION BOX,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
