S.NO,Tower No,Tower Type,Tower Type (S/T),JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
44,29,SA,S,,26,30-29,,0.002567772,6.31,82.2,,11.63652828,79.50636751,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50636750725805 11.636528283654092, 79.50363150886086 11.636971277223752)"
45,28,SB,T,,24,29-28,,0.002698659,7.63,85.52,"11d30'5""RT",11.63697128,79.50363151,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50363150886086 11.636971277223752, 79.50117350920925 11.637880276650872)"
46,27,SA,S,,26,28-27,,0.00254998,8.12,83,,11.63788028,79.50117351,GOOD,GOOD,"LT1,HT1",ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50117350920925 11.637880276650872, 79.49878251016408 11.638731280494532)"
47,26,SA,S,,26,27-26,,0.002777106,6.12,90.61,,11.63873128,79.49878251,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49878251016408 11.638731280494532, 79.49630651120826 11.63962327976109)"
48,25,SA,S,,26,26-25,,0.002816694,5.32,90.25,,11.63962328,79.49630651,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49630651120826 11.63962327976109, 79.49389351191569 11.640501282835539)"
49,24,SD,T,,28,25-24,,0.002571245,6.32,88.22,"33d43'55""LT",11.64050128,79.49389351,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49389351191569 11.640501282835539, 79.49126751313392 11.639879278645031)"
50,23,SA,S,,26,24-23,,0.002863894,5.32,88.01,,11.63987928,79.49126751,GOOD,GOOD,LT1 ,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49126751313392 11.639879278645031, 79.48878251480201 11.639307281618787)"
51,22,SA,S,,26,23-22,,0.002926669,,84.63,,11.63930728,79.48878251,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48878251480201 11.639307281618787, 79.48608351536421 11.63865327962485)"
52,21,SA,S,,26,22-21,,0.002792116,,85.27,,11.63865328,79.48608352,GOOD,GOOD,LT1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48608351536421 11.63865327962485, 79.48334451654542 11.637996276740884)"
53,20,SD,T,2W,28,21-20,,0.00194239,6.37,87.41," 32d57'52""LT",11.63799628,79.48334452,GOOD,GOOD,,,PLAIN,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48334451654542 11.637996276740884, 79.48154951702247 11.636155277787514)"
54,19,SA,S,,26,20-19,,0.002255297,7.12,87.14,,11.63615528,79.48154952,GOOD,GOOD,LT1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48154951702247 11.636155277787514, 79.47957351838336 11.634082280793878)"
55,18,SA,S,,26,19-18,,0.0025394,8.34,86.04,,11.63408228,79.47957352,GOOD,GOOD,HT1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47957351838336 11.634082280793878, 79.47754851917182 11.631969280880194)"
56,17,SA,S,,26,18-17,,0.002367981,8.92,85.99,,11.63196928,79.47754852,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47754851917182 11.631969280880194, 79.47561052003299 11.62995928748624)"
57,16,SC,T,,26,17-16,,0.002448314,3.35,83.93,"27d0'55""LT",11.62995929,79.47561052,GOOD,GOOD,LT1,ROAD1,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47561052003299 11.62995928748624, 79.47504751955402 11.628100280054404)"
58,15,SA,S,,26,16-15,,0.002603403,6.32,79.89,,11.62810028,79.47504752,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47504751955402 11.628100280054404, 79.47439552032314 11.625941284265469)"
59,14,SA,S,,26,15-14,,0.002584,8.71,85.05,,11.62594128,79.47439552,GOOD,GOOD,LT1,CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47439552032314 11.625941284265469, 79.47368852060585 11.6235022879084)"
60,13,SA,S,,26,14-13,,0.002577395,7.1,83.55,,11.62350229,79.47368852,GOOD,GOOD,LT1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47368852060585 11.6235022879084, 79.47299452037554 11.621238287399509)"
61,12,SC,T,,26,13-12,,0.002601239,5.39,83.11,"16d55'50""LT",11.62123829,79.47299452,GOOD,GOOD,LT1,ROAD1,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47299452037554 11.621238287399509, 79.47303352070958 11.61879028382531)"
62,11,SA,S,,26,11-Dec,,0.002552607,5.83,80.26,,11.61879028,79.47303352,GOOD,GOOD,HT1,ROAD2,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47303352070958 11.61879028382531, 79.47307952027973 11.616187287580912)"
