,Tower No,Tower Type & Supspension/Tenion,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span length (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)",ROAD APPROCH,,"Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
42,T.NO-88,S,,26,87 - 88,,269.8833081,3.17,121,,78.73186111,10.55516667,,,GOOD,NO,NO,GOOD,LT LINE,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73186111111112 10.555166666666667, 78.73438888888889 10.554055555555557)"
43,T.NO-89,T,,24,88 - 89,,302.4913222,2.67,119,"6°14'32.51""",78.73438889,10.55405556,,,GOOD,YES,NO,GOOD,,,PLAIN,ONE LEG CONCRETE DAMAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73438888888889 10.554055555555557, 78.73658333333333 10.552777777777779)"
44,T.NO-90,S,,26,89 - 90,,280.7436553,2.77,119,,78.73658333,10.55277778,,,GOOD,NO,NO,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73658333333333 10.552777777777779, 78.73883333333333 10.551555555555556)"
45,T.NO-91,S,,26,90 - 91,,278.9587783,3.77,116,,78.73883333,10.55155556,,,GOOD,YES,NO,GOOD,,MUD ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73883333333333 10.551555555555556, 78.7406388888889 10.550527777777779)"
46,T.NO-92,S,,26,91 - 92,,229.8390741,2.97,118,,78.74063889,10.55052778,,,GOOD,NO,NO,GOOD,,,WATER LOGGED,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7406388888889 10.550527777777779, 78.74297222222222 10.549222222222221)"
47,T.NO-93,T,,28,92 - 93,,292.9709883,2.62,120,"32°27'2.61""",78.74297222,10.54922222,,,GOOD,NO,NO,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74297222222222 10.549222222222221, 78.74522222222222 10.549333333333333)"
48,T.NO-94,T,2W,24,93 - 94,,246.2458121,2.74,111,"10°0'0.45""",78.74522222,10.54933333,Yes,,GOOD,NO,NO,GOOD,"2 LT LINE, 11KV,",TAAR ROAD,PLAIN,BUSUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74522222222222 10.549333333333333, 78.7478888888889 10.549)"
49,T.NO-95,S,,26,94 - 95,,293.4706118,2.56,114,,78.74788889,10.549,,,GOOD,NO,NO,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7478888888889 10.549, 78.75052777777778 10.54875)"
50,T.NO-96,S,,26,95 - 96,,289.7723244,1.81,113,,78.75052778,10.54875,,,GOOD,NO,NO,GOOD,LT LINE,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75052777777778 10.54875, 78.75325 10.548472222222221)"
51,T.NO-97,S,,26,96 - 97,,300.7074991,2.31,113,,78.75325,10.54847222,,,GOOD,NO,NO,GOOD,2 LT LINE,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75325 10.548472222222221, 78.75572222222222 10.5485)"
52,T.NO-98,T,,26,97 - 98,,272.0073528,2.78,115,"15°0'26.90""",78.75572222,10.5485,,,GOOD,NO,NO,GOOD,LT LINE,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75572222222222 10.5485, 78.75819444444444 10.547888888888888)"
53,T.NO-99,T,,24,98 - 99,,277.95863,2.79,113,"4°47'38.54""",78.75819444,10.54788889,,,GOOD,NO,NO,GOOD,LT LINE,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75819444444444 10.547888888888888, 78.76 10.547583333333334)"
54,T.NO-100,S,,26,99 - 100,,199.9124809,3.91,114,,78.76,10.54758333,,,GOOD,NO,NO,GOOD,11KV LINE,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76 10.547583333333334, 78.76263888888889 10.547)"
55,T.NO-101,S,,26,100 - 101,,296.8922363,4.09,112,,78.76263889,10.547,,,GOOD,NO,NO,GOOD,"LT LINE, 11KV",",",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76263888888889 10.547, 78.76522222222222 10.546472222222222)"
56,T.NO-102,T,,24,101 -102,,289.2905114,2.87,113,"9°36'49.35""",78.76522222,10.54647222,,,GOOD,NO,NO,GOOD,LT LINE,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76522222222222 10.546472222222222, 78.76772222222222 10.545527777777778)"
57,T.NO-103,T,,24,102 - 103,,293.5864438,1.26,110,"3°5'51.34""",78.76772222,10.54552778,,,GOOD,NO,NO,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76772222222222 10.545527777777778, 78.77022222222222 10.544416666666667)"
58,T.NO-104,S,,26,103 - 104,,299.347624,3.76,112,,78.77022222,10.54441667,,,GOOD,NO,NO,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77022222222222 10.544416666666667, 78.77272222222223 10.543277777777778)"
59,T.NO-105,T,,26,104 - 105,,300.6742423,2.31,112,"21°44'58.14""",78.77272222,10.54327778,,,GOOD,NO,NO,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77272222222223 10.543277777777778, 78.77388888888889 10.542083333333332)"
60,T.NO-106,T,,24,105 - 106,,186.034943,2.17,115,"2°56'21.22""",78.77388889,10.54208333,,,GOOD,YES,NO,GOOD,11KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77388888888889 10.542083333333332, 78.77502777777778 10.540777777777778)"
61,T.NO-107,T,,26,106 - 107,,190.790461,1.17,116,"15°32'58.98""",78.77502778,10.54077778,,,GOOD,YES,NO,GOOD,"LT LINE, 11KV",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77502777777778 10.540777777777778, 78.7755 10.539833333333334)"
62,T.NO-108,T,,28,107 - 108,,113.6353818,0.65,117,"38°26'54.66""",78.7755,10.53983333,,,GOOD,YES,YES,GOOD,,MUD ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7755 10.539833333333334, 78.77569444444444 10.53975)"
63,GANTRY AMMACHATHRAM,GANTRY,2W,20,108 - GANTRY,,24.59674775,1.28,123,,78.77569444,10.53975,Yes,,GOOD,YES,YES,,,,SS,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
