Tower No,Tower Type,Tower Type (S/T),JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
27,DB,T,2W,24,26-27DB,35.78276113,8.62,73.922104,,11.01677643,79.07341171,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07341170654122 11.01677642590553, 79.07394270605033 11.016451429594328)"
28,DB,T,,24,27DB-28DB,68.27176775,7.54,74.463173,,11.01645143,79.07394271,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07394270605033 11.016451429594328, 79.07434970552062 11.01610142903052)"
29,DC,T,,26,28DB -29,58.97584403,3.15,74.613602,"21°35'2""",11.01610143,79.07434971,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07434970552062 11.01610142903052, 79.07500170537456 11.01487443206985)"
30,DA,S,,26,29-30,153.3126376,5.64,73.208115,,11.01487443,79.07500171,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07500170537456 11.01487443206985, 79.07582570538327 11.013304426725172)"
31,DA,S,,26,30-31,195.6523748,7.81,77.114143,,11.01330443,79.07582571,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07582570538327 11.013304426725172, 79.07687570453535 11.011282432115554)"
32,DC,T,,26,31-32,251.4166885,6.04,76.230286,"24°45'46""",11.01128243,79.0768757,GOOD,GOOD,HT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07687570453535 11.011282432115554, 79.07694270449218 11.009061434722193)"
33,DA,S,,26,32-33,245.8201954,7.8,70.476456,,11.00906143,79.0769427,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07694270449218 11.009061434722193, 79.07705470398432 11.007264427595606)"
34,DA,S,,26,33-34,199.181142,9.4,70.856949,,11.00726443,79.0770547,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07705470398432 11.007264427595606, 79.07715970442854 11.00513842835363)"
35,DB,T,,24,34-35,235.4811072,7.29,72.129608,"12°40'41""",11.00513843,79.0771597,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07715970442854 11.00513842835363, 79.07755670420585 11.003774432885118)"
36,DA,S,,26,35-36,157.0151625,8.09,73.154099,,11.00377443,79.0775567,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07755670420585 11.003774432885118, 79.07818570351786 11.001433431722413)"
37,DA,S,,26,36-37,267.957042,9.4,75.035919,,11.00143343,79.0781857,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07818570351786 11.001433431722413, 79.07883570386953 10.99902243352704)"
38,DA,S,,26,37-38,276.0307089,7.25,75.12838,,10.99902243,79.0788357,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07883570386953 10.99902243352704, 79.07954370271102 10.996496430252527)"
39,DA,S,,26,38-39,289.9708789,6.05,70.893059,,10.99649643,79.0795437,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07954370271102 10.996496430252527, 79.08032370292298 10.993705430474717)"
40,DD,T,,28,39-40,320.3247815,4.65,62.711555,"54°29'30""",10.99370543,79.0803237,GOOD,GOOD,LT-1,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08032370292298 10.993705430474717, 79.08245370133699 10.992930432144123)"
41,DC,T,,26,40-41,248.1062851,3.45,64.624054,"24°35'22""",10.99293043,79.0824537,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08245370133699 10.992930432144123, 79.08396270048962 10.993044432062552)"
42,DC,T,,26,41-42,165.4237373,1.75,62.120949,"27°14'9""",10.99304443,79.0839627,GOOD,GOOD,LT-1,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08396270048962 10.993044432062552, 79.08441170077171 10.993317437149317)"
43,DD,T,,28,42-43,57.62703677,4.75,76.160446,"132°8'50""",10.99331744,79.0844117,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08441170077171 10.993317437149317, 79.08427970008157 10.993355438101947)"
GT sathamangalam ss,GANTRY,T,2W,20,43-GANTRY,15.02840836,,69.962845,,10.99335544,79.0842797,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
