,Tower No,Tower Type & Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
85,T.NO 84,S,24,83-84,NO,,270.0074073057997,1.01,126,,10.394055555555555,78.94136111111112,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94136111111112 10.394055555555555, 78.94227777777778 10.391833333333333)"
86,T.NO 85,S,24,84-85,NO,,266.101484400219,2.17,108,,10.391833333333333,78.94227777777778,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94227777777778 10.391833333333333, 78.94344444444445 10.389166666666666)"
87,T.NO 86,S,27,85-86,YES,,321.70172520519685,1.16,90,,10.389166666666666,78.94344444444445,GOOD,GOOD,NO,,TAAR ROAD,"WELL BELOW, CULTIVATION LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94344444444445 10.389166666666666, 78.94422222222222 10.38725)"
88,T.NO 87,T,26,86-87,NO,,227.6686188300882,1.39,111,"25°11'26""",10.38725,78.94422222222222,GOOD,GOOD,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94422222222222 10.38725, 78.94611111111111 10.3855)"
89,T.NO 88,S,30,87-88,NO,,283.6564823867066,1.33,109,,10.3855,78.94611111111111,GOOD,GOOD,NO,,,,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94611111111111 10.3855, 78.94802777777778 10.383805555555556)"
90,T.NO 89,S,24,88-89,NO,,281.78360491696463,1.81,103,,10.383805555555556,78.94802777777778,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94802777777778 10.383805555555556, 78.94933333333334 10.38263888888889)"
91,T.NO 90,T,29,89-90,YES,,191.84629264074925,2.81,100,"27°56'53""",10.38263888888889,78.94933333333334,GOOD,GOOD,NO,,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94933333333334 10.38263888888889, 78.95116666666667 10.382194444444444)"
92,T.NO 91,S,24,90-91,YES,,206.40009689920205,1.91,116,,10.382194444444444,78.95116666666667,GOOD,GOOD,NO,,MUD ROAD,CULTIVATION LAND,EUCALYPTUS TREE BELOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95116666666667 10.382194444444444, 78.95308333333334 10.381722222222223)"
93,T.NO 92,S,24,91-92,NO,,216.83173199511182,1.08,127,,10.381722222222223,78.95308333333334,GOOD,GOOD,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95308333333334 10.381722222222223, 78.95502777777779 10.381166666666667)"
94,T.NO 93,T,26,92-93,NO,,222.12158832495322,2.06,101,"22°8'55""",10.381166666666667,78.95502777777779,GOOD,GOOD,NO,,,,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95502777777779 10.381166666666667, 78.95769444444444 10.381444444444444)"
95,T.NO 94,S,27,93-94,NO,,293.43653487594213,2.56,104,,10.381444444444444,78.95769444444444,GOOD,GOOD,NO,LT,TAAR ROAD,,EUCALYPTUS TREE BELOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95769444444444 10.381444444444444, 78.96030555555556 10.381666666666668)"
96,T.NO 95,S,27,94-95,YES,,287.9201278132531,2.81,91,,10.381666666666668,78.96030555555556,GOOD,GOOD,NO,LT,MUD ROAD,POND CROSSING,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96030555555556 10.381666666666668, 78.96294444444445 10.38175)"
97,T.NO 96,T,27,95-96,DIFFICULT,,288.0850568842473,,118,"9°41'22""",10.38175,78.96294444444445,GOOD,GOOD,NO,,,INSIDE WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96294444444445 10.38175, 78.96513888888889 10.381444444444444)"
98,T.NO 97,S,24,96-97,NO,,242.53865671269807,,124,,10.381444444444444,78.96513888888889,GOOD,GOOD,NO,,,INSIDE WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96513888888889 10.381444444444444, 78.96722222222222 10.38113888888889)"
99,T.NO 98,S,24,97-98,NO,,231.51025895195227,3.01,119,,10.38113888888889,78.96722222222222,GOOD,GOOD,NO,,,CULTIVATION LAND,EUCALYPTUS TREE BELOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96722222222222 10.38113888888889, 78.96936111111111 10.380833333333333)"
100,T.NO 99,S,24,98-99,NO,,235.9194777885031,2.86,131,,10.380833333333333,78.96936111111111,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96936111111111 10.380833333333333, 78.97152777777778 10.380305555555555)"
101,T.NO 100,S,24,99-100,YES,,244.23349483639626,2.17,108,,10.380305555555555,78.97152777777778,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97152777777778 10.380305555555555, 78.97386111111112 10.380027777777778)"
102,T.NO 101,T,26,100-101,YES,,258.11818998280614,1.07,99,"22°32'44""",10.380027777777778,78.97386111111112,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97386111111112 10.380027777777778, 78.97627777777778 10.380694444444446)"
103,T.NO 102,S,24,101-102,NO,,274.6069918993324,1.91,112,,10.380694444444446,78.97627777777778,GOOD,GOOD,NO,,,MUD ROAD CROSSING,EUCALYPTUS TREE BELOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97627777777778 10.380694444444446, 78.979 10.381444444444444)"
104,T.NO 103,T,26,102-103,YES,,310.0403199585499,1.81,103,"24°40'3""",10.381444444444444,78.979,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.979 10.381444444444444, 78.98094444444445 10.38113888888889)"
105,T.NO 104,S,24,103-104,YES,,215.8564337702261,1.81,102,,10.38113888888889,78.98094444444445,GOOD,GOOD,NO,"LT,11KV",,PLAIN LAND,MILL NEAR BY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98094444444445 10.38113888888889, 78.98308333333334 10.380805555555556)"
106,T.NO 105,S,24,104-105,NO,,236.24140195994434,1.83,103,,10.380805555555556,78.98308333333334,GOOD,GOOD,NO,"11KV, LT-3 NOS",,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98308333333334 10.380805555555556, 78.98511111111111 10.380472222222222)"
107,T.NO 106,S,24,105-106,YES,,224.59073890078372,1.06,98,,10.380472222222222,78.98511111111111,GOOD,GOOD,NO,LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98511111111111 10.380472222222222, 78.98741666666666 10.380055555555556)"
108,T.NO 107,S,24,106-107,YES,,257.14781741247583,2.09,100,,10.380055555555556,78.98741666666666,GOOD,GOOD,NO,"LT,11KV",,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98741666666666 10.380055555555556, 78.98983333333334 10.379666666666667)"
109,T.NO 108,S,24,107-108,NO,,268.79360111431225,2.86,104,,10.379666666666667,78.98983333333334,GOOD,GOOD,NO,,,,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98983333333334 10.379666666666667, 78.99191666666667 10.379333333333333)"
110,T.NO 109 SC,T,31,108-109,YES,,232.29722340140012,2.93,90,"40°46'26""",10.379333333333333,78.99191666666667,GOOD,GOOD,NO,LT 2 NOS,TAAR ROAD,PLAIN LAND,EUCALYPTUS TREE BELOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99191666666667 10.379333333333333, 78.99402777777777 10.380611111111111)"
111,T.NO 110(DC) TAPPING POINT,T,29,109-110,YES,,270.9686328710392,3.16,87,"22°35'12""",10.380611111111111,78.99402777777777,GOOD,GOOD,NO,LT,,PLAIN LAND,BUSHES TAPPING POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99402777777777 10.380611111111111, 78.99702777777777 10.381055555555555)"
112,T.NO 111 DC,T,31,110-111,YES,,330.65087327875,2.54,90,"34°39'12""",10.381055555555555,78.99702777777777,GOOD,GOOD,NO,22KV,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99702777777777 10.381055555555555, 78.9975 10.380833333333333)"
113,T.NO 112 DC,T,29,111-112,YES,,59.033888572581766,0.91,89,"28°10'44""",10.380833333333333,78.9975,GOOD,GOOD,NO,LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9975 10.380833333333333, 78.99797222222222 10.380194444444445)"
114,T.NO 113 DC,T,31,112-113,YES,,87.41853350405736,0.11,93,"55°40'23""",10.380194444444445,78.99797222222222,GOOD,GOOD,NO,11 KV,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99797222222222 10.380194444444445, 78.9978611111111 10.379888888888889)"
115,GANTRY  ALANGUDI,GANTRY ALANGUDI,20,113-GANTRY,YES,,35.11409973215888,,96,,10.379888888888889,78.9978611111111,GOOD,GOOD,NO,,,SS,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H8:H121),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
