S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
45,T.NO-187,DA,S,24,186-187,355.174604948045,4.21,69,,79.246681,11.535426,GOOD,GOOD,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.246681 11.535426, 79.249525 11.536456)"
46,T.NO-188,DA,S,24,187-188,330.552567680241,6.45,69,,79.249525,11.536456,GOOD,GOOD,LT,"CANAL,2nos TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.249525 11.536456, 79.252388 11.537467)"
47,T.NO-189,DA,S,24,188-189,331.766484142085,6.12,69,,79.252388,11.537467,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.252388 11.537467, 79.255214 11.53847)"
48,T.NO-190,DA,S,27,189-190,327.661410605521,4.73,69,,79.255214,11.53847,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.255214 11.53847, 79.258151 11.539509)"
49,T.NO-191,DB,T,26,190-191,340.308683403759,WATER,68,"0°00'00""",79.258151,11.539509,GOOD,GOOD,2nos LT,2nos MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.258151 11.539509, 79.261407 11.540685)"
50,T.NO-192,DB,T,27,191-192,378.31204051682,13,68,,79.261407,11.540685,GOOD,GOOD,,RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.261407 11.540685, 79.263831 11.541523)"
51,T.NO-193,DA,S,24,192-193,280.189221776998,12.2,68,,79.263831,11.541523,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.263831 11.541523, 79.266228 11.54235)"
52,T.NO-194,DA,S,24,193-194,277.027074489119,10.2,69,,79.266228,11.54235,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.266228 11.54235, 79.268642 11.54326)"
53,T.NO-195,DB,T,26,194-195,281.952123595479,6.29,69,"10°20'55""",79.268642,11.54326,GOOD,GOOD,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.268642 11.54326, 79.27149 11.543783)"
54,T.NO-196,DA,S,24,195-196,316.00158227452,5.3,69,,79.27149,11.543783,GOOD,GOOD,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27149 11.543783, 79.274292 11.544351)"
55,T.NO-197,DA,S,24,196-197,312.020832637822,3.4,69,,79.274292,11.544351,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.274292 11.544351, 79.276856 11.544782)"
56,T.NO-198,DA,S,24,197-198,283.753414076377,6.53,67,,79.276856,11.544782,GOOD,GOOD,,MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.276856 11.544782, 79.279566 11.545332)"
57,T.NO-199,DA,S,24,198-199,301.822795693102,6.47,65,,79.279566,11.545332,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.279566 11.545332, 79.28223 11.545872)"
58,T.NO-200,DA,S,24,199-200,296.723777274421,7.19,65,,79.28223,11.545872,GOOD,GOOD,11KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28223 11.545872, 79.284895 11.546403)"
59,T.NO-201,DA,S,24,200-201,296.529931035638,7.32,60,,79.284895,11.546403,GOOD,GOOD,LT,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.284895 11.546403, 79.28756 11.546861)"
60,T.NO-202,DD,T,30,201-202,295.096594355137,8.13,60,"44°52'55""",79.28756,11.546861,GOOD,GOOD,"11KV,LT",TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28756 11.546861, 79.289132 11.549058)"
61,T.NO-203,DA,S,24,202-203,297.477730258922,15.52,60,,79.289132,11.549058,GOOD,GOOD,"2nos LT,11KV",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.289132 11.549058, 79.29065 11.551228)"
62,T.NO-204,DA,S,24,203-204,291.564744096401,SUGARCAN CULTIVATION,60,,79.29065,11.551228,GOOD,GOOD,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29065 11.551228, 79.292113 11.553334)"
63,T.NO-205,DB,T,32,204-205,282.3915721122,6.9,60,"0°00'00""",79.292113,11.553334,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.292113 11.553334, 79.292941 11.554469)"
64,T.NO-205A,DB,T,32,205-205A,154.615652506465,6.71,61,"5°55'57""",79.292941,11.554469,GOOD,GOOD,,"MUDROAD,ELECTRIC RAILWAY CROSSING",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.292941 11.554469, 79.293023 11.55456)"
65,T.NO-206 LILO 110KV M.PARUR,DD,T,30,205A-206 LILO,13.4536240470737,4.71,61,"98°45'20""",79.293023,11.55456,GOOD,GOOD,,,CULTIVATION,NEED 3WAY JUNCTION BOX,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.293023 11.55456, 79.292774 11.554712)"
66,T.NO-1,DC,T,28,206 LILO-1,31.9061122670876,4.92,56,"17°20'0""",79.292774,11.554712,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.292774 11.554712, 79.291131 11.556655)"
