Tower No,Tower Type,Tower Type(S/T),JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
55,DA,S,,26,56-55,,0.002653976,7.25,76.149803,,11.68643527,79.61313547,GOOD,GOOD,"HT-1,LT-1",ROAD-1,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61313546552219 11.68643526836703, 79.6153434652701 11.687844271523927)"
54,DA,S,,26,55-54,,0.001810534,5.8,76.138702,,11.68784427,79.61534347,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6153434652701 11.687844271523927, 79.61758746383875 11.689316269452403)"
53,DA,S,,26,54-53,,0.001572186,4.9,70.823555,,11.68931627,79.61758746,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61758746383875 11.689316269452403, 79.61984546322425 11.690802270115983)"
52,DA,S,,26,53-52,,0.002524546,4.15,69.623985,,11.69080227,79.61984546,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61984546322425 11.690802270115983, 79.62171346208149 11.692040271955113)"
51,DA,S,,26,52-51,,0.00230675,6.35,70.514763,,11.69204027,79.62171346,GOOD,GOOD,HT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62171346208149 11.692040271955113, 79.6239164612851 11.693520266680114)"
50,DD,T,2W,28,51-50,,0.002397051,5,65.749428,"35d11'45""RT",11.69352027,79.62391646,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6239164612851 11.693520266680114, 79.62572646050417 11.693476263195798)"
49,DC,T,,26,40-49,,0.002064067,2.5,61.92498,"27d57'35""LT",11.69347626,79.62572646,GOOD,GOOD,"HT-1,LT-1",ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62572646050417 11.693476263195798, 79.6271444601726 11.69415526686849)"
48,DA,S,,26,49-48,,0.002500817,12.5,62.881401,,11.69415527,79.62714446,GOOD,GOOD,HT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6271444601726 11.69415526686849, 79.6294074591419 11.695274270602084)"
47,DA,S,,26,48-47,,0.002687767,3.3,60.083534,,11.69527427,79.62940746,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6294074591419 11.695274270602084, 79.6314754589463 11.696296264916064)"
46,DA,S,,26,47-46,,0.002366929,1.09,62.055237,,11.69629626,79.63147546,GOOD,GOOD,HT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6314754589463 11.696296264916064, 79.63363945815144 11.697327265427777)"
45,DA,S,,26,46-45,,0.001966549,11.3,63.718445,,11.69732727,79.63363946,GOOD,GOOD,HT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63363945815144 11.697327265427777, 79.63547345768625 11.698274270009652)"
44,DA,S,,26,45-44,,0.002916899,13.3,60.946373,,11.69827427,79.63547346,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63547345768625 11.698274270009652, 79.6377104566227 11.699392268498169)"
43,DA,S,,26,44-43,,0.002801105,5.8,56.688969,,11.69939227,79.63771046,GOOD,GOOD,HT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6377104566227 11.699392268498169, 79.64011845549318 11.700586267629262)"
42,DA,S,,26,43-42,,0.002369745,1.23,59.137894,,11.70058627,79.64011846,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64011845549318 11.700586267629262, 79.64225145514885 11.70161226177028)"
41,DA,S,,26,42-41,,0.00247184,3.75,57.897564,,11.70161226,79.64225146,GOOD,GOOD,"HT-1,LT-1",ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64225145514885 11.70161226177028, 79.6439994539953 11.702513269431547)"
40,DB,T,,24,41-40,,0.002678447,3.9,58.986931,"8d2'58""RT",11.70251327,79.64399945,GOOD,GOOD,HT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6439994539953 11.702513269431547, 79.64675245339438 11.70347726823989)"
39,DA,S,,26,40-39,,0.002236671,8.15,66.422775,,11.70347727,79.64675245,GOOD,GOOD,"HT-1,LT-2",ROAD-2,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64675245339438 11.70347726823989, 79.6493824516212 11.704441268529065)"
38,DA,S,,26,39-38,,0.002257065,4.15,64.198334,,11.70444127,79.64938245,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6493824516212 11.704441268529065, 79.65161945106766 11.70522326817374)"
37,DA,S,,26,38-37,,0.002296048,7.8,61.890038,,11.70522327,79.65161945,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65161945106766 11.70522326817374, 79.6539394498879 11.706076262952967)"
36,DA,S,,26,37-36,,0.002329398,6.2,59.477345,,11.70607626,79.65393945,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6539394498879 11.706076262952967, 79.65646144917994 11.706978260297323)"
35,DC,T,2W,26,36-35,,0.002764947,9.5,55.156273," 27d27'28""RT",11.70697826,79.65646145,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65646144917994 11.706978260297323, 79.65867844851994 11.706682267439065)"
34,DA,S,,26,35-34,,0.002460649,7.9,50.845684,,11.70668227,79.65867845,GOOD,GOOD,LT-1,ROAD-1,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65867844851994 11.706682267439065, 79.66091744743373 11.706397263537404)"
33,DA,S,,26,34-33,,0.00240098,6.85,48.939667,,11.70639726,79.66091745,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66091744743373 11.706397263537404, 79.66319744675275 11.706126266141425)"
32,DA,S,,26,33-32,,0.002903475,7.1,46.038616,,11.70612627,79.66319745,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66319744675275 11.706126266141425, 79.66550744603161 11.705826267801923)"
31,DD,T,,28,32-31,,0.002419012,7.45,44.747574,"43d17'43""LT",11.70582627,79.66550745,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66550744603161 11.705826267801923, 79.66775744526159 11.707433263916556)"
30,DB,T,,24,31-30,,0.002486531,8.3,49.83989,"7d5'14""RT",11.70743326,79.66775745,GOOD,GOOD,LT-2,ROAD-1,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66775744526159 11.707433263916556, 79.66992644419675 11.7085952617714)"
29,DA,S,,26,30-29,,0.003676822,12.3,31.922249,,11.70859526,79.66992644,GOOD,GOOD,LT-1,ROAD-1,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66992644419675 11.7085952617714, 79.6720384439069 11.70973726156989)"
28,DA,S,,26,29-28,,0.000630381,0.02,26.996414,,11.70973726,79.67203844,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6720384439069 11.70973726156989, 79.67458044230179 11.711140263161543)"
27,DA,S,,26,28-27,,0.002408016,2.6,21.199341,,11.71114026,79.67458044,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67458044230179 11.711140263161543, 79.67670044143458 11.712305261510247)"
26,DA,S,,26,27-26,,0.00235615,2.85,23.086761,,11.71230526,79.67670044,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67670044143458 11.712305261510247, 79.67889344122764 11.713477264296742)"
25,DA,S,,26,26-25,,0.0024967,,22.427567,,11.71347726,79.67889344,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67889344122764 11.713477264296742, 79.6821394399658 11.715204258813603)"
24,DA,S,,26,25-24,,0.002256786,,23.665047,,11.71520426,79.68213944,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6821394399658 11.715204258813603, 79.68267344009767 11.71553925775621)"
23,DA,S,,26,24-23,,0.002454684,11.1,24.283791,,11.71553926,79.68267344,GOOD,GOOD,HT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68267344009767 11.71553925775621, 79.68477643892041 11.716712261878149)"
22,DA,S,,26,23-22,,0.002129003,10.25,23.141853,,11.71671226,79.68477644,GOOD,GOOD,LT-2,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68477643892041 11.716712261878149, 79.68683843813741 11.717852262070034)"
21,DA,S,,26,22-21,,0.002641008,7.5,23.249413,,11.71785226,79.68683844,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68683843813741 11.717852262070034, 79.68905243766089 11.719006263293613)"
20,DA,S,,26,21-20,,0.002783625,2.6,32.33535,,11.71900626,79.68905244,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68905243766089 11.719006263293613, 79.69102743629769 11.720098262316462)"
19,DD,T,2W,28,20-19,,0.002678473,3.4,29.980751,"30d5'52""RT",11.72009826,79.69102744,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69102743629769 11.720098262316462, 79.69348143551842 11.720040264817545)"
18,DA,S,,26,19-18,,0.00294008,,30.566757,,11.72004026,79.69348144,GOOD,GOOD,LT-1,ROAD-2,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69348143551842 11.720040264817545, 79.69561043460843 11.720036261085722)"
17,DA,S,,26,18-17,,0.00307289,5.75,28.365433,,11.72003626,79.69561043,GOOD,GOOD,,ROAD-2,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69561043460843 11.720036261085722, 79.6982504335039 11.71996325681544)"
16,DA,S,,26,17-16,,0.002288187,2.5,22.960785,,11.71996326,79.69825043,GOOD,GOOD,HT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6982504335039 11.71996325681544, 79.70103343289604 11.719904258453516)"
15,DD,T,,28,16-15,,0.002248359,5.45,24.410332," 44d10'25""LT",11.71990426,79.70103343,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70103343289604 11.719904258453516, 79.70300043216228 11.72172226064794)"
14,DA,S,,26,15-14,,0.001915827,3.75,23.294998,,11.72172226,79.70300043,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70300043216228 11.72172226064794, 79.7051674312355 11.723709264271582)"
13,DA,S,,26,14-13,,0.001957309,,29.878744,,11.72370926,79.70516743,GOOD,GOOD,LT-1,ROAD-1,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7051674312355 11.723709264271582, 79.70742843065764 11.72579025799728)"
12,DD,T,2W,28,13-12,,0.00225869,9.8,29.71207,"37d49'6""RT",11.72579026,79.70742843,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70742843065764 11.72579025799728, 79.70970542971891 11.726016258177998)"
11,DA,S,,26,11-Dec,,0.002048785,8,29.869911,,11.72601626,79.70970543,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70970542971891 11.726016258177998, 79.7119474285595 11.726185257457226)"
10,DA,S,,26,10-Nov,,0.00229272,4.15,31.927338,,11.72618526,79.71194743,GOOD,NO EARTH CABLE,HT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7119474285595 11.726185257457226, 79.71385542776204 11.726358262089134)"
9,DA,S,,26,9-Oct,,0.002279147,5.15,33.238583,,11.72635826,79.71385543,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71385542776204 11.726358262089134, 79.71580542716343 11.726527256599246)"
8,DA,S,,26,8-Sep,,0.002216451,5.06,36.233456,,11.72652726,79.71580543,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71580542716343 11.726527256599246, 79.7180544270967 11.726736257735535)"
7,DA,S,,26,7-Aug,,0.002125466,,41.011517,,11.72673626,79.71805443,GOOD,NO EARTH CABLE,"LT-1,HT-2",ROAD-1,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7180544270967 11.726736257735535, 79.72009342626407 11.72693626396414)"
6,DA,S,,26,6-Jul,,0.002163638,8.43,42.584759,,11.72693626,79.72009343,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72009342626407 11.72693626396414, 79.72237842521166 11.727124262867797)"
5,DA,S,,26,5-Jun,,0.000647722,4.1,40.965714,,11.72712426,79.72237843,GOOD,NO EARTH CABLE,"HT-1,LT-1",ROAD-1,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72237842521166 11.727124262867797, 79.72464842430811 11.727328261735119)"
4,DA,S,,26,4-May,,0.000212426,5.25,38.448589,,11.72732826,79.72464842,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72464842430811 11.727328261735119, 79.72685442302792 11.727543259880976)"
3,DA,S,,26,3-Apr,,80.58941632,6.15,38.193913,,11.72754326,79.72685442,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72685442302792 11.727543259880976, 79.72897242266542 11.727721259288485)"
2,DA,S,,26,2-Mar,,0,6.6,36.240524,,11.72772126,79.72897242,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72897242266542 11.727721259288485, 79.73112642155886 11.727925261712565)"
1,DD,T,,28,1-Feb,,0,,43.298534,"73d22'58""RT",11.72792526,79.73112642,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73112642155886 11.727925261712565, 79.73137042183814 11.727325255330227)"
1A,DD,T,,28,1-1A,,0,,42.965649," 57d42'32""LT",11.72732526,79.73137042,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73137042183814 11.727325255330227, 79.7315794218013 11.727287258591451)"
CUDALURE GANTRY,GANTRY,T,2W,20,1A-GT,,0,,42.269646,,11.72728726,79.73157942,GOOD,GOOD,,,PLAIN,CUDALURE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
