S.No,Tower No.,Tower Suspension / Tension,Tower Type,JOINT BOX,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
98,T.NO-407,DA,S,,24,408-407,290.4892425,INFINITY,62,,79.548055,12.175935,RUST,24F OPGW,2-LT,TAAR ROAD,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.548055 12.175935, 79.550169 12.177564)"
99,T.NO-406,DA,S,,24,407-406,292.2362058,13.12,62,,79.550169,12.177564,RUST,24F OPGW,2-LT,MUD ROAD,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.550169 12.177564, 79.552337 12.179311)"
100,T.NO-405,DA,S,,24,406-405,305.0131145,17.41,64,,79.552337,12.179311,RUST,24F OPGW,LT,TAAR ROAD,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.552337 12.179311, 79.554414 12.180949)"
101,T.NO-404,DA,S,,24,405-404,289.7050224,16.7,65,,79.554414,12.180949,RUST,24F OPGW,LT,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.554414 12.180949, 79.556528 12.182579)"
102,T.NO-403,DD,T,,30,404-403,292.2362058,19.2,65,"30°37'12""",79.556528,12.182579,RUST,24F OPGW,,RIVER,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.556528 12.182579, 79.558943 12.18289)"
103,T.NO-402,DA,S,,24,403-402,265.0622568,17.18,61,,79.558943,12.18289,RUST,24F OPGW,,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.558943 12.18289, 79.561303 12.1832)"
104,T.NO-401,DA,S,,24,402-401,259.1100152,17.31,61,,79.561303,12.1832,RUST,24F OPGW,LT,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.561303 12.1832, 79.563975 12.183585)"
105,T.NO-400,DA,S,,24,401-400,293.8741227,16.25,62,,79.563975,12.183585,RUST,24F OPGW,LT,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.563975 12.183585, 79.566574 12.183888)"
106,T.NO-399,DC,T,2W,28,400-399,284.803441,13.25,63,"24°21'54""",79.566574,12.183888,RUST,24F OPGW,LT,,CALTIVATION,EXISTING JOINT BOX AVILABLE,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.566574 12.183888, 79.569175 12.185601)"
107,T.NO-398,DA,S,,24,399-398,340.5877273,18.9,61,,79.569175,12.185601,RUST,24F OPGW,"2-LT, 2-11KV","TAAR ROAD, CANAL",CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.569175 12.185601, 79.571492 12.187159)"
108,T.NO-397,DA,S,,24,398-397,305.3686297,14.12,66,,79.571492,12.187159,RUST,24F OPGW,LT,TAAR ROAD,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.571492 12.187159, 79.573836 12.188708)"
109,T.NO-396,DA,S,,27,397-396,307.3044093,16.31,61,,79.573836,12.188708,RUST,24F OPGW,,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.573836 12.188708, 79.576217 12.190302)"
110,T.NO-395 TAPPING 110KV CENDUR,DA,S,3W,27,396-395 TAPPING,313.4086789,,69,,79.576217,12.190302,RUST,24F OPGW,110KV S/C LINE CROSSING BELOW,,PLAIN,NEED 3WAY JOINT BOX.(ALREADY MENTIONED FOR CENDUR LINE).WATER LOGGED,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.576217 12.190302, 79.578671 12.191834)"
111,T.NO-394,DA,S,,27,395 TAPPING-394,316.3036516,16.98,70,,79.578671,12.191834,RUST,24F OPGW,11OKV DC LINE CROSSING BELOW,,PLAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.578671 12.191834, 79.579815 12.19278)"
112,T.NO-1 LILO 110KV ELAMANGALAM,DB,T,3W,26,394-1LILO,162.6068879,12.45,72,"11°9'0""",79.579815,12.19278,GOOD,NO 24F CABLE,,,PLAIN,"NEED 3WAY JOINT BOX.(ALREADY MENTIONED FOR ELAMANGALAM LINE), WATER LOGGED",2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.579815 12.19278, 79.580924 12.193382)"
113,T.NO-393,DA,S,,24,LILO-1-393,137.8296049,17.3,70,,79.580924,12.193382,RUST,NO 24F CABLE,,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.580924 12.193382, 79.583295 12.195013)"
114,T.NO-392,DA,S,,24,393-392,314.8364655,15.8,71,,79.583295,12.195013,RUST,24F OPGW,,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.583295 12.195013, 79.584898 12.196088)"
115,T.NO-391,DA,S,,24,392-391,211.0663403,16.9,72,,79.584898,12.196088,RUST,24F OPGW,LT,TAAR ROAD,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.584898 12.196088, 79.587325 12.197592)"
116,T.NO-390,DA,S,,24,391-390,312.1698256,16.18,72,,79.587325,12.197592,RUST,24F OPGW,LT,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.587325 12.197592, 79.589504 12.19914)"
117,T.NO-389,DA,S,,24,390-389,292.4790591,14.17,70,,79.589504,12.19914,RUST,24F OPGW,,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.589504 12.19914, 79.591757 12.200652)"
118,T.NO-388,DA,S,,24,389-388,296.7692706,15.72,72,,79.591757,12.200652,RUST,24F OPGW,,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.591757 12.200652, 79.594092 12.202174)"
119,T.NO-387,DA,S,,24,388-387,304.8179785,17.21,66,,79.594092,12.202174,RUST,24F OPGW,,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.594092 12.202174, 79.596299 12.203704)"
120,T.NO-386,DA,S,,24,387-386,293.7771264,16.79,64,,79.596299,12.203704,RUST,24F OPGW,2-LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.596299 12.203704, 79.59858 12.205198)"
121,T.NO-385,DA,S,,24,386-385,298.1559994,17.22,64,,79.59858,12.205198,RUST,24F OPGW,,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59858 12.205198, 79.600869 12.20672)"
122,T.NO-384,DA,S,,24,385-384,300.6476343,16.31,59,,79.600869,12.20672,RUST,24F OPGW,"11KV, LT","MUD ROAD, NALA",CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.600869 12.20672, 79.603095 12.208232)"
123,T.NO-383,DC,T,2W,28,384-383,294.2872746,13.25,59,"28°55'52""",79.603095,12.208232,RUST,24F OPGW,2-LT,,PLAIN,EXISTING JOINT BOX AVILABLE,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.603095 12.208232, 79.604359 12.210733)"
124,T.NO-382,DA,S,,24,383-382,309.0258889,16.3,58,,79.604359,12.210733,RUST,24F OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.604359 12.210733, 79.605752 12.21329)"
125,T.NO-381,DA,S,,24,382-381,320.8317316,18.7,58,,79.605752,12.21329,RUST,24F OPGW,LT,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.605752 12.21329, 79.607044 12.215819)"
126,T.NO-380,DA,S,,24,381-380,313.0575027,16.9,59,,79.607044,12.215819,RUST,24F OPGW,"LT, 11KV",TAAR ROAD,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.607044 12.215819, 79.608326 12.218348)"
127,T.NO-379,DA,S,,24,380-379,312.6051823,15.12,59,,79.608326,12.218348,RUST,24F OPGW,,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.608326 12.218348, 79.609582 12.220804)"
128,T.NO-378,DA,S,,27,379-378,304.1134657,14.91,57,,79.609582,12.220804,RUST,24F OPGW,11KV,,PLAIN,OPGW CABLE CONNECT TO T.NO-377 FROM T.NO-378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.609582 12.220804, 79.610466 12.222282)"
129,T.NO-1 LILO 110KV THINDIVANAM,DB,T,3W,26,378-01,189.6786757,15.35,59,"13°39'14""",79.610466,12.222282,GOOD,NO 24F CABLE,,,CALTIVATION,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.610466 12.222282, 79.610791 12.223342)"
130,T.NO-377,DA,S,,27,01-377,122.4132346,INFINITY,58,,79.610791,12.223342,RUST,24F OPGW,110KV D/C LINE CROSSING BELOW,,PLAIN,NEED 3WAY JOINT BOX FOR 110KV THINDIVANAM LINE S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.610791 12.223342, 79.612102 12.225789)"
131,T.NO-376,DA,S,,24,377-376,306,,59,,79.612102,12.225789,RUST,24F OPGW,,TAAR ROAD,PLAIN,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.612102 12.225789, 79.613449 12.228373)"
132,T.NO-375,DA,S,,24,376-375,321.1370424,13.67,59,,79.613449,12.228373,RUST,24F OPGW,,2-MUD ROAD,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.613449 12.228373, 79.614759 12.23092)"
133,T.NO-374,DA,S,,24,375-374,315.7483175,14.41,60,,79.614759,12.23092,RUST,24F OPGW,,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.614759 12.23092, 79.616042 12.23343)"
134,T.NO-373,DA,S,,24,374-373,310.8214922,15.4,61,,79.616042,12.23343,RUST,24F OPGW,11KV,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.616042 12.23343, 79.617297 12.235923)"
135,T.NO-372,DA,S,,24,373-372,307.6832787,17.71,61,,79.617297,12.235923,RUST,24F OPGW,,NALA,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.617297 12.235923, 79.618552 12.238461)"
136,T.NO-371,DA,S,,24,372-371,312.1602153,,61,,79.618552,12.238461,RUST,24F OPGW,LT,,PLAIN,"WATER LOGGED, WATER LOGGED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.618552 12.238461, 79.620018 12.241225)"
137,T.NO-370,DD,T,2W,30,371-370,344.8854882,1.6,60,"83°55'24""",79.620018,12.241225,GOOD,24F OPGW,2-11KV,TAAR ROAD,,"EXISTING JOINT BOX AVILABLE, WATER LOGGED",2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.620018 12.241225, 79.621841 12.24052)"
138,T.NO-369,DA,S,,24,370-369,213.1783291,1.9,59,,79.621841,12.24052,GOOD,24F OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.621841 12.24052, 79.623628 12.239797)"
139,T.NO-368,DD,T,,30,369-368,210.2308255,2.35,57,"87°10'13""",79.623628,12.239797,GOOD,24F OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.623628 12.239797, 79.624226 12.241454)"
140,T.NO-367,DB,T,,26,368-367,194.537914,2.47,56,"0°00'00""",79.624226,12.241454,GOOD,24F OPGW,,,PLAIN,SIPCOT COMPOUNTWALL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.624226 12.241454, 79.624904 12.243691)"
141,T.NO-366,DA,S,,24,367-366,258.1356233,2.1,59,,79.624904,12.243691,GOOD,24F OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.624904 12.243691, 79.625573 12.245972)"
142,T.NO-365,DA,S,,24,366-365,262.6404386,3.24,57,,79.625573,12.245972,GOOD,24F OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.625573 12.245972, 79.626241 12.248227)"
143,T.NO-364,DC,T,,28,365-364,259.7633538,1.61,58,"24°48'11""",79.626241,12.248227,GOOD,24F OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.626241 12.248227, 79.627786 12.24997)"
144,T.NO-363,DA,S,,30,364-363,255.7831112,,57,,79.627786,12.24997,RUST,24F OPGW,"3-11KV, LT",TAAR ROAD,PLAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.627786 12.24997, 79.62912 12.251442)"
145,T.NO-362,DA,S,,30,363-362,218.0825532,,59,,79.62912,12.251442,RUST,24F OPGW,"11KV, LT",NATIONAL HIGHWAY,,"WATER LOGGED, BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62912 12.251442, 79.631021 12.253585)"
146,T.NO-361,DA,S,,24,362-361,314.5790839,14.39,59,,79.631021,12.253585,RUST,24F OPGW,,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.631021 12.253585, 79.632922 12.255683)"
147,T.NO-360,DA,S,,24,361-360,310.8456208,15.27,59,,79.632922,12.255683,RUST,24F OPGW,"LT, 11KV",,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.632922 12.255683, 79.634842 12.25779)"
148,T.NO-359,DA,S,,24,360-359,312.9281068,16.37,59,,79.634842,12.25779,RUST,24F OPGW,,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.634842 12.25779, 79.636651 12.25986)"
149,T.NO-358,DB,T,,26,359-358,301.9735088,14.49,60,"10°15'32""",79.636651,12.25986,RUST,24F OPGW,2-LT,TAAR ROAD,PLAIN,"EXISTING JOINT BOX AVILABLE, BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.636651 12.25986, 79.637745 12.261692)"
150,T.NO-87,DA,S,2W,24,358-87,234.9553149,16.9,60,,79.637745,12.261692,RUST,24F OPGW,"11KV, 3-LT",STATE HIGHWAY,CALTIVATION,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
