S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
46,115,S,,SA,22,114-115,273.0054889,4.12,115.974594,,11.03652778,78.92419444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92419444444445 11.036527777777778, 78.92500000000001 11.034305555555555)"
47,116,S,,SA,22,115-116,262.2801896,2.27,113.963341,,11.03430556,78.925,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92500000000001 11.034305555555555, 78.92577777777778 11.032166666666667)"
48,117,S,,SA,22,116-117,249.6981951,1.92,109.95314,,11.03216667,78.92577778,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92577777777778 11.032166666666667, 78.92644444444444 11.030333333333335)"
49,118,S,,SA,22,117-118,215.2169715,2.42,105.189232,,11.03033333,78.92644444,GOOD,Available,LT,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92644444444444 11.030333333333335, 78.92741666666667 11.027722222222224)"
50,119,S,,SA,22,118-119,308.4218174,2.07,102.005981,,11.02772222,78.92741667,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92741666666667 11.027722222222224, 78.92841666666668 11.024972222222223)"
51,120,S,,SA,22,119-120,323.8684155,3.7,101.623184,,11.02497222,78.92841667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92841666666668 11.024972222222223, 78.9293888888889 11.022333333333334)"
52,121,S,,SA,22,120-121,310.0428506,2.19,96.740547,,11.02233333,78.92938889,GOOD,Available,LT,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9293888888889 11.022333333333334, 78.93025 11.01988888888889)"
53,122,S,,SA,22,121-122,287.9139051,2.77,95.415718,,11.01988889,78.93025,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93025 11.01988888888889, 78.93127777777778 11.017111111111111)"
54,123,S,,SA,22,122-123,327.542234,3,96.49897,,11.01711111,78.93127778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93127777777778 11.017111111111111, 78.93225000000001 11.014388888888888)"
55,124,S,,SA,22,123-124,319.2617317,2.67,97.733116,,11.01438889,78.93225,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93225000000001 11.014388888888888, 78.93322222222223 11.011777777777779)"
