S. No ,Tower No,CURCUIT,Tower Type & S/T,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Availability of Road,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Earthing Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
,282,,,,,,,,,,,12.1200751,79.0076486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0076486 12.1200751, 79.0073824 12.1173899)"
,281,,,,,,,,,,,12.1173899,79.0073824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0073824 12.1173899, 79.0071521 12.1150544)"
,280,,,,,,,,,,,12.1150544,79.0071521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0071521 12.1150544, 79.0069234 12.1127335)"
,279,,,,,,,,,,,12.1127335,79.0069234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0069234 12.1127335, 79.0066322 12.1100876)"
,278,,,,,,,,,,,12.1100876,79.0066322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0066322 12.1100876, 79.0063291 12.1073227)"
,277,,,,,,,,,,,12.1073227,79.0063291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0063291 12.1073227, 79.0071791 12.1045735)"
,276,,,2W,,,,,,,,12.1045735,79.0071791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0071791 12.1045735, 79.0079958 12.1019652)"
,275,,,,,,,,,,,12.1019652,79.0079958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0079958 12.1019652, 79.0088073 12.099322)"
,274,,,,,,,,,,,12.099322,79.0088073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0088073 12.099322, 79.0097151 12.0964903)"
,273,,,,,,,,,,,12.0964903,79.0097151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0097151 12.0964903, 79.0105013 12.0938694)"
,272,,,,,,,,,,,12.0938694,79.0105013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0105013 12.0938694, 79.0112798 12.0913674)"
,271,,,,,,,,,,,12.0913674,79.0112798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0112798 12.0913674, 79.0120177 12.0890118)"
,270,,,,,,,,,,,12.0890118,79.0120177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0120177 12.0890118, 79.0128495 12.0863709)"
,269,,,,,,,,,,,12.0863709,79.0128495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0128495 12.0863709, 79.0136458 12.0838441)"
,268,,,,,,,,,,,12.0838441,79.0136458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0136458 12.0838441, 79.0143381 12.0815826)"
,267,,,,,,,,,,,12.0815826,79.0143381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0143381 12.0815826, 79.0151344 12.0790731)"
,266,,,,,,,,,,,12.0790731,79.0151344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0151344 12.0790731, 79.0166585 12.0770942)"
,265,,,2W,,,,,,,,12.0770942,79.0166585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0166585 12.0770942, 79.0181343 12.0751104)"
,264,,,,,,,,,,,12.0751104,79.0181343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0181343 12.0751104, 79.019732 12.0730348)"
,263,,,,,,,,,,,12.0730348,79.019732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.019732 12.0730348, 79.0215781 12.0705971)"
,262,,,,,,,,,,,12.0705971,79.0215781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0215781 12.0705971, 79.023125 12.068514)"
,261,,,,,,,,,,,12.068514,79.023125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.023125 12.068514, 79.0249661 12.0661557)"
,260,,,,,,,,,,,12.0661557,79.0249661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0249661 12.0661557, 79.0264952 12.0641147)"
,259,,,,,,,,,,,12.0641147,79.0264952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0264952 12.0641147, 79.0279559 12.0622102)"
,258,,,,,,,,,,,12.0622102,79.0279559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0279559 12.0622102, 79.0294318 12.0602361)"
,257,,,,,,,,,,,12.0602361,79.0294318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0294318 12.0602361, 79.0309204 12.0583043)"
,256,,,,,,,,,,,12.0583043,79.0309204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0309204 12.0583043, 79.0326372 12.0560227)"
,255,,,,,,,,,,,12.0560227,79.0326372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0326372 12.0560227, 79.0343388 12.0537634)"
,254,,,,,,,,,,,12.0537634,79.0343388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0343388 12.0537634, 79.0365197 12.0519133)"
,253,,,,,,,,,,,12.0519133,79.0365197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0365197 12.0519133, 79.0378686 12.0507365)"
,252,,,2W,,,,,,,,12.0507365,79.0378686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
