S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Ground Elevation,Deviation Angle,,Latitude,Longitude,,,,,Footing Resistance of Tower ,,,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,line_geom
53,52,S,DC,28,51-52,249.20497942918013,26.315403,,,12.0068270154297,79.6937039773911,,,,,,,,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6937039773911 12.0068270154297, 79.6958110202103 12.007692027837)"
54,53,S,DC,28,52-53,250.07231788036805,26.2255709999999,,,12.007692027837,79.6958110202103,,,,,,,,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6958110202103 12.007692027837, 79.6976028196513 12.0084472373127)"
55,54,S,DC,28,53-54,213.72619849177156,26,,,12.0084472373127,79.6976028196513,,,,,,,,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6976028196513 12.0084472373127, 79.700052011758 12.0094499643892)"
56,55,S,DC,28,54-55,290.3175143394184,26.586323,,,12.0094499643892,79.700052011758,,,,,,,,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.700052011758 12.0094499643892, 79.7026000265032 12.0104780048131)"
57,56,T,DC,28,55-56,301.3304927685641,27.6744309999999,26°49'43''RT,,12.0104780048131,79.7026000265032,2W,,,,12.4,3.75,1.7,25.2,,,,GOOD,Available,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7026000265032 12.0104780048131, 79.7049909643828 12.0102910045534)"
58,57,S,DC,28,56-57,262.6498475826506,28.6715559999999,,,12.0102910045534,79.7049909643828,,,,,,,,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7049909643828 12.0102910045534, 79.7073460277169 12.01011297293)"
59,58,T,DC,28,57-58,258.67830720085874,29.729702,5°58'28''RT,,12.01011297293,79.7073460277169,,,,,12.15,3.25,1.6,21.1,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7073460277169 12.01011297293, 79.7099279891699 12.0096480287611)"
60,59,T,DC,28,58-59,287.2932437352204,29.9940129999999,5°9'60''LT,,12.0096480287611,79.7099279891699,,,,,15.6,7.6,3.8,49.8,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7099279891699 12.0096480287611, 79.7120040189474 12.0094620343297)"
61,60,S,DC,28,59-60,228.47601790507122,31.0155299999999,,,12.0094620343297,79.7120040189474,,,,,,,,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7120040189474 12.0094620343297, 79.7142819687724 12.0092430151999)"
62,61,T,DC,28,60-61,250.70741617904383,27.763947,15°38'20''RT,,12.0092430151999,79.7142819687724,,,,,12.85,3.9,2.2,23.7,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7142819687724 12.0092430151999, 79.7156400047242 12.0087240077555)"
