,Tower No,Tower Type & Supspension/Tenion,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
70,T.NO.69,S,2W,29,68-69,NO,239.6413988,1.99,70,,78.863,10.18661111,,,GOOD,GOOD,NO,LT CROSSING,TAAR ROAD,CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.863 10.18661111111111, 78.86572222222222 10.186305555555556)"
71,T.NO 70,T,,29,69-70,YES,299.9333259,2.9,70,"17°11'22.14""",78.86572222,10.18630556,Yes,,GOOD,GOOD,NO,11KV,TAAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86572222222222 10.186305555555556, 78.86830555555555 10.186027777777777)"
72,T.NO 71,S,,26,70-71,YES,282.931087,5.31,69,,78.86830556,10.18602778,,,GOOD,GOOD,NO,,,,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86830555555555 10.186027777777777, 78.871 10.186555555555556)"
73,T.NO 72,S,,26,71-72,YES,302.0496648,2.69,70,,78.871,10.18655556,,,GOOD,GOOD,NO,11KV,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.871 10.186555555555556, 78.87322222222221 10.186972222222222)"
74,T.NO 73,S,,26,72-73,YES,247.3155879,2.49,73,,78.87322222,10.18697222,,,GOOD,GOOD,NO,,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87322222222221 10.186972222222222, 78.87588888888888 10.187416666666667)"
75,T.NO 74,S,,26,73-74,NO,295.6010825,1.03,75,,78.87588889,10.18741667,,,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87588888888888 10.187416666666667, 78.87897222222222 10.188055555555556)"
76,T.NO 75,S,,26,74-75,NO,347.1310992,1.11,73,,78.87897222,10.18805556,,,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87897222222222 10.188055555555556, 78.88127777777777 10.1885)"
77,T.NO 76,T,,27,75-76,NO,257.3285837,2.61,72,"11°46'56.55""",78.88127778,10.1885,,,GOOD,GOOD,NO,LT CROSSING,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88127777777777 10.1885, 78.88372222222223 10.189027777777778)"
78,T.NO 77,S,,29,76-77,YES,274.5651107,1.31,73,,78.88372222,10.18902778,,,GOOD,GOOD,NO,11KV,2 ROAD,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88372222222223 10.189027777777778, 78.88600000000001 10.19)"
79,T.NO 78,S,,26,77-78,YES,270.0981303,0.59,74,,78.886,10.19,,,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88600000000001 10.19, 78.88805555555557 10.190888888888889)"
80,T.NO 79,T,,28,78-79,NO,246.3331078,1.12,75,"47°6'17.30""",78.88805556,10.19088889,,,GOOD,GOOD,NO,LT CROSSING,MUD ROAD,,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88805555555557 10.190888888888889, 78.89027777777778 10.191944444444445)"
81,T.NO 80,S,,26,79-80,YES,270.2239812,1.01,75,,78.89027778,10.19194444,,,GOOD,GOOD,NO,,POND CROSSING,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89027777777778 10.191944444444445, 78.89258333333333 10.191027777777778)"
82,T.NO 81,S,2W,29,80-81,YES,273.162955,0.29,73,,78.89258333,10.19102778,,,GOOD,GOOD,NO,,"POND CROSSING,TAAR R0AD",INSIDE WATER,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89258333333333 10.191027777777778, 78.89469444444445 10.190055555555556)"
83,T.NO 82,T,,24,81-82,NO,254.9509757,1.69,75,"0°00'00.00""",78.89469444,10.19005556,Yes,,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89469444444445 10.190055555555556, 78.89725 10.189)"
