Tower No,Tower Type,Tower Type,Tower Height (Mtrs),Span Between Tower No.,Span length             (As per tower DChedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
61,DB,T,24,62-61,,192.3881,8.94,141.96," 14d42'16""LT",11.660569272766821,78.85250983643536,good,good,,,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85250983643536 11.660569272766821, 78.85124483728397 11.659085278852965)"
60,DA,S,26,61-60,,214.4738,3.82,142.17,,11.659085278852965,78.85124483728397,good,good,LT-1,,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85124483728397 11.659085278852965, 78.84986383819226 11.657467279456327)"
59,DA,S,26,60-59,,233.9659,6.36,148.23,,11.657467279456327,78.84986383819226,good,good,,ROAD,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84986383819226 11.657467279456327, 78.84859583878176 11.65597827612866)"
58,DC,T,26,59-58,,215.11,6.52,150.95, 18d53'35RT,11.65597827612866,78.84859583878176,good,good,LT-1,,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84859583878176 11.65597827612866, 78.84626284043583 11.654583277372003)"
57,DA,S,26,58-57,,297.6277,3.24,151.46,,11.654583277372003,78.84626284043583,good,good,LT-1,,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84626284043583 11.654583277372003, 78.84381084192535 11.653148274402795)"
56,DA,S,26,57-56,,311.0182,4.67,151.4,,11.653148274402795,78.84381084192535,good,good,"LT-3,HT-1",ROAD,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84381084192535 11.653148274402795, 78.8412948439793 11.65165928038359)"
55,DA,S,26,56-55,,320.0832,,152.61,,11.65165928038359,78.8412948439793,good,good,LT-1,,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8412948439793 11.65165928038359, 78.83837484618685 11.6499012823966)"
54,DA,S,26,55-54,,373,,157.68,,11.6499012823966,78.83837484618685,good,good,LT-1,,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83837484618685 11.6499012823966, 78.8361648470897 11.648596280651708)"
53,DA,S,26,54-53,,280.9906,,153.91,,11.648596280651708,78.8361648470897,good,good,LT-2,ROAD,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8361648470897 11.648596280651708, 78.83368441469159 11.647038486763968)"
52,DA,S,26,53-52,,320.7843,2.43,152.83,,11.647038486763968,78.83368441469159,good,good,"LT-2,HT-1",CAR TRACK,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83368441469159 11.647038486763968, 78.83195185011566 11.645955278460217)"
51,DA,S,26,52-51,,223.7831,3.48,153.19,,11.645955278460217,78.83195185011566,good,good,,,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83195185011566 11.645955278460217, 78.82971785158608 11.644547280698712)"
50,DB,T,24,51-50,,289.2221,10.26,148.8," 9d3'18""RT",11.644547280698712,78.82971785158608,good,good,"110KV,LT-2",CAR TRACK,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82971785158608 11.644547280698712, 78.82735585280102 11.64353727720993)"
49,DA,S,26,50-49,,280.8361,,151.03,,11.64353727720993,78.82735585280102,good,good,LT-2,,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82735585280102 11.64353727720993, 78.82575585412323 11.642853278492531)"
48,DC,T,26,49-48,,190.2218,5.75,150.37,"17d48'39""LT",11.642853278492531,78.82575585412323,good,good,,CAR TRACK,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82575585412323 11.642853278492531, 78.8237874754937 11.641161481377889)"
47,DA,S,26,48-47,,284.8544,6.53,153,,11.641161481377889,78.8237874754937,good,good,,,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8237874754937 11.641161481377889, 78.82164581215218 11.639298923807813)"
46,DA,S,26,47-46,,311.5116,4.95,158.33,,11.639298923807813,78.82164581215218,good,good,,,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82164581215218 11.639298923807813, 78.81985963861581 11.637754202359103)"
45,DA,S,26,46-45,,259.1135,12.25,162.74,,11.637754202359103,78.81985963861581,good,good,"HT-1,LT-1",CAR TRACK,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81985963861581 11.637754202359103, 78.81786704145836 11.63603093404811)"
44,DA,S,26,45-44,,289.0814,2.95,156.82,,11.63603093404811,78.81786704145836,good,good,"HT-2,LT-2",,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81786704145836 11.63603093404811, 78.81595593984505 11.634378115084703)"
43,DA,S,26,44-43,,277.1532,,154.01,,11.634378115084703,78.81595593984505,good,good,LT-1,CAR TRACK,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81595593984505 11.634378115084703, 78.81366960252961 11.632400735355281)"
42,DA,S,26,43-42,,331.5216,,155.31,,11.632400735355281,78.81366960252961,good,good,LT-1,CAR TRACK,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81366960252961 11.632400735355281, 78.81194343049287 11.630907798349217)"
41,DA,S,26,42-41,,251.1854,17.09,154.93,,11.630907798349217,78.81194343049287,good,good,HT-2,ROAD,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81194343049287 11.630907798349217, 78.81004528381325 11.629266094755883)"
40,DA,S,26,41-40,,275.3779,12.45,156.81,,11.629266094755883,78.81004528381325,good,good,LT-1,,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81004528381325 11.629266094755883, 78.8080176888631 11.62751240107338)"
39,DA,S,26,40-39,,294.2111,17.31,160.96,,11.62751240107338,78.8080176888631,good,good,LT-2,,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8080176888631 11.62751240107338, 78.80625786694752 11.625990281228862)"
38,DC,T,26,39-38,,255.3707,4.89,162.46," 21d17'23""RT",11.625990281228862,78.80625786694752,good,good,HT-1,CAR TRACK,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80625786694752 11.625990281228862, 78.80393724715992 11.625158825099597)"
37,DA,S,26,38-37,,269.3359,2.03,161.21,,11.625158825099597,78.80393724715992,good,good,LT-1,,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80393724715992 11.625158825099597, 78.80169487084191 11.624362286175735)"
36,DA,S,26,37-36,,260.0044,6.89,161.5,,11.624362286175735,78.80169487084191,good,good,LT-2,,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80169487084191 11.624362286175735, 78.79927859194996 11.623489604291375)"
35,DA,S,26,36-35,,280.7219,,161.7,,11.623489604291375,78.79927859194996,good,good,HT-1,CAR TRACK,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79927859194996 11.623489604291375, 78.79698087398116 11.622666287401518)"
34,DB,T,24,35-34,,266.6969,5.71,155.32,"10d47'58""LT",11.622666287401518,78.79698087398116,good,good,"HT-1,LT-1",,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79698087398116 11.622666287401518, 78.79480987545953 11.621393290100132)"
33,DA,S,26,34-33,,275.552,3.98,159.46,,11.621393290100132,78.79480987545953,good,good,,POND,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79480987545953 11.621393290100132, 78.79276087683425 11.620195284208181)"
32,DA,S,26,33-32,,259.8732,7.19,158.1,,11.620195284208181,78.79276087683425,good,good,,POND,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79276087683425 11.620195284208181, 78.79075287793816 11.619023283139644)"
31,DA,S,26,32-31,,254.5597,,158.63,,11.619023283139644,78.79075287793816,good,good,LT-1,,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79075287793816 11.619023283139644, 78.78848487921276 11.617678290056373)"
30,DD,T,28,31-30,,288.7304,14.77,162.87," 32d48'59""LT",11.617678290056373,78.78848487921276,good,good,,,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78848487921276 11.617678290056373, 78.78719247964652 11.615112440601267)"
29,DA,S,26,30-29,,317.0001,10.22,160.41,,11.615112440601267,78.78719247964652,good,good,LT-2,,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78719247964652 11.615112440601267, 78.78596614997771 11.612677725113603)"
28,DA,S,26,29-28,,300.8007,2.69,159.61,,11.612677725113603,78.78596614997771,good,good,,CAR TRACK,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78596614997771 11.612677725113603, 78.78460388264067 11.610106292539216)"
27,DA,S,26,28-27,,321.0128,2.35,159.92,,11.610106292539216,78.78460388264067,good,good,HT-1,,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78460388264067 11.610106292539216, 78.78328488331354 11.607354289519588)"
