S. No ,Tower No,Tower Type & Supspension/Tenion,JOINT BOX,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Availability of Road,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
39,T.NO.39,S,,DA,26,38-39,NO,,270.7323401,3.7,112,,78.647,10.59355556,GOOD,GOOD,,MUD ROAD CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.647 10.593555555555556, 78.64927777777778 10.593083333333334)"
40,T.NO.40,T,,DB+6,30,39-40,YES,,255.0019608,4.73,112,"6°38'16.07""",78.64927778,10.59308333,GOOD,GOOD,,RIVER CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64927777777778 10.593083333333334, 78.65141666666668 10.592361111111112)"
41,T.NO.41,T,,DC,26,40-41,NO,,247.6226969,4.62,113,"25°54'23.43""",78.65141667,10.59236111,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65141666666668 10.592361111111112, 78.65319444444445 10.59063888888889)"
42,T.NO.42,S,,DA,26,41-42,YES,,271.529004,3.4,111,,78.65319444,10.59063889,GOOD,GOOD,,MUD ROAD CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65319444444445 10.59063888888889, 78.65505555555556 10.588777777777779)"
43,T.NO.43,S,,DA,26,42-43,YES,,289.2282835,3.58,114,,78.65505556,10.58877778,GOOD,GOOD,11KV -1 CROSSING,TAR ROAD CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65505555555556 10.588777777777779, 78.65686111111111 10.587)"
44,T.NO.44,T,,DB,24,43-44,YES,,281.4284989,4.23,112,"15°31'26.80""",78.65686111,10.587,GOOD,GOOD,LT LINE CROSSING,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65686111111111 10.587, 78.65919444444445 10.585722222222223)"
45,T.NO.45,S,,DA,26,44-45,NO,,290.6165859,2.39,115,,78.65919444,10.58572222,GOOD,GOOD,LT LINE CROSSING,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65919444444445 10.585722222222223, 78.66122222222222 10.58463888888889)"
46,T.NO.46,S,,DA,26,45-46,NO,,252.9229132,1.89,117,,78.66122222,10.58463889,GOOD,GOOD,LT LINE CROSSING,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66122222222222 10.58463888888889, 78.66300000000001 10.58363888888889)"
47,T.NO.47,T,,DC,26,46-47,NO,,224.8755211,1.03,119,"26°8'23.62""",78.663,10.58363889,GOOD,GOOD,,,CULTIVATION LAND,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66300000000001 10.58363888888889, 78.66511111111112 10.5835)"
48,T.NO. 47/1 LILO,T,3W,DD,28,47-47/1,YES,,230.4886114,1.36,117,"83°6'1.74""",78.66511111,10.5835,GOOD,GOOD,,,WATER LOGGED,"TAPPING POINT CONNECTS TO AMMACHATRAM,ONE EARTH WIRE CONNECTS TO AMMACHATRAM AND OUR EARTH WIRE CONTINUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66511111111112 10.5835, 78.66527777777779 10.581055555555555)"
49,T.NO.47/2,T,,DB,24,47/1-47/2,YES,,271.4148117,2.67,122,"9°34'54.86""",78.66527778,10.58105556,GOOD,GOOD,,,WATER LOGGED,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66527777777779 10.581055555555555, 78.66586111111111 10.578583333333333)"
50,T.NO.47/3,T,,DB,24,47/2-47/3,YES,,280.9270368,2.28,122,"14°42'15.28""",78.66586111,10.57858333,GOOD,GOOD,"LT LINE -1 ,11KV -2 CROSSING",,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66586111111111 10.578583333333333, 78.66672222222223 10.576972222222222)"
51,T.NO.47/4,T,,DD,28,47/3-47/4,YES,,201.7176244,3.3,120,"53°51'21.52""",78.66672222,10.57697222,GOOD,GOOD,LT LINE CROSSING,"TAR ROAD,MUD ROAD CROSSING",PLAIN LAND,INSIDE THE FENCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66672222222223 10.576972222222222, 78.66880555555556 10.576666666666666)"
52,T.NO.47/5,T,,DD,28,47/4-47/5,YES,,231.6592325,3.4,124,"54°0'22.67""",78.66880556,10.57666667,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66880555555556 10.576666666666666, 78.66961111111111 10.5775)"
53,T.NO.47/6,T,,DD,28,47/5-47/6,YES,,127.9882807,2.23,123,"44°41'0.43""",78.66961111,10.5775,GOOD,GOOD,"LT LINE -1 ,11KV -2 CROSSING",MUD ROAD CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66961111111111 10.5775, 78.66952777777779 10.578055555555554)"
54,GANTRY PAKKUDI,T,2W,T,20,47/6-GANTRY PAKKUDI,YES,,62.64982043,3.7,125,,78.66952778,10.57805556,,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,TOTAL,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
