S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken, etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain / Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
96,511,,T,C,21,512-511,336.8437772,1.34,FALSE,130.273041,"19°26'24"" R",10.06658333,78.39338889,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3933888888889 10.066583333333334, 78.39575 10.067333333333334)"
97,510,,S,A,21,511-510,271.4742032,0.75,FALSE,131.314041,,10.06733333,78.39575,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39575 10.067333333333334, 78.39841666666668 10.068138888888889)"
98,509,,S,A+3,24,510-509,304.814774,3.11,FALSE,137.014618,,10.06813889,78.39841667,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39841666666668 10.068138888888889, 78.40097222222222 10.068999999999999)"
99,508,,S,A+3,24,509-508,296.0419877,0.18,FALSE,134.046478,,10.069,78.40097222,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40097222222222 10.068999999999999, 78.40366666666667 10.069944444444443)"
100,507,,T,C,21,508-507,314.9857387,0.16,FALSE,135.833679,"26°49'48""R",10.06994444,78.40366667,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40366666666667 10.069944444444443, 78.40569444444445 10.072)"
101,506,2W,T,D+3,24,507-506,317.6839205,1.93,FALSE,131.523773,"37°20'60"" L",10.072,78.40569444,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40569444444445 10.072, 78.40852777777778 10.072444444444445)"
102,505,,S,A+6,27,506-505,316.3616832,2.41,FALSE,130.592514,,10.07244444,78.40852778,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40852777777778 10.072444444444445, 78.41144444444446 10.072861111111111)"
103,504,,T,C,21,505-504,321.2995503,6.21,FALSE,133.500885,"27°4'48""R",10.07286111,78.41144444,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41144444444446 10.072861111111111, 78.41308333333333 10.074027777777777)"
104,503,,S,A,21,504-503,221.5891456,3.38,FALSE,136.013962,,10.07402778,78.41308333,Good,Available,LT -2N,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41308333333333 10.074027777777777, 78.41466666666668 10.075222222222221)"
105,502,,T,C,21,503-502,219.2993966,0.07,FALSE,134.112076,"20°30'36""R",10.07522222,78.41466667,Good,Available,LT- 3N,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41466666666668 10.075222222222221, 78.41600000000001 10.077305555555556)"
106,501,,T,D,21,502-501,273.9355815,1.12,FALSE,131.058121,"27°57'36""L",10.07730556,78.416,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41600000000001 10.077305555555556, 78.41852777777778 10.07875)"
107,500,,S,A+3,24,501-500,318.0184679,3.08,FALSE,128.309799,,10.07875,78.41852778,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41852777777778 10.07875, 78.42113888888889 10.080083333333333)"
108,499,,S,A,21,500-499,321.6518222,0.21,FALSE,126.18071,,10.08008333,78.42113889,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42113888888889 10.080083333333333, 78.42375 10.081444444444443)"
109,498,,S,A+3,24,499-498,325.7167371,4.72,FALSE,126.716583,,10.08144444,78.42375,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42375 10.081444444444443, 78.42633333333333 10.082805555555556)"
110,497,,T,C,21,498-497,320.6109747,0.16,FALSE,126.524834,"9°56'24""R",10.08280556,78.42633333,Good,Available,"11KV, LT",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42633333333333 10.082805555555556, 78.42833333333334 10.084333333333333)"
111,496,,S,A,21,497-496,275.6611375,1.05,FALSE,126.240593,,10.08433333,78.42833333,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42833333333334 10.084333333333333, 78.43036111111111 10.085833333333333)"
112,495,,S,A,21,496-495,277.0400387,2.37,FALSE,125.953064,,10.08583333,78.43036111,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43036111111111 10.085833333333333, 78.4316388888889 10.086861111111112)"
113,494,2W,T,D,21,495-494,181.1690731,3.18,FALSE,126.725388,"49°10'12""R",10.08686111,78.43163889,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4316388888889 10.086861111111112, 78.43166666666667 10.089694444444445)"
114,493,,S,A+3,24,494-493,313.5708028,4.09,FALSE,126.253548,,10.08969444,78.43166667,Good,Available,,RIVER,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43166666666667 10.089694444444445, 78.43175000000001 10.092666666666668)"
115,492,,T,C,21,493-492,330.0492716,0.22,FALSE,125.832756,"19°39'36""L",10.09266667,78.43175,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43175000000001 10.092666666666668, 78.43283333333333 10.095444444444444)"
116,491,,T,D+6,27,492-491,327.3979706,5.47,FALSE,128.041321,"30°57'0""L",10.09544444,78.43283333,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43283333333333 10.095444444444444, 78.43441666666666 10.096611111111113)"
117,490,,S,A,21,491-490,214.8991076,3.49,FALSE,129.569427,,10.09661111,78.43441667,Good,Available,LT -2N,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43441666666666 10.096611111111113, 78.43572222222222 10.097555555555557)"
118,489,,S,A,21,490-489,177.5836697,2.27,FALSE,130.751007,,10.09755556,78.43572222,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43572222222222 10.097555555555557, 78.43772222222222 10.099083333333335)"
119,488,,T,C+3,24,489-488,276.9644999,0.38,FALSE,132.107269,"15°1'48""L",10.09908333,78.43772222,Good,Available,11KV,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43772222222222 10.099083333333335, 78.44022222222223 10.100138888888889)"
120,487,,S,A+3,24,488-487,299.5341416,1.34,FALSE,131.631592,,10.10013889,78.44022222,Good,Available,LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44022222222223 10.100138888888889, 78.44277777777778 10.101277777777778)"
121,486,,S,A,21,487-486,307.5949037,1.3,FALSE,127.855782,,10.10127778,78.44277778,Good,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44277777777778 10.101277777777778, 78.4453888888889 10.102416666666667)"
122,485,,S,A,21,486-485,310.4629747,2.18,FALSE,127.454552,,10.10241667,78.44538889,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4453888888889 10.102416666666667, 78.44794444444445 10.103472222222221)"
123,484,2W,T,C,21,485-484,304.2475497,0.09,FALSE,127.325394,"5°43'12"" L",10.10347222,78.44794444,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44794444444445 10.103472222222221, 78.45058333333334 10.104333333333333)"
124,483,,S,A,21,484-483,306.5821267,2.59,FALSE,125.182495,,10.10433333,78.45058333,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45058333333334 10.104333333333333, 78.45330555555556 10.105166666666666)"
125,482,,S,A,21,483-482,312.425585,1.9,FALSE,126.409027,,10.10516667,78.45330556,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45330555555556 10.105166666666666, 78.456 10.106)"
126,481,,S,A,21,482-481,307.3946443,2.31,FALSE,128.735214,,10.106,78.456,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.456 10.106, 78.45872222222222 10.106833333333332)"
127,480,,S,A,21,481-480,313.2710403,1.02,FALSE,127.441032,,10.10683333,78.45872222,Good,Available,,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45872222222222 10.106833333333332, 78.46141666666666 10.10763888888889)"
128,479,,S,A,21,480-479,308.9107272,2.12,FALSE,125.052185,,10.10763889,78.46141667,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46141666666666 10.10763888888889, 78.46408333333333 10.108444444444444)"
129,478,,S,A,21,479-478,306.5573744,5.6,FALSE,126.502441,,10.10844444,78.46408333,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46408333333333 10.108444444444444, 78.46708333333333 10.109388888888889)"
130,477,,S,A,21,478-477,345.4402875,4.83,FALSE,125.335609,,10.10938889,78.46708333,Good,Available,11KV,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46708333333333 10.109388888888889, 78.46997222222222 10.110277777777778)"
131,476,,S,A+3,24,477-476,330.8726344,0.09,FALSE,128.322021,,10.11027778,78.46997222,Good,Available,11KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46997222222222 10.110277777777778, 78.47266666666667 10.111083333333333)"
132,475,,S,A,21,476-475,306.8190612,1.23,FALSE,130.153519,,10.11108333,78.47266667,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47266666666667 10.111083333333333, 78.47538888888889 10.111888888888888)"
133,474,2W,T,C+3,24,475-474,312.9710249,0.1,FALSE,132.828583,"3°12'36""L",10.11188889,78.47538889,Good,Available,LT- 2N,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47538888888889 10.111888888888888, 78.47816666666667 10.112555555555556)"
134,473,,S,A,21,474-473,310,1.43,FALSE,134.678558,,10.11255556,78.47816667,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47816666666667 10.112555555555556, 78.48083333333334 10.113416666666666)"
135,472,,S,A,21,473-472,316,4.52,FALSE,133.320938,,10.11341667,78.48083333,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48083333333334 10.113416666666666, 78.48355555555555 10.114222222222223)"
136,471,,S,A,21,472-471,310.5259469,0.28,FALSE,133.185822,,10.11422222,78.48355556,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48355555555555 10.114222222222223, 78.48619444444445 10.114944444444443)"
137,470,,S,A,21,471-470,299.620475,3.75,FALSE,130.996964,,10.11494444,78.48619444,Good,Available,LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48619444444445 10.114944444444443, 78.48891666666667 10.115694444444443)"
138,469,,S,A+3,24,470-469,311.0539137,2.82,FALSE,130.426682,,10.11569444,78.48891667,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48891666666667 10.115694444444443, 78.49155555555555 10.1165)"
139,468,,S,A,21,469-468,303.6262214,2.1,FALSE,128.104401,,10.1165,78.49155556,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49155555555555 10.1165, 78.49422222222222 10.11725)"
140,467,,S,A,21,468-467,302.3848775,4.9,FALSE,126.870773,,10.11725,78.49422222,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49422222222222 10.11725, 78.49683333333333 10.118055555555555)"
141,466,,S,A,21,467-466,300.1778761,5.32,FALSE,127.321693,,10.11805556,78.49683333,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49683333333333 10.118055555555555, 78.49944444444445 10.118833333333335)"
142,465,,S,A+3,24,466-465,299.4201844,4.47,FALSE,127.789665,,10.11883333,78.49944444,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49944444444445 10.118833333333335, 78.50175 10.119555555555555)"
143,464,,S,A,21,465-464,266.6848628,3.71,FALSE,126.513077,,10.11955556,78.50175,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50175 10.119555555555555, 78.50413888888889 10.120305555555555)"
144,463,2W,T,C,21,464-463,271.816093,0.82,FALSE,127.433617,"4°58'48""L",10.12030556,78.50413889,Good,Available,11KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50413888888889 10.120305555555555, 78.50672222222222 10.120916666666668)"
145,462,,S,A,21,463-462,293.4287705,1.96,FALSE,129.687347,,10.12091667,78.50672222,Good,Available,LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50672222222222 10.120916666666668, 78.50919444444445 10.121444444444444)"
146,461,,T,C,21,462-461,276.6070396,0.31,FALSE,128.558197,"2°53'60""R",10.12144444,78.50919444,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50919444444445 10.121444444444444, 78.51144444444445 10.122083333333334)"
147,460,,S,A,21,461-460,256.7424798,5.27,FALSE,128.330582,,10.12208333,78.51144444,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51144444444445 10.122083333333334, 78.51380555555555 10.122777777777777)"
148,459,,S,A,21,460-459,269.1869914,3.11,FALSE,126.907555,,10.12277778,78.51380556,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51380555555555 10.122777777777777, 78.51611111111112 10.12338888888889)"
149,458,,S,A,21,459-458,263.0737331,1.52,FALSE,124.222351,,10.12338889,78.51611111,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51611111111112 10.12338888888889, 78.5183611111111 10.124027777777778)"
150,457,,S,A,21,458-457,255.9928895,3.81,FALSE,123.881943,,10.12402778,78.51836111,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5183611111111 10.124027777777778, 78.52063888888888 10.124666666666666)"
151,456,,T,D,21,457-456,259.84649,5.16,FALSE,122.38253,"40°21'36""R",10.12466667,78.52063889,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52063888888888 10.124666666666666, 78.52222222222223 10.126972222222223)"
152,455,,S,A,21,456-455,310.4335881,2.69,FALSE,123.066635,,10.12697222,78.52222222,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52222222222223 10.126972222222223, 78.52377777777778 10.129277777777778)"
153,454,,S,A+3,24,455-454,306.732972,3.26,FALSE,121.388245,,10.12927778,78.52377778,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52377777777778 10.129277777777778, 78.52527777777777 10.131555555555556)"
154,453,,S,A,21,454-453,299.5559201,3.44,FALSE,122.902939,,10.13155556,78.52527778,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52527777777777 10.131555555555556, 78.52680555555555 10.133805555555556)"
155,452,,S,A,21,453-452,300.8239143,4.02,FALSE,121.950424,,10.13380556,78.52680556,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52680555555555 10.133805555555556, 78.52833333333334 10.136055555555554)"
156,451,,S,A,21,452-451,300.1866356,3.08,FALSE,121.375809,,10.13605556,78.52833333,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52833333333334 10.136055555555554, 78.52986111111112 10.138472222222221)"
157,450,2W,T,C,21,451-450,314.1160511,1.98,FALSE,121.314003,"21°13'12""L",10.13847222,78.52986111,Good,Available,,RIVER,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52986111111112 10.138472222222221, 78.53191666666666 10.139944444444444)"
158,449,,S,A,21,450-449,277.9517587,2.12,FALSE,123.682961,,10.13994444,78.53191667,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53191666666666 10.139944444444444, 78.53391666666667 10.141416666666666)"
159,448,,S,A,21,449-448,273.6903749,2.86,FALSE,124.185699,,10.14141667,78.53391667,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53391666666667 10.141416666666666, 78.53616666666666 10.142999999999999)"
160,447,,S,A,21,448-447,302.3149845,5.18,FALSE,124.857384,,10.143,78.53616667,Good,Available,LT- 2N,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53616666666666 10.142999999999999, 78.53836111111112 10.14461111111111)"
161,446,,S,A,21,447-446,300.9474194,3.28,FALSE,121.210205,,10.14461111,78.53836111,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53836111111112 10.14461111111111, 78.54052777777778 10.146194444444443)"
162,445,,S,A,21,446-445,294.2340436,4.97,FALSE,120.962273,,10.14619444,78.54052778,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54052777777778 10.146194444444443, 78.54277777777777 10.147805555555555)"
163,444,,S,A,21,445-444,302.5777243,4.27,FALSE,118.822739,,10.14780556,78.54277778,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54277777777777 10.147805555555555, 78.54491666666667 10.149472222222222)"
164,443,,S,A,21,444-443,298.6247364,4.64,FALSE,118.583633,,10.14947222,78.54491667,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54491666666667 10.149472222222222, 78.54697222222222 10.151111111111112)"
165,442,,S,A,21,443-442,290.1662883,2.07,FALSE,117.525902,,10.15111111,78.54697222,Good,Available,LT-2N,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54697222222222 10.151111111111112, 78.54899999999999 10.152666666666667)"
166,441,2W,T,D,21,442-441,280.8934203,2.69,FALSE,117.470085,"46°53'60""L",10.15266667,78.549,Good,Available,,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54899999999999 10.152666666666667, 78.55144444444444 10.152305555555555)"
167,440,,S,A,21,441-440,272.541036,2.5,FALSE,116.570427,,10.15230556,78.55144444,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55144444444444 10.152305555555555, 78.55405555555555 10.151916666666667)"
168,439,,S,A,21,440-439,289.3395297,1.73,FALSE,115.280968,,10.15191667,78.55405556,Good,Available,110KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55405555555555 10.151916666666667, 78.55661111111111 10.151527777777778)"
169,438,,T,C,21,439-438,282.178938,3.26,FALSE,113.934776,"1°43'12""R",10.15152778,78.55661111,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55661111111111 10.151527777777778, 78.5593611111111 10.151194444444444)"
170,437,,S,A,21,438-437,304.8175148,2.53,FALSE,113.336838,,10.15119444,78.55936111,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5593611111111 10.151194444444444, 78.56213888888888 10.150833333333333)"
171,436,,S,A,21,437-436,306.80852,1.7,FALSE,112.067345,,10.15083333,78.56213889,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56213888888888 10.150833333333333, 78.56488888888889 10.150500000000001)"
172,435,,S,A,21,436-435,303.6906056,0.67,FALSE,112.180595,,10.1505,78.56488889,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56488888888889 10.150500000000001, 78.56755555555556 10.150166666666667)"
173,434,,S,A,21,435-434,294.5712668,1.82,FALSE,111.779984,,10.15016667,78.56755556,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56755555555556 10.150166666666667, 78.57030555555555 10.149916666666666)"
174,433,,S,A,21,434-433,304.3001829,0.83,FALSE,110.062508,,10.14991667,78.57030556,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57030555555555 10.149916666666666, 78.57280555555555 10.149722222222222)"
175,432,,T,D,21,433-432,272.5661366,2.1,FALSE,108.507301,"30°50'24""L",10.14972222,78.57280556,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57280555555555 10.149722222222222, 78.57447222222221 10.148527777777778)"
176,431,,S,A,21,432-431,225.1893402,2.4,FALSE,106.462952,,10.14852778,78.57447222,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57447222222221 10.148527777777778, 78.5761111111111 10.147388888888889)"
177,430,,S,A,21,431-430,220.8482998,1.91,FALSE,106.277596,,10.14738889,78.57611111,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5761111111111 10.147388888888889, 78.57752777777777 10.14636111111111)"
178,429,,T,C,21,430-429,190.0911148,1.34,FALSE,106.390312,"18°34'48""L",10.14636111,78.57752778,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57752777777777 10.14636111111111, 78.57888888888888 10.144444444444444)"
179,428,,S,A,21,429-428,260.0142235,1.73,FALSE,103.827629,,10.14444444,78.57888889,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57888888888888 10.144444444444444, 78.58013888888888 10.14275)"
180,427,,S,A,21,428-427,233.3487669,1.59,FALSE,103.258537,,10.14275,78.58013889,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58013888888888 10.14275, 78.58105555555555 10.141555555555556)"
181,426,2W,T,D,21,427-426,166.4802012,2.16,FALSE,103.837303,"36°19'48""R",10.14155556,78.58105556,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58105555555555 10.141555555555556, 78.58369444444443 10.140722222222221)"
182,425,,S,A,21,426-425,305.2756792,1.07,FALSE,103.374702,,10.14072222,78.58369444,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58369444444443 10.140722222222221, 78.58633333333333 10.139888888888889)"
183,424,,T,C,21,425-424,304.0166032,2.34,FALSE,104,"13°31'48""R",10.13988889,78.58633333,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58633333333333 10.139888888888889, 78.58852777777777 10.13975)"
184,423,,S,A,21,424-423,238.1943839,3.01,FALSE,103.876312,,10.13975,78.58852778,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58852777777777 10.13975, 78.59058333333333 10.139555555555555)"
185,422,,T,C,21,423-422,227.654232,2.67,FALSE,102.47963,"14°10'12""L",10.13955556,78.59058333,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59058333333333 10.139555555555555, 78.59330555555555 10.138583333333333)"
186,421,,S,A,21,422-421,317.2755073,1.82,FALSE,104.442642,,10.13858333,78.59330556,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59330555555555 10.138583333333333, 78.59619444444444 10.137555555555554)"
187,420,,S,A,21,421-420,335.2661941,1.12,FALSE,103.01606,,10.13755556,78.59619444,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59619444444444 10.137555555555554, 78.5983611111111 10.136777777777777)"
188,419,,T,D,21,420-419,253.051948,0.59,FALSE,108.809708,"23°37'12""R",10.13677778,78.59836111,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5983611111111 10.136777777777777, 78.60038888888889 10.137083333333333)"
189,418,,S,A,21,419-418,226.0351268,3.18,FALSE,106.512375,,10.13708333,78.60038889,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60038888888889 10.137083333333333, 78.60238888888888 10.13738888888889)"
190,417,,S,A,21,418-417,222.7241763,4.72,FALSE,106.677795,,10.13738889,78.60238889,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60238888888888 10.13738888888889, 78.60433333333333 10.137638888888889)"
191,416,,T,C,21,417-416,214.9917852,2.51,FALSE,107.100929,"11°55'12""R",10.13763889,78.60433333,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60433333333333 10.137638888888889, 78.60588888888888 10.138166666666667)"
192,415,,T,D,21,416-415,178.6978416,5.19,FALSE,108.277542,"36°39'36""L",10.13816667,78.60588889,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60588888888888 10.138166666666667, 78.60858333333333 10.13736111111111)"
193,414,,S,A,21,415-414,309.4972759,2.87,FALSE,107.26062,,10.13736111,78.60858333,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60858333333333 10.13736111111111, 78.61144444444444 10.136416666666666)"
194,413,,S,A+3,24,414-413,329.9952071,3.92,FALSE,105.663345,,10.13641667,78.61144444,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61144444444444 10.136416666666666, 78.61416666666666 10.1355)"
195,412,,S,A,21,413-412,317.2168528,1.07,FALSE,104.276428,,10.1355,78.61416667,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61416666666666 10.1355, 78.61669444444443 10.134666666666666)"
