SL.NO,TOWER NO,TOWER S/T,DEVIATION OF  ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
48,48,S,,GCR,27,T47-T48,289.7534543590669,1.84,76,8.99334547547357,77.7871372550726,AVAILABLE,,,PLAIN LAND,"Dc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7871372550726 8.99334547547357, 77.7877209708094 8.99623346156894)"
49,49,S,,GCR,27,T48-T49,326.0492228514783,1.23,76,8.99623346156894,77.7877209708094,AVAILABLE,LT LINE,,PLAIN LAND," Dc line,  Lt line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7877209708094 8.99623346156894, 77.7883318439126 8.9991823560525)"
50,50,S,,GCR,27,T49-T50,333.2509439355789,2.97,76,8.9991823560525,77.7883318439126,AVAILABLE,,,PLAIN LAND,"Dc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7883318439126 8.9991823560525, 77.7887495979666 9.00140204145763)"
51,51,S,,GCR,30,T50-T51,249.9515920533129,1.78,78,9.00140204145763,77.7887495979666,AVAILABLE,,ROAD,PLAIN LAND,"Dc line , road,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7887495979666 9.00140204145763, 77.7891301363706 9.00352005170987)"
52,52,S,,GCR,27,T51-T52,238.14500079792404,6.38,78,9.00352005170987,77.7891301363706,AVAILABLE,11KV LINE,,PLAIN LAND,"Dc line, 11 kv line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7891301363706 9.00352005170987, 77.7895931527018 9.00587415455162)"
53,53,T,"3°35'0""RT",HCR+3,27,T52-T53,268,3.22,77,9.00587415455162,77.7895931527018,AVAILABLE,,,PLAIN LAND,"Dc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7895931527018 9.00587415455162, 77.7900397405028 9.00797260128687)"
=1+A59,54,S,,GCR,27,T53-T54,237.41080571236415,3.24,78,9.00797260128687,77.7900397405028,AVAILABLE,,,PLAIN LAND,"DC LINE ,Plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7900397405028 9.00797260128687, 77.7904256433248 9.01013560795675)"
=1+A60,55,S,,GCR+3,30,T54-T55,243.1516323614572,1.24,78,9.01013560795675,77.7904256433248,AVAILABLE,11KV LINE,,PLAIN LAND,"DC LINE ,11kv line , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7904256433248 9.01013560795675, 77.7908980473876 9.01245655401969)"
=1+A61,56,S,,GCR,27,T55-T56,262.10319760730033,5.4,81,9.01245655401969,77.7908980473876,AVAILABLE,,,PLAIN LAND,"DC LINE ,Plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7908980473876 9.01245655401969, 77.7912309765815 9.01434667856126)"
=1+A62,57,S,,GCR,27,T56-T57,212.39349679551233,4.92,80,9.01434667856126,77.7912309765815,AVAILABLE,,,PLAIN LAND,"DC LINE ,Plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7912309765815 9.01434667856126, 77.79162324965 9.0162483828815)"
