SL.NO,TOWER NO,TOWER S/T,DEVIATION OF  ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
=1+A237,230,S,,GCR,27,T229 - T230,261.87331461218804,7.28,79,9.3773388534751,77.8893465176224,AVAILABLE,,CART TRACK,PLAIN LAND,"DC Line,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8893465176224 9.3773388534751, 77.8869419172406 9.37796372603743)"
=1+A238,231,S,,GCR,27,T230 - T231,273.24868979196424,12.64,76,9.37796372603743,77.8869419172406,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8869419172406 9.37796372603743, 77.8844907134771 9.37874142451512)"
=1+A239,232,S,,GCR,27,T231- T232,282.88831885567953,2.63,76,9.37874142451512,77.8844907134771,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8844907134771 9.37874142451512, 77.882410660386 9.37978044813142)"
=1+A240,233,S,,GCR,27,T232- T233,255.96345853463953,8.54,78,9.37978044813142,77.882410660386,AVAILABLE,765KV LINE,,PLAIN LAND,"DC Line,765kv line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.882410660386 9.37978044813142, 77.8803051263094 9.38085850213698)"
=1+A241,234,S,,GCR,27,T233- T234,260.4201088184398,2.84,79,9.38085850213698,77.8803051263094,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8803051263094 9.38085850213698, 77.8782656416297 9.38194647653158)"
=1+A242,235,S,,GCR,27,T234- T235,254.50458517278463,5.62,79,9.38194647653158,77.8782656416297,AVAILABLE,LT LINE,ODAI(NALA),PLAIN LAND,"DC Line,lt line,odai(nala),plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8782656416297 9.38194647653158, 77.8762013465166 9.3830083150786)"
=1+A243,236,T,"20°28'22""RT",HCR,24,T235- T236,255.56670406765824,1.89,77,9.3830083150786,77.8762013465166,AVAILABLE,LT LINE,ODAI(NALA),PLAIN LAND,"DC Line,lt line,odai(nala),plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8762013465166 9.3830083150786, 77.8742346167564 9.38464340776558)"
=1+A244,237,S,,GCR,27,T236- T237,281.9665009961213,1.04,77,9.38464340776558,77.8742346167564,AVAILABLE,"LT LINE,22KV LINE",CART TRACK,PLAIN LAND,"DC Line,lt line,22kv line,cart track,fencing,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8742346167564 9.38464340776558, 77.8724087029695 9.38620307325132)"
=1+A245,238,S,,GCR+3,30,T237- T238,264.7593943564645,1.38,77,9.38620307325132,77.8724087029695,AVAILABLE,LT LINE,ROAD,PLAIN LAND,"DC Line,lt line,road,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8724087029695 9.38620307325132, 77.8705267980694 9.38767672740527)"
=1+A246,239,S,,GCR,27,T238- T239,263.45520314852814,3.81,77,9.38767672740527,77.8705267980694,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8705267980694 9.38767672740527, 77.8684323281049 9.38937497786611)"
=1+A247,240,S,,GCR+3,30,T239- T240,297.2405314370133,6.27,78,9.38937497786611,77.8684323281049,AVAILABLE,LT  LINE,ROAD,PLAIN LAND,"DC Line,lt line,road,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8684323281049 9.38937497786611, 77.8665494173765 9.39099217825189)"
=1+A248,241,S,,GCR,27,T240- T241,273.66119521042464,3.25,77,9.39099217825189,77.8665494173765,AVAILABLE,,,PLAIN LAND,"DC Line,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8665494173765 9.39099217825189, 77.8647167980671 9.39244728828506)"
=1+A249,242,S,,GCR,27,T241- T242,257.9321990543488,2.94,77,9.39244728828506,77.8647167980671,AVAILABLE,,ODAI(NALA),PLAIN LAND,"DC Line,odai(nala)plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8647167980671 9.39244728828506, 77.8636643663048 9.39364736079401)"
=1+A250,243,S,,GCR,27,T242- T243,176.15683321971594,1.68,77,9.39364736079401,77.8636643663048,AVAILABLE,,,PLAIN LAND,"DC Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8636643663048 9.39364736079401, 77.8627678379416 9.39405388937524)"
=1+A251,244,S,,GCR,27,T243- T244,108.34099369120906,1.24,77,9.39405388937524,77.8627678379416,AVAILABLE,,,PLAIN LAND,"DC Line, plane land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8627678379416 9.39405388937524, 77.8607980906963 9.39569918406416)"
=1+A252,245,T,"37°33'29""LT",KCR,24,T244- T245,282.93860934484303,9.64,78,9.39569918406416,77.8607980906963,AVAILABLE,,RIVER,PLAIN LAND,"DC Line, plain land, river ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8607980906963 9.39569918406416, 77.8599937632679 9.3957087766319)"
=1+A253,245A,DP,,DP,9,T245- T245A,88.42265368107655,8.62,77,9.3957087766319,77.8599937632679,AVAILABLE,230KV LINE,,PLAIN LAND,"DC Line,DP Plain land 230kv line under crossing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8599937632679 9.3957087766319, 77.8595662862062 9.39574450067497)"
=1+A254,246,T,"17°19'47""RT",KCR,24,T245A- T246,47.1564802015119,7.81,78,9.39574450067497,77.8595662862062,AVAILABLE,,,PLAIN LAND,"DC Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8595662862062 9.39574450067497, 77.857073508203 9.39661643080529)"
=1+A255,247,S,,GCR,27,T246- T247,290.5226279689618,2.68,79,9.39661643080529,77.857073508203,AVAILABLE,,,PLAIN LAND,"DC Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.857073508203 9.39661643080529, 77.8546206280589 9.39746355050187)"
=1+A256,248,S,,GCR,27,T247- T248,285.47346939431543,1.47,81,9.39746355050187,77.8546206280589,NOT AVAILABLE,230KV LINE,,PLAIN LAND,"DC Line,Plain land T247 To T248 earth wire IS NOT AVAILABLE 230 kv under crossing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8546206280589 9.39746355050187, 77.8521053865552 9.39835135353522)"
=1+A257,249,S,,GCR+3,30,T248- T249,293.43333437944653,2.96,82,9.39835135353522,77.8521053865552,AVAILABLE,,ROAD,PLAIN LAND,"DC Line,plain land, road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8521053865552 9.39835135353522, 77.8496025502681 9.39924411591385)"
=1+A258,250,S,,GCR,27,T249- T250,292.33280140621525,2.57,83,9.39924411591385,77.8496025502681,AVAILABLE,,,PLAIN LAND,"DC Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8496025502681 9.39924411591385, 77.8470956906676 9.40010876020183)"
=1+A259,251,S,,GCR,27,T250- T251,291.71157201585913,12.85,84,9.40010876020183,77.8470956906676,AVAILABLE,,,PLAIN LAND,"DC Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8470956906676 9.40010876020183, 77.8445811197161 9.40099821031601)"
=1+A260,252,S,,GCR,27,T251- T252,293.4212188663635,2.65,85,9.40099821031601,77.8445811197161,AVAILABLE,,,PLAIN LAND,"DC Line,plain, land ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8445811197161 9.40099821031601, 77.8420688956976 9.40187244261845)"
=1+A261,253,S,,GCR,27,T252- T253,292.615023982018,1.86,84,9.40187244261845,77.8420688956976,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8420688956976 9.40187244261845, 77.8395771235227 9.4027493188839)"
=1+A262,254,S,,GCR,27,T253- T254,290.5910849303465,6.54,84,9.4027493188839,77.8395771235227,AVAILABLE,,ODAI(NALA),PLAIN LAND,"DC Line,plain land,odai( nala)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8395771235227 9.4027493188839, 77.8371081501245 9.40365430842915)"
=1+A263,255,S,,GCR,27,T254- T255,289.29149156518054,4.98,84,9.40365430842915,77.8371081501245,AVAILABLE,,"CART TRACK-2NOS,RIVER",PLAIN LAND,"DC Line, plain land cart track-2 ,river",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8371081501245 9.40365430842915, 77.8344869613647 9.40453911865266)"
=1+A264,256,T,"8°34'39""RT",HCR,24,T255- T256,304.3164979309473,3.26,86,9.40453911865266,77.8344869613647,AVAILABLE,,CART TRACK,PLAIN LAND,"DC Line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8344869613647 9.40453911865266, 77.8324092552065 9.40568688779484)"
=1+A265,257,S,,GCR,27,T256- T257,261.3432142088567,2.94,86,9.40568688779484,77.8324092552065,AVAILABLE,,CART TRACK,PLAIN LAND,"DC Line, plain land ,cart track ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8324092552065 9.40568688779484, 77.830105908215 9.40687533753565)"
=1+A266,258,S,,GCR,27,T257- T258,285.3208336627093,4.98,86,9.40687533753565,77.830105908215,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.830105908215 9.40687533753565, 77.8277640044689 9.40809255986656)"
=1+A267,259,T,"4°31'30""LT",HCR,24,T258- T259,290.54959715857996,9.47,87,9.40809255986656,77.8277640044689,AVAILABLE,11KV LINE,,PLAIN LAND,"DC Line,plain land ,11kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8277640044689 9.40809255986656, 77.8265080600977 9.40866743131476)"
=1+A268,260,S,,GCR,27,T259- T260,152.0125097911636,13.87,88,9.40866743131476,77.8265080600977,AVAILABLE,230KV LINE,,PLAIN LAND,"DC Line,  plain land, 230kv line ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8265080600977 9.40866743131476, 77.8240836784243 9.4096815577878)"
=1+A269,261,T,"53°50'14""RT",KCR,24,T260- T261,289.1626697293723,2.67,89,9.4096815577878,77.8240836784243,AVAILABLE,,,PLAIN LAND,"DC Line,  plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8240836784243 9.4096815577878, 77.8236166387796 9.41174552420031)"
=1+A270,262,T,"8°1'33""RT",HCR,24,T261- T262,234.16008859965336,5.92,89,9.41174552420031,77.8236166387796,AVAILABLE,,RIVER,PLAIN LAND,"DC Line,plain land, river ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8236166387796 9.41174552420031, 77.823321595788 9.41450837533289)"
=1+A271,263,S,,GCR,27,T262- T263,307.5382179827736,1.68,90,9.41450837533289,77.823321595788,AVAILABLE,,,PLAIN LAND,"DC Line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.823321595788 9.41450837533289, 77.8231586515903 9.41735124769844)"
=1+A272,264,T,"44°55'15""RT",KCR,24,T263- T264,315.1910457643143,4.29,90,9.41735124769844,77.8231586515903,AVAILABLE,,,PLAIN LAND,"DC Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8231586515903 9.41735124769844, 77.8244055435061 9.41879367812223)"
=1+A273,265,S,,GCR,27,T264- T265,210.41901726081466,2.74,91,9.41879367812223,77.8244055435061,AVAILABLE,,,AGRI LAND,GR DC agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8244055435061 9.41879367812223, 77.8256158903241 9.42023014893692)"
=1+A274,266,T,,KCR,24,T265- T266,207.31926498521284,6.54,93,9.42023014893692,77.8256158903241,AVAILABLE,,,PLAIN LAND,"DC Line,plain land ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8256158903241 9.42023014893692, 77.8259193152189 9.42013092250126)"
,Anupankulam,,,,,T266- Aupankuam Gantry,35.11348055937868,,93,9.42013092250126,77.8259193152189,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H7:H276)/1000,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
