S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Model,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation(m),"Deviation Angle
Degrees",Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
63,61,,S,PA,A+0,24,60-61,205,7.05,FALSE,272.1768799,,10.23538403,78.22239348,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2223934773355 10.2353840321302, 78.2239960134029 10.234656818211)"
64,62,,S,PA,A+0,24,61-62,202,3.37,FALSE,283.7125244,,10.23465682,78.22399601,Good,Good,2-LT,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2239960134029 10.234656818211, 78.2264680042862 10.2335847727954)"
65,63,,S,PA,A+0,24,62-63,304,2.8,FALSE,266.1687012,,10.23358477,78.226468,Good,Good,3 -LT,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2264680042862 10.2335847727954, 78.2288206368684 10.2325355261564)"
66,64,,T,PC,B+0,22,63-64,291,5.51,FALSE,265.4477539,3°36'12''RT,10.23253553,78.22882064,Good,Good,2-LT ,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2288206368684 10.2325355261564, 78.2309314515441 10.2314311265945)"
67,65,,S,PA,A+0,24,64-65,270,6.17,FALSE,255.1136475,,10.23143113,78.23093145,Good,Good,3-LT,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2309314515441 10.2314311265945, 78.2333204615861 10.2301196940243)"
68,66,,S,PA,A+0,24,65-66,308,4.48,FALSE,258.4782715,,10.23011969,78.23332046,Good,Good,"22KV, 2-LT",THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2333204615861 10.2301196940243, 78.2356500439345 10.2288023941218)"
69,67,,S,PA,A+0,24,66-67,303,3.13,FALSE,261.8427734,,10.22880239,78.23565004,Good,Good,"2-LT,22KV",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2356500439345 10.2288023941218, 78.2379794586449 10.2275880239903)"
70,68,,T,PC,C+0,22,67-68,297,3.16,0,252.2297363,21°7'16''RT,10.22758802,78.23797946,Good,Good,5-LT,CAR TRACK,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2379794586449 10.2275880239903, 78.2393371593207 10.2260475140064)"
71,69,,T,PC,D+0,24,68-69,235,2.84,FALSE,251.0279541,34°50'51''RT,10.22604751,78.23933716,Good,Good,"3-22KV,2-LT",THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2393371593207 10.2260475140064, 78.2395270932465 10.2243360131978)"
72,70,,T,PC,D+0,24,69-70,200,3.09,FALSE,247.4230957,30°14'18''LT,10.22433601,78.23952709,Good,Good,2-22KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2395270932465 10.2243360131978, 78.2392954174429 10.223807953298)"
73,71,,T,PC,D+0,24,70-71,72,3.16,FALSE,243.8182373,91°55'22''RT,10.22380795,78.23929542,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2392954174429 10.223807953298, 78.2389890588819 10.2239521220326)"
74,GANTRY NATHAM,2W,T,,BAY,12,71-GANTRY NATHAM,46,NIL,,251.7490234,,10.22395212,78.23898906,Good,NO E/W,,,Plain,NATHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
