S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
39,59/36,,S,DC,26,59/39 - 59/40,305.9940703,4.89,FALSE,342.3526611,0°46'4''LT,10.49856875,77.40336595,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4033659510314 10.4985687509179, 77.4026012700051 10.4964694194495)"
40,59/37,,T,DC,26,59/40 - 59/41,252.9492348,5.25,FALSE,344.7558594,1°16'34''RT,10.49646942,77.40260127,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4026012700051 10.4964694194495, 77.4018678534775 10.4943073913455)"
41,59/38,,S,DC,26,59/41 - 59/42,258.3765992,4.74,FALSE,337.5460205,0°40'38''LT,10.49430739,77.40186785,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4018678534775 10.4943073913455, 77.401039302349 10.491956602782)"
42,59/39,,S,DC,26,59/42 - 59/43,281.5139354,3.23,FALSE,338.0267334,0°10'49''LT,10.4919566,77.4010393,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.401039302349 10.491956602782, 77.4002391658723 10.4897089954465)"
43,59/40,,S,DC,26,59/43 - 59/44,269.7091908,2.57,FALSE,337.5460205,0°9'55''LT,10.489709,77.40023917,GOOD,Available,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4002391658723 10.4897089954465, 77.3994574695825 10.4875330533832)"
44,59/41,,T,DC,26,59/44 - 59/45,261.5592508,3.46,FALSE,340.1896973,4°53'51''RT,10.48753305,77.39945747,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3994574695825 10.4875330533832, 77.3989848140627 10.4857520665973)"
45,59/42,,S,DC,26,59/45 - 59/46,209.7711837,4.73,FALSE,344.7558594,0°52'19''LT,10.48575207,77.39898481,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3989848140627 10.4857520665973, 77.3985804710537 10.4843169171363)"
46,59/43,,S,DC,26,59/46 - 59/47,170.8740102,2.48,FALSE,341.6315918,1°34'60''RT,10.48431692,77.39858047,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3985804710537 10.4843169171363, 77.3981658183038 10.482672387734)"
47,59/44,2W,T,DC,26,59/47 - 59/48,193.5663927,3.92,FALSE,336.5848389,1°43'20''RT,10.48267239,77.39816582,GOOD,Available,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3981658183038 10.482672387734, 77.3976289574056 10.4802366066724)"
48,59/45,,S,DC,26,59/48 - 59/49,281.8848705,3.85,FALSE,336.3444824,0°5'9''LT,10.48023661,77.39762896,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3976289574056 10.4802366066724, 77.3971315752714 10.4779958724975)"
49,59/46,,S,DC,26,59/49 - 59/50,259.8753851,2.87,FALSE,339.2283936,0°48'46''RT,10.47799587,77.39713158,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3971315752714 10.4779958724975, 77.3966792039573 10.4758119676262)"
50,59/47,,S,DC,26,59/50 - 59/51,252.699566,5.82,FALSE,337.0654297,1°14'25''LT,10.47581197,77.3966792,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3966792039573 10.4758119676262, 77.3962203785777 10.4738154821097)"
51,59/48,,T,DC,26,59/51 - 59/52,232.5761597,1.49,FALSE,336.3444824,23°36'12''RT,10.47381548,77.39622038,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3962203785777 10.4738154821097, 77.3966502025723 10.4715320840477)"
52,59/49,,S,DC,26,59/52 - 59/53,263.0309737,0.95,FALSE,340.4300537,0°37'51''LT,10.47153208,77.3966502,GOOD,Available,LT - 2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3966502025723 10.4715320840477, 77.3969923518598 10.4695975407958)"
53,59/50,,S,DC,26,59/53 - 59/54,223.3336176,2.09,FALSE,343.5541992,0°38'10''RT,10.46959754,77.39699235,GOOD,Available,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3969923518598 10.4695975407958, 77.397439610213 10.4672226961702)"
54,59/51,,T,DC,26,59/54 - 59/55,273.3293012,4.42,FALSE,343.3138428,28°53'2''LT,10.4672227,77.39743961,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.397439610213 10.4672226961702, 77.3968614265322 10.4654660169035)"
55,59/52,,S,DC,26,59/55 - Gantry,210.4507958,5.02,FALSE,343.3138428,0°14'17''LT,10.46546602,77.39686143,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3968614265322 10.4654660169035, 77.3962494637817 10.4636323917657)"
56,59/53,,S,DC,26,Gantry - ,219.6947471,3.75,FALSE,339.9493408,0°0'28''LT,10.46363239,77.39624946,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3962494637817 10.4636323917657, 77.3959154449403 10.4626320116221)"
57,59/54,,T,DC,26, - ,122.5915879,2.04,FALSE,346.197876,14°45'8''LT,10.46263201,77.39591544,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3959154449403 10.4626320116221, 77.3954739701002 10.461957771331)"
58,59/55,,T,DC,26, - ,94.91083036,2.42,FALSE,346.6784668,4°40'54''RT,10.46195777,77.39547397,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3954739701002 10.461957771331, 77.3953181505203 10.4616711940616)"
59,Gantry,3W,T,H-POLE,12,59/55-gantry,42.0137082,,,359.1755371,,10.46167119,77.39531815,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
