SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
76,74,,T,"05°45'03""RT",HC,21.94,T73-T74,295.7555575,2.64,95,8.85390639,77.72397827,GOOD,AVAILABLE,,,HILLS AREA,"DC LINE,HILL AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72397827172614 8.853906389506262, 77.72549673850689 8.85523478205405)"
77,75,,S,,GC,23.62,T74-T75,222.6161181,1.7,91,8.855234782,77.72549674,GOOD,AVAILABLE,,,HILLS AREA,"DC LINE,HILL AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72549673850689 8.85523478205405, 77.72785339261054 8.857354565657085)"
78,76,,T,"01°53'42""RT",HC,24.94,T75-T76,349.7811848,2.39,75,8.857354566,77.72785339,GOOD,AVAILABLE,,ROAD,HILLS AREA,"DC LINE,HILL AREA,ROAD ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72785339261054 8.857354565657085, 77.73008834696506 8.859214622292251)"
79,77,,T,"01°07'21""LT",HC,21.94,T76-T77,320.79956,2.98,72,8.859214622,77.73008835,GOOD,NOT AVAILABLE,230KV LINE,,HILLS AREA,"DC LINE,T76-T77 EARTHWIRE IS NOT AVAILABLE,400 KV CROSSING OUR LINE BOTTOM,HILL AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73008834696506 8.859214622292251, 77.73218985351431 8.861071355203247)"
80,78,,S,,GC+3,26.62,T77-T78,309.432435,1.47,68,8.861071355,77.73218985,GOOD,AVAILABLE,,ROAD,HILLS AREA,"DC LINE,HILL AREA,ROAD ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73218985351431 8.861071355203247, 77.73428667772835 8.86292112889296)"
81,79,,S,,GC,23.62,T78-T79,308.5353082,1.72,68,8.862921129,77.73428668,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73428667772835 8.86292112889296, 77.73644719033214 8.864750348676157)"
82,80,,S,,GC,23.62,T79-T80,312.3348461,1.9,63,8.864750349,77.73644719,GOOD,AVAILABLE,LT LINE-2NOS,FENCING-2NOS,AGRI LAND,"DC LINE,2 LT LINE ,2 FENCING, AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73644719033214 8.864750348676157, 77.73859664931676 8.866575917171927)"
83,81,,S,,GC,23.62,T80-T81,311.1464166,1.31,59,8.866575917,77.73859665,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73859664931676 8.866575917171927, 77.74074778367927 8.868444543264433)"
84,82,2W,T,"00°00'24""LT",HC,21.94,T81-T82,314.4007393,2.4,57,8.868444543,77.74074778,GOOD,AVAILABLE,"LT LINE ,400KV LINE",CART TRACK,PLAIN LAND,"DC LINE,Lt LINE,CART TRACK ,400 kv Dc line koodankulam to tuticorin (Ps) t.no 267 to t.no 268 crossing,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74074778367927 8.868444543264433, 77.74284828163091 8.870288640680988)"
85,83,,S,,GC+3,26.62,T82-T83,308.4206258,1.73,56,8.870288641,77.74284828,GOOD,AVAILABLE,"11KV LINE,LT LINE ",ROAD,PLAIN LAND,"DC LINE,Lt line,11kv line, mudRoad,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74284828163091 8.870288640680988, 77.74495784123256 8.872089003860252)"
86,84,,S,,GC,23.62,T83-T84,305.9946846,1.86,54,8.872089004,77.74495784,GOOD,AVAILABLE,11KV LINE,,PLAIN LAND,"DC LINE,11 kv line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74495784123256 8.872089003860252, 77.74697284858 8.873826096439847)"
87,85,,S,,GC,23.62,T84-T85,293.5389552,1.31,53,8.873826096,77.74697285,GOOD,AVAILABLE,LT LINE,,PLAIN LAND,"DC LINE,Houses,Lt line,well,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74697284858 8.873826096439847, 77.74902473935578 8.875633735011514)"
88,86,,S,,GC+3,26.62,T85-T86,301.73836,1.76,52,8.875633735,77.74902474,GOOD,AVAILABLE,LT LINE-3NOS,ROAD,,"DC LINE,3-Lt line,Road,Houses,Village",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74902473935578 8.875633735011514, 77.75113697858288 8.87743472920254)"
89,87,,S,,GC,23.62,T86-T87,306.2631096,1.92,48,8.877434729,77.75113698,GOOD,AVAILABLE,LT LINE,"CART TRACK,ODAI(NALA)",PLAIN LAND,"DC LINE,11 kv line,cart track , odai(nala),Lt line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75113697858288 8.87743472920254, 77.75324653884097 8.879268513280566)"
90,88,,T,"00°00'00""",HC+3,24.94,T87-T88,308.4152601,2.63,48,8.879268513,77.75324654,GOOD,AVAILABLE,,ROAD,PLAIN LAND,"DC LINE,Road,bushes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75324653884097 8.879268513280566, 77.75534469802402 8.88108507023719)"
91,89,,T,"47°12'20""LT",KC,24,T88-T89,306.2157879,2.56,47,8.88108507,77.7553447,GOOD,AVAILABLE,33KV LINE ,RIVER,AGRI LAND,"DC LINE,33 kv line,Chittar River,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75534469802402 8.88108507023719, 77.75537688263105 8.882131503095495)"
92,90,,T,"57°28'18""RT",KC,24,T89-T90,115.8760422,2.31,47,8.882131503,77.75537688,GOOD,AVAILABLE,LT LINE-2NOS,,AGRI LAND,"DC LINE,2-Lt line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75537688263105 8.882131503095495, 77.75826461401363 8.883853279464024)"
93,91,,S,,GC,23.62,T90-T91,370.6193635,1.53,51,8.883853279,77.75826461,GOOD,AVAILABLE,,POND,WATER LOGGED AREA,"DC LINE,bushes,pond,water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75826461401363 8.883853279464024, 77.76067223708492 8.885267662576787)"
94,92,,T,"01°58'54""LT",HC,21.94,T91-T92,307.8043452,2.57,49,8.885267663,77.76067224,GOOD,AVAILABLE,,POND,WATER LOGGED AREA,"DC LINE,bushes, pond water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76067223708492 8.885267662576787, 77.76297860039037 8.886743321832771)"
95,93,,T,"01°05'06""RT",HC,21.94,T92-T93,301.8763024,2.98,53,8.886743322,77.7629786,GOOD,AVAILABLE,110KV LINE,ODAI(NALA),WATER LOGGED AREA,"DC LINE, odai(nala),110 kv  Dc line Dp crossing, our line is above,bushes,water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76297860039037 8.886743321832771, 77.76551562994501 8.888299786347412)"
96,94,,T,"00°04'05""RT",HC,21.94,T93-T94,328.1271269,2.76,53,8.888299786,77.76551563,GOOD,AVAILABLE,"11KV LINE,110KV LINE,LT LINE",,PLAIN LAND,"DC LINE,Lt line ,11kv line ,Road,110 kv line Dc line Dp crossing,our line is above,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76551562994501 8.888299786347412, 77.76734758005342 8.889426648455728)"
99,95,,T,"45°16'17""RT",KC,24,T94-T95,224,2.65,54,8.889426648,77.76734758,GOOD,AVAILABLE,110KV LINE,,PLAIN LAND,"DC LINE,110 kvline mc tower crossing , our line is below, T94-T95 EARTHWIRE IS AVAILABLE Z SHAPE( Cr 1 & Cr2 tower) plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76734758005342 8.889426648455728, 77.76914533165767 8.88899629994376)"
100,96,,T,"45°36'50""RT",KC+3,27,T95-T96,268,2.72,57,8.8889963,77.76914533,GOOD,AVAILABLE,"11KV LINE-2NOS,LT LINE",ROAD NH-7,PLAIN LAND,"DC LINE, 2-11 kv LINE ,NH-7,Lt LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76914533165767 8.88899629994376, 77.76945076629788 8.888487825977878)"
101,GANTRY KAYATHAR,2W,,,,,T96-Gantry (Kaythar),68,,57,8.888487826,77.76945077,GOOD,AVAILABLE,,,PLAIN LAND,KAYATHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,Km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
