S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
54,TN - 399,,S,DC on DC,32,TN - 396 : TN - 395,307.9639098,2.29,163,,9.878211021,77.958344,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9583439975976 9.87821102142334, 77.9558619484305 9.87663321197032)"
55,TN - 398,,S,DC on DC,32,TN - 395 : TN - 394,325.6585672,2.95,162,,9.876633212,77.95586195,GOOD,AVAILABLE,"LT -2, HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9558619484305 9.87663321197032, 77.9534914623945 9.87514047883451)"
56,TN - 397,,S,DC on DC,32,TN - 394 : TN - 393,310.2681094,0.37,163,,9.875140479,77.95349146,GOOD,AVAILABLE,400KV LINE UP XING,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9534914623945 9.87514047883451, 77.9509993549436 9.8735397029668)"
57,TN - 396,,S,DC on DC,32,TN - 393 : TN - 392,327.9647121,2.25,161,,9.873539703,77.95099935,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9509993549436 9.8735397029668, 77.9485255200415 9.87197387963533)"
58,TN - 395,,S,DC on DC,32,TN - 392 : TN - 391,324.1850231,1.09,159,,9.87197388,77.94852552,GOOD,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9485255200415 9.87197387963533, 77.9461063351482 9.87045424059033)"
59,TN - 394,,S,DC on DC,32,TN - 391 : TN - 390,316.3792523,1.15,158,,9.870454241,77.94610634,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9461063351482 9.87045424059033, 77.9436962027102 9.86890819855034)"
60,TN - 393,,S,DC on DC,32,TN - 390 : TN - 389,317.1185356,1.75,154,,9.868908199,77.9436962,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9436962027102 9.86890819855034, 77.9413074441254 9.86739987507462)"
61,TN - 392,2W,T,DC on DC,30,TN - 389 : TN - 388,312.8887625,1.99,156,34°2'28''RT,9.867399875,77.94130744,GOOD,AVAILABLE,"HT, LT","ROAD, POND",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9413074441254 9.86739987507462, 77.9402448702603 9.86497809179127)"
62,TN - 391,,S,DC on DC,32,TN - 388 : TN - 387,294.3815597,2.82,152,,9.864978092,77.94024487,GOOD,AVAILABLE,"HT, LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9402448702603 9.86497809179127, 77.9390995670109 9.86231759190559)"
63,TN - 390,,S,DC on DC,32,TN - 387 : TN - 386,322.2454983,8.72,160,,9.862317592,77.93909957,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9390995670109 9.86231759190559, 77.9379390086978 9.85963404178619)"
