S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Model,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation(m),"Deviation Angle 
(Degrees)",Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
49,48,,S,PA,A+0,24,51-52 LILO KANNIVADI,238,4.1,FALSE,304.6212158,,10.37255405,77.83998817,Good,Good,LT,MUD ROAD,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8399881720542 10.3725540451705, 77.8389203175902 10.374622028321)"
50,49,,T,PA,B+0,22,52 LILO KANNIVADI-53,262,3.37,FALSE,301.9776611,15°10'3''LT,10.37462203,77.83892032,Good,Good,,MUD ROAD,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8389203175902 10.374622028321, 77.8376808017492 10.3759732749313)"
51,50,,T,PB,C+0,22,53-54,207,5.74,FALSE,299.5742188,19°52'54''RT,10.37597327,77.8376808,Good,Good,LT,MUD ROAD,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8376808017492 10.3759732749313, 77.8365588001906 10.3786731697618)"
52,51,,T,PB,B+0,22,54-55,329,4.78,FALSE,303.1791992,0°4'35''LT,10.37867317,77.8365588,Good,Good,LT,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8365588001906 10.3786731697618, 77.8356001619249 10.3809712361544)"
53,52 LILO KANNIVADI,3W,T,KC,B+0,22,55-56,281,6.74,FALSE,299.3338623,5°20'30''LT,10.38097124,77.83560016,Good,Good,"22KV,LT",,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8356001619249 10.3809712361544, 77.8352670650929 10.3815971966832)"
54,53,,S,PA,A+0,24,56-57,83,5.1,FALSE,304.1405029,,10.3815972,77.83526707,Good,Good,,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8352670650929 10.3815971966832, 77.8343241848051 10.3833794407546)"
55,54,,S,PA,A+0,24,57-58,228,3.3,FALSE,307.505127,,10.38337944,77.83432418,Good,Good,LT,THAR ROAD,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8343241848051 10.3833794407546, 77.8333020955324 10.3853539656847)"
56,55,,S,PA,A+0,24,58-59,251,2.73,FALSE,304.6212158,,10.38535397,77.8333021,Good,Good,"22KV,2-LT",THAR ROAD,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8333020955324 10.3853539656847, 77.8323879651725 10.3870991617441)"
57,56,,S,PA,A+0,24,59-60,223,3.38,FALSE,304.8614502,,10.38709916,77.83238797,Good,Good,,THAR ROAD,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8323879651725 10.3870991617441, 77.8314419835805 10.3888811543583)"
58,57,,S,PA,A+0,24,60-61,228,4.13,FALSE,299.3338623,,10.38888115,77.83144198,Good,Good,2-LT,THAR ROAD,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8314419835805 10.3888811543583, 77.8305325470864 10.3906237520277)"
