SL.NO,TOWER NO,Tower Suspension/ Tension,DIVATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
81,85,S,,GC+3,26.62,T84-T85,223.70015222608646,41.54,4,8.6129790176325,78.0589177832007,AVAILABLE,11KV LINE,"THAR ROAD-2NOS, ODAI ",AGRILAND,"SC Line, 2nos thar road, odai (Nala), 11kv, line good , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0589177832007 8.6129790176325, 78.0592909455299 8.61116440940795)"
82,86,S,,GC,23.62,T85-T86,205.03870995746587,34.2,4,8.61116440940795,78.0592909455299,AVAILABLE,,,AGRILAND,"SC Line, Garden, LT line, Tar road, agri land,good",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0592909455299 8.61116440940795, 78.0600868910551 8.60907862683591)"
83,87,T,"27°32'58""LT",HC,22.94,T86-T87,246.9836135130707,42.980000000000004,4,8.60907862683591,78.0600868910551,AVAILABLE,,,AGRILAND,"SC Line, Canal, agriland, good",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0600868910551 8.60907862683591, 78.0612962320447 8.60800887978848)"
84,88,S,,GC,23.62,T87-T88,178.25550562047346,37.980000000000004,4,8.60800887978848,78.0612962320447,AVAILABLE,,,AGRILAND,"SC Line, plain land, good",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0612962320447 8.60800887978848, 78.0628740414977 8.60652806907842)"
85,89,S,,GC,23.62,T88-T89,238.93079227678479,41.980000000000004,4,8.60652806907842,78.0628740414977,AVAILABLE,,,WATER LOGGED AREA,"SC Line, water logged area, 11kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0628740414977 8.60652806907842, 78.064628 8.605304)"
86,90,S,,GC,23.62,T89-T90,225.74972522683697,40.14,2,8.605304,78.064628,AVAILABLE,,,AGRI LAND,"Sc Line, ,agri land, good,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.064628 8.605304, 78.066093 8.603697)"
87,91,S,,GC,23.62,T90-T91,241.42286552851616,39.87,3,8.603697,78.066093,AVAILABLE,,,AGRI LAND,"Sc Line, ,agri land, good,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.066093 8.603697, 78.066797 8.602135)"
88,92,s,,GC,23.62,T91-T92,237.8366197623784,37.54,3,8.602135,78.066797,AVAILABLE,,,AGRI LAND,"Sc Line, ,agri land, good,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.066797 8.602135, 78.0694394186139 8.60054542876542)"
89,93,S,,GC,23.62,T92-T93,275.7380519623477,42.980000000000004,3,8.60054542876542,78.0694394186139,AVAILABLE,11KV LINE,,AGRI LAND," sc line , Agriland,  11kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0694394186139 8.60054542876542, 78.07095956 8.599131553)"
90,94,S,"09°12'43""LT",HC,25.94,T93-T94,229.22785443753148,40.980000000000004,3,8.599131553,78.07095956,AVAILABLE,"LT LINE, 11KV LINE",ROAD,PLAIN LAND," sc line,  road -1no,  Lt line-1, 11kv line-1, plain land 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07095956 8.599131553, 78.07229094 8.597664631)"
91,95,S,,GC,23.62,T94-T95,218.8260153020992,47.87,3,8.597664631,78.07229094,AVAILABLE,"LT LINE, 11KV LINE",,PLAIN LAND," sc line,  lt line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07229094 8.597664631, 78.07314623 8.596205328)"
92,96,T,"11°48'08""RT",HC,23.62,T95-T96,187.01575754993175,41.78,2,8.596205328,78.07314623,AVAILABLE,,,PLAIN LAND," sc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07314623 8.596205328, 78.07507876 8.594710548)"
93,97,S,,GC,23.62,T96-T97,269.6530423284994,40.55,2,8.594710548,78.07507876,AVAILABLE,,,PLAIN LAND," sc line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07507876 8.594710548, 78.07709511 8.593353671)"
94,98,S,,HC,22.94,T97-T98,268.1633820136686,39.87,2,8.593353671,78.07709511,AVAILABLE,,,PLAIN LAND," sc line ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07709511 8.593353671, 78.0791527 8.591747822)"
95,99,T,"21°51'34""LT",GC,23.62,T98-T99,288.07954823971966,38.98,2,8.591747822,78.0791527,AVAILABLE,11KV LINE,,PLAIN LAND,"sc line ,plain land, 11kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0791527 8.591747822, 78.08122303 8.590180754)"
96,100,T,"13°18'07""RT",HCR,24.64,T99-T100,286.56749708401867,40.980000000000004,4,8.590180754,78.08122303,AVAILABLE,,,PLAIN LAND," dc line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08122303 8.590180754, 78.08270462 8.589012825)"
97,101,S,,GCR,25.64,T100-T101,208.23053234574456,47.56,4,8.589012825,78.08270462,AVAILABLE,22KV LINE,,PLAIN LAND," dc line ,plain land  22kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08270462 8.589012825, 78.08407184388817 8.587961803943886)"
98,102,T,"37°32'58""LT",KCR,26.24,T101-T102,190,39.45,4,8.587961803943886,78.08407184388817,AVAILABLE,,,PLAIN LAND," dc line ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08407184388817 8.587961803943886, 78.0843002 8.588105133)"
99,103,Arumuganeri,,,,T99-ARUMUGANERI GANTRY,31.430305439193685,,4,8.588105133,78.0843002,AVAILABLE,,,PLAIN LAND,Arumuganeri  ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H7:H105)/1000,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
