SL.NO,TOWER NO,Joint Box,TOWER S / T,DEVIATION OF  ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTANCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
38,38,2W,T,"05°42'53""LT",HC,21.94,T37-T38,296.6877036,33.5,161,8.457657086,77.79257677,AVAILABLE,,POND,WATER LOGGED AREA,"DC LINE,POND ,WATER LOGGED AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79257677380679 8.457657086023403, 77.79187671669888 8.459578552997511)"
39,39,,S,,GC+3,26.62,T38-T39,226.2332319,34.8,162,8.459578553,77.79187672,AVAILABLE,LT LINE,ROAD,AGRI LAND,"DC LINE,LT LINE ,ROAD ,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79187671669888 8.459578552997511, 77.79086955156222 8.46224552275439)"
40,40,,S,,GC,23.62,T39-T40,315.363428,34.8,168,8.462245523,77.79086955,AVAILABLE,LT LINE,,AGRI LAND,"DC LINE,LT LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79086955156222 8.46224552275439, 77.79016748403671 8.464238274101668)"
41,41,,S,,GC,23.62,T40-T41,233.7384579,36.8,171,8.464238274,77.79016748,AVAILABLE,LT LINE,,AGRI LAND,"DC LINE ,LT LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79016748403671 8.464238274101668, 77.78938494300428 8.466570596638796)"
42,42,,S,,GC,23.62,T41-T42,272.1700713,49.6,168,8.466570597,77.78938494,AVAILABLE,LT LINE,,AGRI LAND,"DC LINE,LT LINE ,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78938494300428 8.466570596638796, 77.78854340464082 8.46879380294806)"
43,43,,T,"26°10'55""LT",HC+3,24.94,T42-T43,262.9643311,37.8,172,8.468793803,77.7885434,AVAILABLE,LT LINE,ROAD,AGRI LAND,"DC LINE,POND ,LT LINE,ROAD ,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78854340464082 8.46879380294806, 77.78674666199386 8.470460569161567)"
44,44,,S,,GC,23.62,T43-T44,270.6194192,38.7,165,8.470460569,77.78674666,AVAILABLE,LT LINE,,AGRI LAND,"DC LINE,LT LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78674666199386 8.470460569161567, 77.78504513030943 8.472119042244445)"
45,45,,S,,GC,23.62,T44-T45,262.3965563,33,179,8.472119042,77.78504513,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78504513030943 8.472119042244445, 77.7834116629206 8.473818947541766)"
46,46,,S,,GC,23.62,T45-T46,260.3836936,33.4,184,8.473818948,77.78341166,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7834116629206 8.473818947541766, 77.78163838997358 8.47551885717221)"
47,47,,S,,GC,23.62,T46-T47,271.2614303,33.64,187,8.475518857,77.78163839,AVAILABLE,,ODAI(NALA),AGRI LAND,"DC LINE ,ODAI(NALA),AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78163838997358 8.47551885717221, 77.78002336955086 8.476988944594597)"
48,48,,T,"15°06'22""RT",HC,21.94,T47-T48,241.1358233,43.9,186,8.476988945,77.78002337,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78002336955086 8.476988944594597, 77.77878485395908 8.479037336895754)"
49,49,,S,,GC,23.62,T48-T49,264.6262867,37.82,190,8.479037337,77.77878485,AVAILABLE,LT LINE,ODAI(NALA),AGRI LAND,"DC LINE ,LT LINE ,ODAI(NALA),AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77878485395908 8.479037336895754, 77.77762849234331 8.48097563643001)"
50,50,,T,"18°37'30""RT",HC,21.94,T49-T50,249.5215785,32.54,191,8.480975636,77.77762849,AVAILABLE,"11KV LINE ,LT LINE-2NOS",,AGRI LAND,"DC LINE,11 KV LINE ,2NOS  LT LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77762849234331 8.48097563643001, 77.7771678165882 8.48308666319951)"
51,51,2W,T,"28°25'13""RT",HC,21.94,T50-T51,239.1030791,32.49,192,8.483086663,77.77716782,AVAILABLE,"LT LINE ,11KV LINE",POND,WATER LOGGED AREA,"DC LINE,LT LINE,11 KV LINE,POND ,WATER LOGGED AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7771678165882 8.48308666319951, 77.77783871163248 8.485366104788651)"
52,52,,S,,GC,23.62,T51-T52,262.9044335,33.7,191,8.485366105,77.77783871,AVAILABLE,,POND,WATER LOGGED AREA,"DC LINE ,POND ,WATER LOGGED AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77783871163248 8.485366104788651, 77.77847841598134 8.487608731023997)"
53,53,,S,,GC,23.62,T52-T53,258.0365089,32,191,8.487608731,77.77847842,AVAILABLE,,POND,WATER LOGGED AREA,"DC LINE,POND ,WATER LOGGED AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77847841598134 8.487608731023997, 77.77911174998819 8.48976412952512)"
54,54,,T,"03°07'45""LT",HC,21.94,T53-T54,248.5651618,33.4,192,8.48976413,77.77911175,AVAILABLE,,POND,WATER LOGGED AREA,"DC LINE,POND ,WATER LOGGED AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77911174998819 8.48976412952512, 77.77967165822113 8.492082329553261)"
55,55,,S,,GC+3,26.62,T54-T55,263.8996954,46.53,194,8.49208233,77.77967166,AVAILABLE,,ROAD,PLAIN LAND,"DC LINE,ROAD ,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77967165822113 8.492082329553261, 77.78018832133577 8.494393888503186)"
56,56,,T,"01°36'10""LT",HC,21.94,T55-T56,262.1088687,34.8,194,8.494393889,77.78018832,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78018832133577 8.494393888503186, 77.78062317657003 8.496605624755198)"
57,57,,S,,GC,23.62,T56-T57,249.4479362,32.4,194,8.496605625,77.78062318,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78062317657003 8.496605624755198, 77.78109021873595 8.49886211332987)"
58,58,,S,,GC,23.62,T57-T58,255.0029877,35.28,191,8.498862113,77.78109022,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78109021873595 8.49886211332987, 77.78148986582173 8.500917312461576)"
59,59,,S,,GC,23.62,T58-T59,231.6999071,34.32,192,8.500917312,77.78148987,AVAILABLE,LT LINE,,AGRI LAND,"DC LINE,LT LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78148986582173 8.500917312461576, 77.78196159497524 8.503124042835385)"
60,60,,T,"38°09'30""LT",KC,24,T59-T60,249.7185159,48.5,196,8.503124043,77.78196159,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78196159497524 8.503124042835385, 77.78083708078556 8.505347375860502)"
61,61,,T,"18°29'23""RT",HC+3,24.94,T60-T61,275.5161262,37.88,194,8.505347376,77.78083708,AVAILABLE,11KV LINE,ROAD,AGRI LAND,"DC LINE,11 KV LINE,ROAD ,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78083708078556 8.505347375860502, 77.78053701137334 8.507818702208548)"
62,62,,S,,GC,23.62,T61-T62,275.5236682,35.08,194,8.507818702,77.78053701,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78053701137334 8.507818702208548, 77.78015781617415 8.510268127416726)"
63,63,,S,,GC,23.62,T62-T63,274.3089627,33.46,192,8.510268127,77.78015782,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78015781617415 8.510268127416726, 77.77979504740154 8.512630671880071)"
64,64,,S,,GC,23.62,T63-T64,264.5294269,33.37,194,8.512630672,77.77979505,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77979504740154 8.512630671880071, 77.7794181966232 8.515105597040066)"
65,65,2W,T,"14°54'38""LT",HC,21.94,T64-T65,277.0597548,42.92,195,8.515105597,77.7794182,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7794181966232 8.515105597040066, 77.77826652225211 8.517787436103369)"
