S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
49,50/13,T,DB,25,12-13,247.03186339932753,2.56,"=IF(H54>15,0)",186.616287,"1°12'36""L",10.043027777777777,78.11475,GOOD,Available,HT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11475 10.043027777777777, 78.11380555555554 10.044)"
50,50/14,T,DB,25,13-14,151,5.04,"=IF(H55>15,0)",189.163971,"17°11'24""R",10.044,78.11380555555554,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11380555555554 10.044, 78.1133611111111 10.044222222222222)"
51,50/15,T,H-POLE,12,14-15,58,6.52,"=IF(H56>15,0)",190.674026,,10.044222222222222,78.1133611111111,GOOD,NO E/W,230kV ,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1133611111111 10.044222222222222, 78.11325 10.044305555555555)"
52,50/16,T,DB,25,15-16,14,1.46,"=IF(H57>15,0)",189.022049,"25°39'0""L",10.044305555555555,78.11325,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11325 10.044305555555555, 78.1128611111111 10.044972222222222)"
53,50/17,T,DC,26,16-17,89,1.04,"=IF(H58>15,0)",191.604278999999,"66°35'60""L",10.044972222222222,78.1128611111111,GOOD,Available,2-LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1128611111111 10.044972222222222, 78.11408333333333 10.046611111111112)"
54,50/18,T,DC+3,29,17-18,228,3.36,"=IF(H59>15,0)",189.963074,"36°15'0"" R",10.046611111111112,78.11408333333333,GOOD,Available,2-LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11408333333333 10.046611111111112, 78.11408333333333 10.04888888888889)"
55,50/19,S,DA+3,29,18-19,255,2.04,"=IF(H60>15,0)",193.727402,,10.04888888888889,78.11408333333333,GOOD,Available,"HT,LT",Alanganallur Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11408333333333 10.04888888888889, 78.11405555555555 10.051166666666667)"
56,50/20,S,DA,26,19-20,250.30139355972847,4.43,"=IF(H61>15,0)",201.087296,,10.051166666666667,78.11405555555555,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11405555555555 10.051166666666667, 78.11405555555555 10.052333333333333)"
57,50/21,T,DB,25,20-21,133,6.03,"=IF(H62>15,0)",208.221573,"25°28'12""L",10.052333333333333,78.11405555555555,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11405555555555 10.052333333333333, 78.11497222222222 10.054333333333334)"
58,50/22,S,DA,26,21-22,246,1.46,"=IF(H63>15,0)",217.018158,,10.054333333333334,78.11497222222222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11497222222222 10.054333333333334, 78.11583333333333 10.056305555555555)"
59,50/23,T,DB,25,22-23,238.05589643423772,4.01,"=IF(H64>15,0)",222.207504,"2°13'48""R",10.056305555555555,78.11583333333333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11583333333333 10.056305555555555, 78.11652777777778 10.058055555555557)"
60,50/24,S,DA+3,29,23-24,209.38540179509644,3.03,"=IF(H65>15,0)",214.332245,,10.058055555555557,78.11652777777778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11652777777778 10.058055555555557, 78.11733333333332 10.060194444444445)"
61,50/25,S,DA+3,29,24-25,255,5.07,"=IF(H66>15,0)",214.940765,,10.060194444444445,78.11733333333332,GOOD,Available,HT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11733333333332 10.060194444444445, 78.11816666666665 10.062333333333335)"
62,50/26,S,DA+3,29,25-26,256,6.02,"=IF(H67>15,0)",217.329680999999,,10.062333333333335,78.11816666666665,GOOD,NO E/W,"230 KV,LT",Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11816666666665 10.062333333333335, 78.11913888888888 10.064805555555557)"
63,50/27,T,DB,25,26-27,295,1.1,"=IF(H68>15,0)",228.412201,"23°52'48""R",10.064805555555557,78.11913888888888,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11913888888888 10.064805555555557, 78.11902777777777 10.067166666666667)"
64,50/28,S,DA+3,29,27-28,262,2.33,"=IF(H69>15,0)",222.233688,,10.067166666666667,78.11902777777777,GOOD,Available,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11902777777777 10.067166666666667, 78.11894444444444 10.069138888888888)"
65,50/29,S,DA+3,29,28-29,223,6.16,"=IF(H70>15,0)",202.062973,,10.069138888888888,78.11894444444444,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11894444444444 10.069138888888888, 78.11883333333333 10.071472222222223)"
66,50/30,S,DA+3,29,29-30,257.57346798350216,7.04,"=IF(H71>15,0)",201.381545999999,,10.071472222222223,78.11883333333333,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11883333333333 10.071472222222223, 78.11872222222222 10.073722222222221)"
67,50/31,S,DA+3,29,30-31,253,1.73,"=IF(H72>15,0)",204.580643,,10.073722222222221,78.11872222222222,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11872222222222 10.073722222222221, 78.11861111111111 10.076138888888888)"
68,50/32,T,DB,25,31-32,268.6050312431154,3.62,"=IF(H73>15,0)",204.73912,"12°36'36""R",10.076138888888888,78.11861111111111,GOOD,Available,2-LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11861111111111 10.076138888888888, 78.11788888888888 10.07863888888889)"
69,50/33,T,DB+3,28,32-33,287.1043770066841,3.25,"=IF(H74>15,0)",205.340667999999,"21°6'0""",10.07863888888889,78.11788888888888,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11788888888888 10.07863888888889, 78.11813888888888 10.081222222222221)"
70,50/34,T,DB+6,31,33-34,289,6.42,"=IF(H75>15,0)",208.123290999999,"23°4'48""R",10.081222222222221,78.11813888888888,GOOD,Available,2-LT,Palamedu Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11813888888888 10.081222222222221, 78.11727777777777 10.08388888888889)"
