,Tower No,Joint Box,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,,Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
93,T.NO-9,,DA,S,26,10-Sep,261.4899616,3.71,179,,9.35484422,77.42397695,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42397695 9.35484422, 77.42602495 9.35493867)"
94,T.NO-8,,DA,S,29,09-Aug,225.3197728,5.24,178,,9.35493867,77.42602495,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42602495 9.35493867, 77.42853692 9.35502088)"
95,T.NO-7,,DC,T,29,08-Jul,276.2191159,6.84,177,"18°10'47.83""",9.35502088,77.42853692,GOOD,GOOD,NO,,"TAAR ROAD,NALA",PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42853692 9.35502088, 77.43098169 9.35590785)"
96,T.NO-6,,DA,S,29,07-Jun,286.0489469,5.99,174,,9.35590785,77.43098169,GOOD,GOOD,NO,,MUDROAD,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43098169 9.35590785, 77.43312589 9.35675167)"
97,T.NO-5,,DB,T,27,06-May,253.4758371,AT PRESENT WATER,174,"3°11'27.39""",9.35675167,77.43312589,GOOD,GOOD,NO,,,INSIDE POND,LEG DAMAGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43312589 9.35675167, 77.43556101 9.35755734)"
98,T.NO-4,,DA,S,29,05-Apr,282.0815485,AT PRESENT WATER,174,,9.35755734,77.43556101,GOOD,GOOD,NO,,,INSIDE POND,LEG DAMAGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43556101 9.35755734, 77.43804144 9.35833556)"
99,T.NO-3,,DA,S,29,04-Mar,285.8810942,AT PRESENT WATER,174,,9.35833556,77.43804144,GOOD,GOOD,NO,,,INSIDE POND,LEG DAMAGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43804144 9.35833556, 77.44035797 9.35909681)"
100,T.NO-2,,DA,S,29,03-Feb,268.1641288,AT PRESENT WATER,175,,9.35909681,77.44035797,GOOD,GOOD,NO,,,INSIDE POND,LEG DAMAGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44035797 9.35909681, 77.44257455 9.35987681)"
101,T.NO-1,,DD,T,28,02-Jan,258.4434174,7.34,174,"116°53'18.24""",9.35987681,77.44257455,GOOD,GOOD,YES,3nos 33KV,,PLAINLAND,3WY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44257455 9.35987681, 77.44251686 9.35943439)"
102,GANTRY 110KV VISHWANATHAPERI,2W,GANTRY,GANTRY,20,1-GANTRY,49.36598019,,179,,9.35943439,77.44251686,GOOD,MISSING,NO,,,SUBSTATION,1FEEDER AND EARTH WIRE CONNECTED TO N.M PATTY TOWER FROM THIS TOWER.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,            30˚< D-TYPE)                                          ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
