S.No,Tower No.,Join Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
35,35,2W,T,DB+3,28,34-35,56,1.02,FALSE,35.384884,"11°2'24""L",9.363694444,78.41686111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41686111111112 9.363694444444445, 78.41747222222223 9.362333333333334)"
36,36,,T,DB,25,35-36,165,1.57,FALSE,34.324284,"3°47'24""L",9.362333333,78.41747222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41747222222223 9.362333333333334, 78.41816666666666 9.360444444444443)"
37,37,,S,DA,26,36-37,223.6907927,1.79,FALSE,37.472649,,9.360444444,78.41816667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41816666666666 9.360444444444443, 78.41875 9.358833333333333)"
38,38,,S,DA,26,37-38,190,3.57,FALSE,37.403057,,9.358833333,78.41875,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41875 9.358833333333333, 78.4195 9.356833333333332)"
39,39,,S,DA+3,26,38-39,240,2.1,FALSE,37.275372,,9.356833333,78.4195,GOOD,Available,2-LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4195 9.356833333333332, 78.42019444444445 9.354888888888889)"
40,40,,S,DA,26,39-40,230,1.27,FALSE,38.385025,,9.354888889,78.42019444,GOOD,Available,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42019444444445 9.354888888888889, 78.4208888888889 9.35286111111111)"
41,41,,S,DA,26,40-41,240,1.39,FALSE,39.000912,,9.352861111,78.42088889,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4208888888889 9.35286111111111, 78.42166666666667 9.350805555555555)"
42,42,,S,DA,26,41-42,245,2.44,FALSE,38.905743,,9.350805556,78.42166667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42166666666667 9.350805555555555, 78.42236111111112 9.348805555555556)"
43,43,,T,DB,25,42-43,240,3.77,FALSE,39.444656,"16°10'48""L",9.348805556,78.42236111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42236111111112 9.348805555555556, 78.42244444444445 9.346944444444444)"
44,44,,S,DA,26,43-44,205,1.1,FALSE,37.949059,,9.346944444,78.42244444,GOOD,Available,2-LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42244444444445 9.346944444444444, 78.42255555555556 9.344527777777778)"
