S. No ,Tower No,Supspension / Tenion,Tower type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),,Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
31,30,S,DA+0,28,T 29-T  30,201,10.94,"=IF(H36>15,0)",119.878067,,9.762009911345618,78.02257402257808,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02257402257808 9.762009911345618, 78.0250429959616 9.761868927922915)"
32,31,S,DA+0,28,T 30-T  31,274,2.74,"=IF(H37>15,0)",117.117569,,9.761868927922915,78.0250429959616,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0250429959616 9.761868927922915, 78.0273869951696 9.76173188398411)"
33,32,T,DD+0,26,T 31-T  32,260,1.49,"=IF(H38>15,0)",117.652435,17°1'7''RT,9.76173188398411,78.0273869951696,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0273869951696 9.76173188398411, 78.02951298107759 9.760947924748052)"
34,33,S,DA+0,28,T 32-T  33,252,10.76,"=IF(H39>15,0)",116.78183,,9.760947924748052,78.02951298107759,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02951298107759 9.760947924748052, 78.03165497642061 9.76015189557212)"
35,34,S,DA+0,28,T 33-T  34,254,7.94,"=IF(H40>15,0)",116.17482,,9.76015189557212,78.03165497642061,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03165497642061 9.76015189557212, 78.03348902064296 9.759479918539098)"
36,35,T,DD+0,26,T 34-T  35,217,2.23,"=IF(H41>15,0)",114.265418999999,59°29'46''RT,9.759479918539098,78.03348902064296,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03348902064296 9.759479918539098, 78.03368901285134 9.759641856922258)"
37,36 H,T,H-Pole,26,T 35-T  36,31,38,"=IF(H42>15,0)",113.256538,24°5'51''RT,9.759641856922258,78.03368901285134,Good,Good,,230 KV CHEKANOORANI TO TTPS feeder 2 OH,Agri,H-Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03368901285134 9.759641856922258, 78.0339650289212 9.759715869147069)"
38,37 H,T,H-Pole,26,T 36-T  37,34,Nil,"=IF(H43>15,0)",114.070671,15°35'28''RT,9.759715869147069,78.0339650289212,Good,Good,,230 KV CHEKANOORANI TO TTPS feeder 2 OH,Plain,H-Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0339650289212 9.759715869147069, 78.03421497727234 9.759713857509126)"
39,38,T,DD+0,26,T 37-T  38,30,1.08,"=IF(H44>15,0)",114.293671,41°45'24''RT,9.759713857509126,78.03421497727234,Good,Good,,230 KV CHEKANOORANI TO TTPS feeder 2 OH,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03421497727234 9.759713857509126, 78.03624901370335 9.757882914749686)"
40,39,S,DA+0,28,T 38-T  39,304,14.64,"=IF(H45>15,0)",114.016998,,9.757882914749686,78.03624901370335,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03624901370335 9.757882914749686, 78.03812597326991 9.75617292283949)"
