S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
82,79,T,SC+3,29,"=B86&"" - "" &B87",301.52183887741995,3.01,"=IF(H87>15,0)",18.20046,"21°49'12""R",9.625805555555557,78.86352777777778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86352777777778 9.625805555555557, 78.86194444444443 9.623527777777777)"
83,80,T,SC+3,29,"=B87&"" - "" &B88",305.98715700175285,2.26,"=IF(H88>15,0)",19.678514,"12°30'0""L",9.623527777777777,78.86194444444443,GOOD,Available,,Ramnad NH Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86194444444443 9.623527777777777, 78.8611111111111 9.621416666666667)"
84,81,S,SA,26,"=B88&"" - "" &B89",250.70243299113906,2.22,"=IF(H89>15,0)",20.486708,,9.621416666666667,78.8611111111111,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8611111111111 9.621416666666667, 78.86022222222222 9.619194444444444)"
85,82,S,SA,26,"=B89&"" - "" &B90",265.17903246719834,1.96,"=IF(H90>15,0)",21.7296349999999,,9.619194444444444,78.86022222222222,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86022222222222 9.619194444444444, 78.85930555555555 9.616916666666667)"
86,83,S,SA,26,"=B90&"" - "" &B91",270.95800153011766,1.06,"=IF(H91>15,0)",19.8641639999999,,9.616916666666667,78.85930555555555,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85930555555555 9.616916666666667, 78.85844444444444 9.614833333333333)"
87,84,S,SA,26,"=B91&"" - "" &B92",248.9453988762471,2.26,"=IF(H92>15,0)",21.419153,,9.614833333333333,78.85844444444444,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85844444444444 9.614833333333333, 78.85755555555555 9.61261111111111)"
88,85,S,SA,26,"=B92&"" - "" &B93",263.5916501515479,1.46,"=IF(H93>15,0)",20.375629,,9.61261111111111,78.85755555555555,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85755555555555 9.61261111111111, 78.85672222222222 9.6105)"
89,86,S,SA,26,"=B93&"" - "" &B94",251.35784924340993,1.03,"=IF(H94>15,0)",21.652096,,9.6105,78.85672222222222,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85672222222222 9.6105, 78.85588888888888 9.608416666666667)"
90,87,T,SB,25,"=B94&"" - "" &B95",248.11911714227,2.86,"=IF(H95>15,0)",22.6972179999999,"21°35'24""L",9.608416666666667,78.85588888888888,GOOD,Available,,River,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85588888888888 9.608416666666667, 78.85591666666666 9.605805555555555)"
91,88,S,SA,26,"=B95&"" - "" &B96",287.55448999268685,3.01,"=IF(H96>15,0)",21.851728,,9.605805555555555,78.85591666666666,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85591666666666 9.605805555555555, 78.85594444444443 9.60325)"
92,89,S,SA,26,"=B96&"" - "" &B97",283.68066990545174,2.06,"=IF(H97>15,0)",21.94759,,9.60325,78.85594444444443,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85594444444443 9.60325, 78.85597222222222 9.60061111111111)"
93,90,T,SB,25,"=B97&"" - "" &B98",292.54459458561047,1.26,"=IF(H98>15,0)",21.196362,"0°38'24""L",9.60061111111111,78.85597222222222,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85597222222222 9.60061111111111, 78.85602777777777 9.597916666666666)"
94,91,S,SA,26,"=B98&"" - "" &B99",297.9240479725114,6.11,"=IF(H99>15,0)",21.94379,,9.597916666666666,78.85602777777777,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85602777777777 9.597916666666666, 78.8561111111111 9.595861111111113)"
95,92,S,SA,26,"=B99&"" - "" &B100",228.0360149897757,7.17,"=IF(H100>15,0)",19.576805,,9.595861111111113,78.8561111111111,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8561111111111 9.595861111111113, 78.85619444444444 9.593277777777779)"
96,93,S,SA,26,"=B100&"" - "" &B101",286.6243291498014,4.5,"=IF(H101>15,0)",19.923195,,9.593277777777779,78.85619444444444,GOOD,Available,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85619444444444 9.593277777777779, 78.85624999999999 9.590583333333335)"
97,94,S,SA,26,"=B101&"" - "" &B102",296.455469038633,2.51,"=IF(H102>15,0)",19.720844,,9.590583333333335,78.85624999999999,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85624999999999 9.590583333333335, 78.85633333333332 9.58788888888889)"
98,LILO : 95,T,SC+3,29,"=B102&"" - "" &B103",297.64460737753285,5.19,"=IF(H103>15,0)",18.684759,"17°31'12""L",9.58788888888889,78.85633333333332,GOOD,Available,,,Plain,LILO at Salaigramam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85633333333332 9.58788888888889, 78.85716666666666 9.585583333333334)"
99,96,S,SA,26,"=B103&"" - "" &B104",273.20415762931754,4.21,"=IF(H104>15,0)",19.4085959999999,,9.585583333333334,78.85716666666666,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85716666666666 9.585583333333334, 78.8581111111111 9.583027777777778)"
100,97,S,SA,26,"=B104&"" - "" &B105",299.85566464345993,5.74,"=IF(H105>15,0)",17.2904009999999,,9.583027777777778,78.8581111111111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8581111111111 9.583027777777778, 78.85897222222222 9.58061111111111)"
101,98,T,SB,26,"=B105&"" - "" &B106",283.5307944261927,9.11,"=IF(H106>15,0)",18.723057,,9.58061111111111,78.85897222222222,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85897222222222 9.58061111111111, 78.85822222222221 9.578083333333334)"
102,99,S,SA+3,29,"=B106&"" - "" &B107",290.02485003238183,4.22,"=IF(H107>15,0)",19.796104,,9.578083333333334,78.85822222222221,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85822222222221 9.578083333333334, 78.85758333333332 9.575861111111111)"
103,100,S,SA,26,"=B107&"" - "" &B108",257.55951915543807,7.61,"=IF(H108>15,0)",21.1472419999999,,9.575861111111111,78.85758333333332,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85758333333332 9.575861111111111, 78.8568611111111 9.573416666666667)"
104,101,S,SA,26,"=B108&"" - "" &B109",280.2470606821229,5.2,"=IF(H109>15,0)",18.858332,,9.573416666666667,78.8568611111111,GOOD,Available,LT,Solandhur Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8568611111111 9.573416666666667, 78.85619444444444 9.571083333333332)"
105,102,S,SA,26,"=B109&"" - "" &B110",269.10704354211305,7.11,"=IF(H110>15,0)",18.856258,,9.571083333333332,78.85619444444444,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85619444444444 9.571083333333332, 78.85552777777777 9.568722222222222)"
106,103,S,SA,26,"=B110&"" - "" &B111",272.1194397436145,5.91,"=IF(H111>15,0)",18.0186369999999,,9.568722222222222,78.85552777777777,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85552777777777 9.568722222222222, 78.85483333333333 9.566361111111112)"
107,104,T,SB,25,"=B111&"" - "" &B112",270.60019562838437,4.4,"=IF(H112>15,0)",18.51244,"24°41'60""L",9.566361111111112,78.85483333333333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85483333333333 9.566361111111112, 78.85519444444444 9.564055555555557)"
108,105,S,SA,26,"=B112&"" - "" &B113",259.50958875056796,8.01,"=IF(H113>15,0)",17.509588,,9.564055555555557,78.85519444444444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85519444444444 9.564055555555557, 78.8556111111111 9.561527777777778)"
109,106,S,SA,26,"=B113&"" - "" &B114",282.6739251787985,5.46,"=IF(H114>15,0)",17.160526,,9.561527777777778,78.8556111111111,GOOD,Available,HT,Solandhur Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8556111111111 9.561527777777778, 78.856 9.559000000000001)"
110,107,S,SA,26,"=B114&"" - "" &B115",284.91634122262155,4.91,"=IF(H115>15,0)",15.718641,,9.559000000000001,78.856,GOOD,Available,LT,Solandhur Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.856 9.559000000000001, 78.85641666666666 9.556555555555557)"
111,108,S,SA,26,"=B115&"" - "" &B116",273.4118967044215,5.54,"=IF(H116>15,0)",14.858421,,9.556555555555557,78.85641666666666,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85641666666666 9.556555555555557, 78.85680555555555 9.554055555555557)"
112,109,S,SA,26,"=B116&"" - "" &B117",279.72607067077854,8.1,"=IF(H117>15,0)",14.7528279999999,,9.554055555555557,78.85680555555555,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85680555555555 9.554055555555557, 78.85716666666666 9.551611111111113)"
113,110,T,SB,25,"=B117&"" - "" &B118",273.51897886385365,6.26,"=IF(H118>15,0)",13.880672,"16°38'60""L",9.551611111111113,78.85716666666666,GOOD,Available,LT,Seenangudi Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85716666666666 9.551611111111113, 78.85827777777777 9.549333333333333)"
114,111,S,SA+3,29,"=B118&"" - "" &B119",277.9562266491703,4.71,"=IF(H119>15,0)",14.334711,,9.549333333333333,78.85827777777777,GOOD,Available,LT,Mullikudi Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85827777777777 9.549333333333333, 78.85947222222222 9.546888888888889)"
115,112,S,SA,26,"=B119&"" - "" &B120",302.8382983893913,2.09,"=IF(H120>15,0)",12.651596,,9.546888888888889,78.85947222222222,GOOD,Available,,Kundradur Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85947222222222 9.546888888888889, 78.86069444444443 9.544361111111112)"
116,113,S,SA,26,"=B120&"" - "" &B121",308.0748953915295,0.51,"=IF(H121>15,0)",12.25177,,9.544361111111112,78.86069444444443,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86069444444443 9.544361111111112, 78.86172222222221 9.54225)"
117,114,S,SA,26,"=B121&"" - "" &B122",259.4253952676691,5.26,"=IF(H122>15,0)",13.6488929999999,,9.54225,78.86172222222221,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86172222222221 9.54225, 78.86283333333333 9.539916666666667)"
118,115,T,SB,25,"=B122&"" - "" &B123",286.94214699051486,3.71,"=IF(H123>15,0)",16.091082,"0°20'24""L",9.539916666666667,78.86283333333333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86283333333333 9.539916666666667, 78.86399999999999 9.537583333333334)"
119,116,S,SA,26,"=B123&"" - "" &B124",288.79678427665846,2.92,"=IF(H124>15,0)",16.626289,,9.537583333333334,78.86399999999999,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86399999999999 9.537583333333334, 78.86533333333333 9.534638888888889)"
120,117,S,SA+3,29,"=B124&"" - "" &B125",356.3753886653278,3.46,"=IF(H125>15,0)",16.332031,,9.534638888888889,78.86533333333333,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86533333333333 9.534638888888889, 78.86641666666667 9.53238888888889)"
121,118,S,SA+3,29,"=B125&"" - "" &B126",275.76681571528877,3.01,"=IF(H126>15,0)",16.172239,,9.53238888888889,78.86641666666667,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86641666666667 9.53238888888889, 78.86763888888888 9.530027777777779)"
122,119,T,SB,25,"=B126&"" - "" &B127",293.57614713384197,2.26,"=IF(H127>15,0)",18.02804,"14°3'0""R",9.530027777777779,78.86763888888888,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86763888888888 9.530027777777779, 78.8681111111111 9.528)"
123,120,S,SA,26,"=B127&"" - "" &B128",231.90387742465515,1.23,"=IF(H128>15,0)",16.309078,,9.528,78.8681111111111,GOOD,Available,,Metal Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8681111111111 9.528, 78.86861111111111 9.525944444444445)"
124,121,S,SA,26,"=B128&"" - "" &B129",233.43810261612484,0.28,"=IF(H129>15,0)",16.492107,,9.525944444444445,78.86861111111111,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86861111111111 9.525944444444445, 78.86916666666666 9.5235)"
125,122,S,SA,26,"=B129&"" - "" &B130",275.1723890686105,0.51,"=IF(H130>15,0)",17.2291829999999,,9.5235,78.86916666666666,GOOD,Available,"HT,LT",Naramangalam Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86916666666666 9.5235, 78.86977777777777 9.521027777777778)"
126,123,S,SA,26,"=B130&"" - "" &B131",283.9806425848515,0.28,"=IF(H131>15,0)",16.7354769999999,,9.521027777777778,78.86977777777777,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86977777777777 9.521027777777778, 78.87033333333332 9.518638888888889)"
127,124,S,SA,26,"=B131&"" - "" &B132",270.71208250533385,1.16,"=IF(H132>15,0)",16.5512659999999,,9.518638888888889,78.87033333333332,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87033333333332 9.518638888888889, 78.87094444444443 9.516083333333333)"
128,125,T,SB,25,"=B132&"" - "" &B133",289.67412932941437,5.01,"=IF(H133>15,0)",14.502397,"0°22'48""L",9.516083333333333,78.87094444444443,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87094444444443 9.516083333333333, 78.87152777777777 9.513666666666667)"
129,126,S,SA,26,"=B133&"" - "" &B134",274.487557411972,0.75,"=IF(H134>15,0)",16.726824,,9.513666666666667,78.87152777777777,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87152777777777 9.513666666666667, 78.87211111111111 9.51125)"
130,127,S,SA+3,29,"=B134&"" - "" &B135",274.5979672022191,4.47,"=IF(H135>15,0)",16.372292,,9.51125,78.87211111111111,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87211111111111 9.51125, 78.87258333333332 9.50913888888889)"
131,128,S,SA,26,"=B135&"" - "" &B136",241.4202478168122,6.2,"=IF(H136>15,0)",14.972317,,9.50913888888889,78.87258333333332,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87258333333332 9.50913888888889, 78.87316666666666 9.506722222222223)"
132,129,S,SA,26,"=B136&"" - "" &B137",272.12720760741587,5.27,"=IF(H137>15,0)",14.907873,,9.506722222222223,78.87316666666666,GOOD,Available,HT,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87316666666666 9.506722222222223, 78.87372222222221 9.50436111111111)"
133,130,T,SB,25,"=B137&"" - "" &B138",270.94279831828953,0.41,"=IF(H138>15,0)",13.772652,"2°10'12""L",9.50436111111111,78.87372222222221,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87372222222221 9.50436111111111, 78.87444444444444 9.501777777777777)"
134,131,S,SA,26,"=B138&"" - "" &B139",295.132687425563,0.31,"=IF(H139>15,0)",16.389641,,9.501777777777777,78.87444444444444,GOOD,Available,,Alamalandal Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87444444444444 9.501777777777777, 78.87513888888888 9.499333333333333)"
135,132,S,SA,26,"=B139&"" - "" &B140",282.3019657237414,1.17,"=IF(H140>15,0)",13.970653,,9.499333333333333,78.87513888888888,GOOD,Available,HT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87513888888888 9.499333333333333, 78.87588888888888 9.496722222222221)"
136,133,S,SA,26,"=B140&"" - "" &B141",300.5560343825564,0.27,"=IF(H141>15,0)",14.304918,,9.496722222222221,78.87588888888888,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87588888888888 9.496722222222221, 78.87658333333333 9.49425)"
137,134,S,SA,26,"=B141&"" - "" &B142",283.45145161268385,0.28,"=IF(H142>15,0)",15.071281,,9.49425,78.87658333333333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87658333333333 9.49425, 78.87730555555555 9.491722222222222)"
138,135,S,SA,26,"=B142&"" - "" &B143",290.57771601285054,4.29,"=IF(H143>15,0)",15.280215,,9.491722222222222,78.87730555555555,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87730555555555 9.491722222222222, 78.87802777777777 9.489194444444443)"
139,136,S,SA,26,"=B143&"" - "" &B144",290.5796582865768,3.91,"=IF(H144>15,0)",15.854452,,9.489194444444443,78.87802777777777,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87802777777777 9.489194444444443, 78.87877777777777 9.486694444444444)"
140,137,T,SC+3,29,"=B144&"" - "" &B145",287.53131355927957,5.21,"=IF(H145>15,0)",16.2058679999999,"24°24'0""R",9.486694444444444,78.87877777777777,GOOD,Available,,Pottagavayal Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87877777777777 9.486694444444444, 78.87847222222221 9.484555555555554)"
141,138,S,SA,26,"=B145&"" - "" &B146",239.60184540093735,0.27,"=IF(H146>15,0)",14.634017,,9.484555555555554,78.87847222222221,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87847222222221 9.484555555555554, 78.87811111111111 9.481777777777777)"
142,139,S,SA,26,"=B146&"" - "" &B147",310.4279980359897,0.3,"=IF(H147>15,0)",15.330014,,9.481777777777777,78.87811111111111,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87811111111111 9.481777777777777, 78.87777777777777 9.47925)"
143,140,S,SA,26,"=B147&"" - "" &B148",279.7673724827814,0.51,"=IF(H148>15,0)",14.4453,,9.47925,78.87777777777777,GOOD,Available,,Vattakudi Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87777777777777 9.47925, 78.87744444444444 9.476777777777778)"
144,141,S,SA,26,"=B148&"" - "" &B149",277.2038478672595,0.25,"=IF(H149>15,0)",14.784935,,9.476777777777778,78.87744444444444,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87744444444444 9.476777777777778, 78.8771111111111 9.474277777777777)"
145,142,S,SA,26,"=B149&"" - "" &B150",278.4505590169081,3.5,"=IF(H150>15,0)",13.087399,,9.474277777777777,78.8771111111111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8771111111111 9.474277777777777, 78.87680555555555 9.471805555555555)"
146,143,T,SC,26,"=B150&"" - "" &B151",274.6690748085613,2.49,"=IF(H151>15,0)",12.903306,,9.471805555555555,78.87680555555555,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87680555555555 9.471805555555555, 78.87580555555554 9.470638888888889)"
147,144,S,SA,26,"=B151&"" - "" &B152",171.46071420945916,1.07,"=IF(H152>15,0)",12.7587499999999,,9.470638888888889,78.87580555555554,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87580555555554 9.470638888888889, 78.87466666666666 9.469333333333333)"
148,145,T,SB,25,"=B152&"" - "" &B153",190.25612351012876,0.51,"=IF(H153>15,0)",11.9677,"20°19'12""R",9.469333333333333,78.87466666666666,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87466666666666 9.469333333333333, 78.87438888888889 9.469166666666666)"
149,146,T,H-POLE,12,"=B153&"" - "" &B154",36.72986618332176,NIL,"=IF(H154>15,0)",10.504747,,9.469166666666666,78.87438888888889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87438888888889 9.469166666666666, 78.87413888888888 9.469166666666666)"
150,147,T,H-POLE,12,"=B154&"" - "" &B155",25.279445111295033,NIL,"=IF(H155>15,0)",9.899326,,9.469166666666666,78.87413888888888,GOOD,Available,230 KV KKKD - ALGL,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87413888888888 9.469166666666666, 78.87388888888889 9.469222222222223)"
151,148,T,SC,26,"=B155&"" - "" &B156",28.865841558834852,0.38,"=IF(H156>15,0)",10.087339,"79°21'36""L",9.469222222222223,78.87388888888889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87388888888889 9.469222222222223, 78.87297222222222 9.467083333333333)"
152,149,S,SA,26,"=B156&"" - "" &B157",257.50327016856914,0.42,"=IF(H157>15,0)",11.325903,,9.467083333333333,78.87297222222222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87297222222222 9.467083333333333, 78.87197222222221 9.464749999999999)"
153,150,S,SA,26,"=B157&"" - "" &B158",279.43532299941114,0.57,"=IF(H158>15,0)",10.1413569999999,,9.464749999999999,78.87197222222221,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87197222222221 9.464749999999999, 78.87091666666666 9.462305555555554)"
154,151,T,SC,26,"=B158&"" - "" &B159",294.0442882304947,0.3,"=IF(H159>15,0)",12.026351,"37°43'48""R",9.462305555555554,78.87091666666666,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87091666666666 9.462305555555554, 78.86916666666666 9.46136111111111)"
155,152,S,SA,26,"=B159&"" - "" &B160",217.5832989132261,0.57,"=IF(H160>15,0)",11.7837599999999,,9.46136111111111,78.86916666666666,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86916666666666 9.46136111111111, 78.86733333333332 9.460388888888888)"
156,153,S,SA,26,"=B160&"" - "" &B161",228.9270695995448,3.12,"=IF(H161>15,0)",14.502916,,9.460388888888888,78.86733333333332,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86733333333332 9.460388888888888, 78.8655 9.459388888888888)"
157,154,S,SA,26,"=B161&"" - "" &B162",230.28327410902475,0.75,"=IF(H162>15,0)",14.772228,,9.459388888888888,78.8655,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8655 9.459388888888888, 78.86366666666666 9.458388888888889)"
158,155,S,SA,26,"=B162&"" - "" &B163",231.0794355621565,1.4,"=IF(H163>15,0)",14.8332289999999,,9.458388888888889,78.86366666666666,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86366666666666 9.458388888888889, 78.86177777777777 9.457388888888888)"
159,156,S,SA,26,"=B163&"" - "" &B164",233.62897695833882,2.43,"=IF(H164>15,0)",15.74935,,9.457388888888888,78.86177777777777,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86177777777777 9.457388888888888, 78.85988888888889 9.456333333333333)"
160,157,S,SA,26,"=B164&"" - "" &B165",236.89758159987485,1.3,"=IF(H165>15,0)",14.333866,,9.456333333333333,78.85988888888889,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85988888888889 9.456333333333333, 78.85783333333333 9.455194444444444)"
161,158,T,SB,25,"=B165&"" - "" &B166",257.73444137699033,1.25,"=IF(H166>15,0)",13.6173129999999,"27°50'24""L",9.455194444444444,78.85783333333333,GOOD,Available,HT,Peruvayal Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85783333333333 9.455194444444444, 78.85644444444443 9.453083333333332)"
162,159,S,SA,26,"=B166&"" - "" &B167",282.33518099528953,0.4,"=IF(H167>15,0)",15.015476,,9.453083333333332,78.85644444444443,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85644444444443 9.453083333333332, 78.85513888888889 9.451055555555556)"
163,160,S,SA,26,"=B167&"" - "" &B168",265.2235239049012,1.18,"=IF(H168>15,0)",14.060923,,9.451055555555556,78.85513888888889,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85513888888889 9.451055555555556, 78.85372222222222 9.448944444444445)"
164,161,S,SA,26,"=B168&"" - "" &B169",279.9119011672772,0.97,"=IF(H169>15,0)",15.2429159999999,,9.448944444444445,78.85372222222222,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85372222222222 9.448944444444445, 78.85233333333333 9.446861111111112)"
165,162,T,SB,25,"=B169&"" - "" &B170",277.0392365586189,0.47,"=IF(H170>15,0)",16.7007079999999,"0°0'36""R",9.446861111111112,78.85233333333333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85233333333333 9.446861111111112, 78.85094444444444 9.44475)"
