SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
69,68,,S,,GC,23.62,T67-T68,302.8850255,1.53,85,9.402179068,77.84332719,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84332719 9.402179068, 77.84058161 9.40319586)"
70,69,,S,,GC,23.62,T68-T69,322.1032611,1.93,83,9.40319586,77.84058161,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84058161 9.40319586, 77.8352125 9.405367365)"
71,70,,S,,GC,23.62,T69-T70,637.2525107,1.42,85,9.405367365,77.8352125,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8352125 9.405367365, 77.83215277 9.406178079)"
72,71,,S,,GC,23.62,T70-T71,348.0925451,1.58,87,9.406178079,77.83215277,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83215277 9.406178079, 77.83006266 9.407414157)"
73,72,,S,,GC,23.62,T71-T72,267.4022507,1.7,86,9.407414157,77.83006266,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83006266 9.407414157, 77.82753333 9.408567871)"
74,73,,S,,GC,23.62,T72-T73,305.948451,1.82,89,9.408567871,77.82753333,GOOD, NOT AVAILABLE,230 KV LINE,,PLAIN LAND,"DC LINE, 230 bridge tower crossing and down, our tower is top, T72-T73  earth wire is not available, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82753333 9.408567871, 77.82572888 9.409813533)"
75,74,2W,T,"50°54'31""LT",KC,24,T73-T74,241.5621418,2.72,89,9.409813533,77.82572888,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82572888 9.409813533, 77.82499362 9.411571874)"
76,75,,S,,GC,23.62,T74-T75,210.7460994,1.81,89,9.411571874,77.82499362,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82499362 9.411571874, 77.82442164 9.413932852)"
77,76,,T,"17°37'55""RT",HC,21.94,T75-T76,268.7957766,2.74,89,9.413932852,77.82442164,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82442164 9.413932852, 77.82445651 9.415945195)"
78,77,,S,,GC,23.62,T76-T77,222.7822945,1.29,90,9.415945195,77.82445651,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82445651 9.415945195, 77.82443203 9.418133158)"
79,78,,T,"33°7'23""RT",KC,24,T77-T78,242.2035452,2.93,93,9.418133158,77.82443203,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82443203 9.418133158, 77.82567155 9.420009535)"
80,79,,T,"60°22'12""RT",KC,24,T78-T79,248.3966796,2.72,95,9.420009535,77.82567155,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82567155 9.420009535, 77.82591967433692 9.419970995836435)"
,Gantry (Anupankulam),2W,,,,,T79-Gantry (Anupankulam),27.32841525,,95,9.419970996,77.82591967,,,,,,anupankulam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
