S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
49,106,T,SB,21,"=B53& "" - ""&B54",184.33932994521507,2.35,"=IF(H54>15,0)",198.021773999999,"0°13'12""R",10.080499999999999,77.92708333333334,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92708333333334 10.080499999999999, 77.92636111111112 10.082083333333333)"
50,105,S,SA,22,"=B54& "" - ""&B55",192.8617505483498,1.06,"=IF(H55>15,0)",201.815566999999,,10.082083333333333,77.92636111111112,GOOD,Available,2-LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92636111111112 10.082083333333333, 77.92558333333334 10.083805555555557)"
51,104,S,SA,22,"=B55& "" - ""&B56",207.95052272853593,3.01,"=IF(H56>15,0)",207.249709999999,,10.083805555555557,77.92558333333334,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92558333333334 10.083805555555557, 77.92455555555556 10.086)"
52,103,T,SB,21,"=B56& "" - ""&B57",268.90290682089216,2.51,"=IF(H57>15,0)",227.002715999999,"6°56'24""R",10.086,77.92455555555556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92455555555556 10.086, 77.92352777777778 10.087694444444445)"
53,102,T,SB,21,"=B57& "" - ""&B58",217.86588724842292,1.42,"=IF(H58>15,0)",212.806334999999,"20°40'48""R",10.087694444444445,77.92352777777778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92352777777778 10.087694444444445, 77.92266666666667 10.088361111111112)"
54,101,T,SC,22,"=B58& "" - ""&B59",121.73420361142537,1.07,"=IF(H59>15,0)",208.396545,"35°18'36""L",10.088361111111112,77.92266666666667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92266666666667 10.088361111111112, 77.92225 10.08975)"
55,100,T,SC,22,"=B59& "" - ""&B60",158.78246006816192,1.23,"=IF(H60>15,0)",209.945816,"67°54'0""L",10.08975,77.92225,GOOD,Available,3-HT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92225 10.08975, 77.92202777777779 10.089583333333334)"
56,Gantry (Ramarajapuram SS),Gantry,H-POLE,12,100-Gantry,29.158536908627962,,,208.14624,,10.089583333333334,77.92202777777779,GOOD,NO E/W,,,Plain,Cement pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G7:G61),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note :,1.  Shut down will be required in where earth wires are missing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
