S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
88,87,S,DA,26,86-87,271.2488667532565,1.19,"=IF(H93>15,0)",10.783419,,9.331833333333334,78.81605555555555,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81605555555555 9.331833333333334, 78.8185 9.331583333333333)"
89,88,S,DA,26,87-88,270.97157271988397,2.64,"=IF(H94>15,0)",9.321812,,9.331583333333333,78.8185,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8185 9.331583333333333, 78.82091666666666 9.331277777777778)"
90,89,S,DA,26,88-89,268.7740643314897,4.02,"=IF(H95>15,0)",8.88788199999999,,9.331277777777778,78.82091666666666,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82091666666666 9.331277777777778, 78.82336111111111 9.331027777777777)"
91,90,S,DA,26,89-90,269.8702021564196,6.11,"=IF(H96>15,0)",8.094453,,9.331027777777777,78.82336111111111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82336111111111 9.331027777777777, 78.82577777777777 9.33075)"
92,91,T,DB,25,90-91,265.5684205152362,3.02,"=IF(H97>15,0)",9.162179,"57°14'24""R",9.33075,78.82577777777777,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82577777777777 9.33075, 78.82691666666666 9.33211111111111)"
93,92,S,DA,26,91-92,195.8856708869038,2.1,"=IF(H98>15,0)",10.184227,,9.33211111111111,78.82691666666666,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82691666666666 9.33211111111111, 78.82775 9.33311111111111)"
94,93,S,DA,26,92-93,144.07307583017146,1.73,"=IF(H99>15,0)",10.843538,,9.33311111111111,78.82775,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82775 9.33311111111111, 78.82866666666666 9.334277777777778)"
95,94,T,DB,25,93-94,164.13806357704948,0.91,"=IF(H100>15,0)",11.890278,"65°39'0""L",9.334277777777778,78.82866666666666,GOOD,Available,LT,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82866666666666 9.334277777777778, 78.82988888888889 9.333972222222222)"
96,95,T,DB,25,94-95,138.00281640569705,2.86,"=IF(H101>15,0)",12.124414,"3°49'12""R",9.333972222222222,78.82988888888889,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82988888888889 9.333972222222222, 78.83188888888888 9.33363888888889)"
97,96,T,DB,25,95-96,221.83803238092506,3.02,"=IF(H102>15,0)",13.8523239999999,"25°3'36""R",9.33363888888889,78.83188888888888,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83188888888888 9.33363888888889, 78.83397222222222 9.334194444444446)"
98,97,T,DB,25,96-97,236.53452736524952,1.4,"=IF(H103>15,0)",12.1973819999999,"26°8'60""L",9.334194444444446,78.83397222222222,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83397222222222 9.334194444444446, 78.83588888888889 9.333833333333335)"
99,98,T,DB,25,97-98,214.08156950476396,2.46,"=IF(H104>15,0)",12.181504,"10°43'12""L",9.333833333333335,78.83588888888889,GOOD,Available,LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83588888888889 9.333833333333335, 78.83608333333333 9.33375)"
100,GANTRY  ( RS MADAI SS ),T,H-POLE,12,98-GANTRY,23.55517885581379,NIL,,11.522263,,9.33375,78.83608333333333,GOOD,NO E/W,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G105),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note    :  ,1.  Shut down will be required in where earth wires are missing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
