S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),t,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken, etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain / Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
96,92,,S,DA,26, 91- 92,304.5417368,2.43,FALSE,404.614349,,9.831638889,77.31741667,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31741666666666 9.83163888888889, 77.32027777777778 9.832749999999999)"
97,93,,S,DA,26, 92- 93,337.2524902,2.83,FALSE,402.211609,,9.83275,77.32027778,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32027777777778 9.832749999999999, 77.32288888888888 9.833694444444445)"
98,94,,S,DA,26, 93- 94,303.4996236,0.48,FALSE,410.459839,,9.833694444,77.32288889,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32288888888888 9.833694444444445, 77.3231111111111 9.833694444444445)"
99,LILO :T02,3W,T,DC,26, 94- DR02,26.35213089,0.83,FALSE,408.679291,"20°56'60"" R",9.833694444,77.32311111,GOOD,Available,,,Agri,LILO AT THEVARAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3231111111111 9.833694444444445, 77.32558333333333 9.834722222222222)"
100,95,,S,DA,26, DR02- 95,293.2308854,1.42,FALSE,409.551453,,9.834722222,77.32558333,GOOD,Available,"2-LT,110KV",Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32558333333333 9.834722222222222, 77.32816666666666 9.835694444444446)"
101,96,,S,DA,26, 95- 96,302.9862077,3.63,FALSE,407.290924,,9.835694444,77.32816667,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32816666666666 9.835694444444446, 77.33102777777778 9.836777777777778)"
102,97,,S,DA,26, 96- 97,334.7455805,8.33,FALSE,402.136353,,9.836777778,77.33102778,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33102777777778 9.836777777777778, 77.3333611111111 9.83763888888889)"
103,98,,S,DA,26, 97- 98,273.985168,0.59,FALSE,399.649689,,9.837638889,77.33336111,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3333611111111 9.83763888888889, 77.33627777777777 9.838777777777779)"
104,99,,S,DA,26, 98- 99,344.8107045,4.67,FALSE,391.815399,,9.838777778,77.33627778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33627777777777 9.838777777777779, 77.33897222222221 9.839777777777778)"
105,100,,S,DA,26, 99- 100,316.6638919,5.15,FALSE,391.020081,,9.839777778,77.33897222,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33897222222221 9.839777777777778, 77.34169444444444 9.840805555555557)"
106,101,,S,DA,26, 100- 101,317.6512535,3.91,FALSE,388.750946,,9.840805556,77.34169444,GOOD,Available,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34169444444444 9.840805555555557, 77.34438888888889 9.841805555555556)"
107,102,,S,DA,26, 101- 102,316.1257146,4.1,FALSE,384.093353,,9.841805556,77.34438889,GOOD,Available,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34438888888889 9.841805555555556, 77.34708333333333 9.842861111111112)"
108,103,2W,S,DA,26, 102- 103,319.4159147,1.9,FALSE,381.026978,,9.842861111,77.34708333,GOOD,Available,LT ,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34708333333333 9.842861111111112, 77.34969444444444 9.843833333333334)"
109,104,,S,DA,26, 103- 104,303.7919588,3.54,FALSE,378.475433,,9.843833333,77.34969444,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34969444444444 9.843833333333334, 77.35216666666666 9.844750000000001)"
110,105,,S,DA,28, 104- 105,290.2401025,1.3,FALSE,373.032227,,9.84475,77.35216667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35216666666666 9.844750000000001, 77.35461111111111 9.845694444444446)"
111,106,,S,DA,26, 105- 106,287.6677322,1.28,FALSE,369.815552,,9.845694444,77.35461111,GOOD,Available,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35461111111111 9.845694444444446, 77.35705555555555 9.84663888888889)"
112,107,,S,DA,26, 106- 107,289.1756661,0.9,FALSE,366.343475,,9.846638889,77.35705556,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35705555555555 9.84663888888889, 77.35955555555554 9.847555555555557)"
113,108,,S,DA,28, 107- 108,292.9314684,1.98,FALSE,360.507996,,9.847555556,77.35955556,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35955555555554 9.847555555555557, 77.36191666666666 9.848444444444445)"
114,109,,T,DB,26, 108- 109,276.0987617,2.12,FALSE,353.18811,,9.848444444,77.36191667,GOOD,Available,2-LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36191666666666 9.848444444444445, 77.36477777777777 9.84888888888889)"
115,110,,S,DA,26, 109- 110,317.5168492,3.26,FALSE,359.779907,,9.848888889,77.36477778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36477777777777 9.84888888888889, 77.36755555555555 9.849305555555556)"
116,111,,S,DA,26, 110- 111,308.3664859,10.1,FALSE,360.919006,,9.849305556,77.36755556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36755555555555 9.849305555555556, 77.36930555555556 9.849472222222223)"
117,LILO: CO01,3W,T,DC,26, 111- CO01,192.5831389,4.14,FALSE,340.620514,"11°45'36""R",9.849472222,77.36930556,GOOD,Available,,,Agri,LILO AT CHINNA OVLAPURAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36930555555556 9.849472222222223, 77.36991666666665 9.84963888888889)"
118,112,,S,DA,26, CO01- 112,72.04834238,6.5,FALSE,359.530212,,9.849638889,77.36991667,GOOD,Available,11KV,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36991666666665 9.84963888888889, 77.37269444444443 9.850055555555555)"
119,113,,S,DA,26, 112- 113,306.1394378,4.16,FALSE,361.436493,,9.850055556,77.37269444,GOOD,Available,LT,Road & River,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37269444444443 9.850055555555555, 77.37549999999999 9.850472222222223)"
120,114,,S,DA,28, 113- 114,313.7252775,5.65,FALSE,363.212799,,9.850472222,77.3755,GOOD,Available,2-LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37549999999999 9.850472222222223, 77.37830555555554 9.850916666666667)"
121,115,,S,DA,26, 114- 115,311.7218607,9.08,FALSE,368.321442,,9.850916667,77.37830556,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37830555555554 9.850916666666667, 77.38061111111111 9.85125)"
122,116,,S,DA,28, 115-116,253.3620577,7.54,FALSE,365.1745,,9.85125,77.38061111,GOOD,Available,,River Crossing,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38061111111111 9.85125, 77.38336111111111 9.851666666666667)"
123,117,,S,DA,26,116-117,306.9579002,3.71,FALSE,364.208221,,9.851666667,77.38336111,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38336111111111 9.851666666666667, 77.38530555555556 9.851944444444444)"
124,118,,T,DB,26,117-118,214.2220461,7.21,FALSE,368.645905,,9.851944444,77.38530556,GOOD,Available,LT,NH Crossing,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38530555555556 9.851944444444444, 77.38808333333334 9.852361111111112)"
125,119,,S,DA,26,118-119,309.429685,5.5,FALSE,370.904327,,9.852361111,77.38808333,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38808333333334 9.852361111111112, 77.39072222222222 9.85275)"
126,120,2W,T,DC,26,119-120,291.3553059,6.2,FALSE,373.241058,"59°5'24"" R",9.85275,77.39072222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39072222222222 9.85275, 77.39183333333334 9.855416666666667)"
127,121,,S,DA,26,120-121,318.3558716,3.63,FALSE,372.627991,,9.855416667,77.39183333,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39183333333334 9.855416666666667, 77.39294444444445 9.858083333333333)"
128,122,,S,DA,26,121- 122,320.6957306,9.04,FALSE,372.153259,,9.858083333,77.39294444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39294444444445 9.858083333333333, 77.394 9.86061111111111)"
129,123,,S,DA,26, 122- 123,302.9509767,6.49,FALSE,371.803528,,9.860611111,77.394,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.394 9.86061111111111, 77.39519444444446 9.863416666666666)"
130,124,,S,DA,26, 123-124,337.3843055,3.07,FALSE,368.915863,,9.863416667,77.39519444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39519444444446 9.863416666666666, 77.39625000000001 9.865944444444445)"
131,125,,S,DA,26,124- 125,302.631566,2.01,FALSE,365.09726,,9.865944444,77.39625,GOOD,Available,,village,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39625000000001 9.865944444444445, 77.39736111111112 9.868583333333333)"
132,126,,S,DA,28, 125-126,317.1957992,8.4,FALSE,362.857391,,9.868583333,77.39736111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39736111111112 9.868583333333333, 77.39844444444445 9.87113888888889)"
133,127,,S,DA,26,126- 127,304.8220588,6.88,FALSE,364.58374,,9.871138889,77.39844444,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39844444444445 9.87113888888889, 77.3996388888889 9.873972222222223)"
134,128,,S,DA,26, 127-128,338.7741119,3.86,FALSE,361.5065,,9.873972222,77.39963889,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3996388888889 9.873972222222223, 77.40069444444445 9.8765)"
135,129,,S,DA,26,128-129,304.5994895,2.11,FALSE,359.143951,,9.8765,77.40069444,GOOD,Available,LT,Main Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40069444444445 9.8765, 77.40177777777778 9.879166666666666)"
136,130,,T,DB,28,129- 130,316.720643,2.12,FALSE,358.60611,,9.879166667,77.40177778,GOOD,Available,2-LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40177777777778 9.879166666666666, 77.40294444444444 9.881833333333335)"
137,131,,S,DA,26, 130- 131,321.793292,3.97,FALSE,358.026764,,9.881833333,77.40294444,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40294444444444 9.881833333333335, 77.40405555555556 9.884583333333333)"
138,132,,S,DA,26, 131-132,328.2085826,2.29,FALSE,355.31723,,9.884583333,77.40405556,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40405555555556 9.884583333333333, 77.40522222222222 9.887333333333332)"
139,133,,S,DA,28,132-133,329.5150096,2.25,FALSE,355.123779,,9.887333333,77.40522222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40522222222222 9.887333333333332, 77.40597222222223 9.888805555555555)"
140,LILO : KM01,3W,T,DB,26,133- KM01,183.837251,4.5,FALSE,365.234314,"7°19'48"" R",9.888805556,77.40597222,GOOD,Available,,,Plain,LILO AT KAMACHIPURAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40597222222223 9.888805555555555, 77.4063888888889 9.890055555555556)"
141,134,,S,DA,26, KM01-134,143.4955966,8.67,FALSE,362.251648,,9.890055556,77.40638889,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4063888888889 9.890055555555556, 77.40747222222222 9.89275)"
142,135,,S,DA,26,134- 135,321.0506191,3.4,FALSE,362.771851,,9.89275,77.40747222,GOOD,Available,Below -110kV Theni - Periyar III crossing,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40747222222222 9.89275, 77.40858333333334 9.895194444444444)"
143,136,,T,DB,26, 135-136,298.2731183,1.48,FALSE,362.602356,,9.895194444,77.40858333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40858333333334 9.895194444444444, 77.40963888888889 9.89775)"
144,137,,S,DA,26,136- 137,304.2567229,1.31,FALSE,359.555328,,9.89775,77.40963889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40963888888889 9.89775, 77.41080555555556 9.900416666666667)"
145,138,,S,DA,26, 137- 138,322.0975348,6.83,FALSE,362.340912,,9.900416667,77.41080556,GOOD,Available,LT,Kottur Village,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41080555555556 9.900416666666667, 77.41194444444444 9.903027777777778)"
146,139,,S,DA,26, 138-139,315.409893,3.87,FALSE,365.669098,,9.903027778,77.41194444,GOOD,Available,LT,Kottur Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41194444444444 9.903027777777778, 77.4131388888889 9.905694444444444)"
147,140,,S,DA,26,139- 140,321.6967123,9.57,FALSE,365.930664,,9.905694444,77.41313889,GOOD,Available,,Kottur Village,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4131388888889 9.905694444444444, 77.41422222222222 9.908194444444446)"
148,141,,S,DA,26, 140-141,302.3081142,4,FALSE,360.499481,,9.908194444,77.41422222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41422222222222 9.908194444444446, 77.41533333333334 9.910722222222223)"
149,142,,S,DA,26,141-142,306.1837979,8.63,FALSE,356.099854,,9.910722222,77.41533333,GOOD,Available,LT,Road Crossing,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41533333333334 9.910722222222223, 77.41636111111112 9.913111111111112)"
150,143,,S,DA,26,142- 143,287.7791359,3.49,FALSE,356.152313,,9.913111111,77.41636111,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41636111111112 9.913111111111112, 77.41752777777778 9.915777777777778)"
151,144,,S,DA,26, 143- 144,319.2717719,7.39,FALSE,355.243347,,9.915777778,77.41752778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41752777777778 9.915777777777778, 77.41858333333334 9.918138888888889)"
152,145,,S,DA,28, 144-145,286.8528226,6.72,FALSE,354.245361,,9.918138889,77.41858333,GOOD,Available,3LT,Road Crossing,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41858333333334 9.918138888888889, 77.41977777777778 9.920972222222222)"
153,146,,S,DA,26,145-146,338.6626983,6.97,FALSE,355.812347,,9.920972222,77.41977778,GOOD,Available,,Road Crossing,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41977777777778 9.920972222222222, 77.4208888888889 9.923499999999999)"
154,147,,S,DA,26,146- 147,305.2380257,2.83,FALSE,357.498505,,9.9235,77.42088889,GOOD,Available,LT/1,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4208888888889 9.923499999999999, 77.42200000000001 9.926)"
155,148,,S,DA,26, 147-148,302.5971206,0.26,FALSE,358.815704,,9.926,77.422,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42200000000001 9.926, 77.423 9.928277777777778)"
156,149,2W,T,DB,26,148-149,276.5115733,0.36,FALSE,356.083038,"1°15'36"" R",9.928277778,77.423,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.423 9.928277777777778, 77.42413888888889 9.931)"
157,150,,S,DA,26,149-150,324.0771184,2.25,FALSE,352.935852,,9.931,77.42413889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42413888888889 9.931, 77.42525 9.933666666666667)"
158,151,,S,DA,26,150-151,319.0777054,2.2,FALSE,348.385529,,9.933666667,77.42525,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42525 9.933666666666667, 77.42636111111112 9.936194444444444)"
159,152,,S,DA,26,151-152,306.2573082,1.5,FALSE,354.533478,,9.936194444,77.42636111,GOOD,Available,LT-2No ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42636111111112 9.936194444444444, 77.42733333333334 9.938583333333334)"
160,153,,S,DA,26,152- 153,286.2594839,2.89,FALSE,352.12439,,9.938583333,77.42733333,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42733333333334 9.938583333333334, 77.42858333333334 9.941527777777779)"
161,154,,S,DA,26, 153- 154,351.8021745,5.1,FALSE,352.14447,,9.941527778,77.42858333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42858333333334 9.941527777777779, 77.42963888888889 9.943944444444444)"
162,155,,S,DA,26, 154-155,290.9025686,10.57,FALSE,348.048767,,9.943944444,77.42963889,GOOD,Available,,Road Crossing,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42963888888889 9.943944444444444, 77.43072222222223 9.9465)"
163,156,,S,DA,28,155- 156,306.8108946,4.16,FALSE,341.868561,,9.9465,77.43072222,GOOD,Available,LT,Road  Crossing,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43072222222223 9.9465, 77.43183333333334 9.94913888888889)"
164,157,,S,DA,28, 156- 157,317.306087,1.38,FALSE,338.079712,,9.949138889,77.43183333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43183333333334 9.94913888888889, 77.43286111111112 9.951555555555554)"
165,158,,S,DA,26, 157-158,290.9623853,4.5,FALSE,336.057434,,9.951555556,77.43286111,GOOD,Available,,Theni coll ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43286111111112 9.951555555555554, 77.43405555555556 9.95436111111111)"
166,159,,S,DA,26,158- 159,336.0782759,10.78,FALSE,331.127136,,9.954361111,77.43405556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43405555555556 9.95436111111111, 77.43525000000001 9.957194444444443)"
167,160,2W,T,DB,26, 159- 160,339.5410278,2.76,FALSE,327.183105,,9.957194444,77.43525,GOOD,Available,,NH Road,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43525000000001 9.957194444444443, 77.43616666666667 9.95936111111111)"
168,161,,T,DB,26, 160- 161,262.4568788,5.6,FALSE,322.953918,,9.959361111,77.43616667,GOOD,Available,Below -110kV Theni - Periyar III crossing,Veerapandi Bypass,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43616666666667 9.95936111111111, 77.43747222222223 9.962333333333333)"
169,162,,S,DA,28, 161- 162,358.4739415,3.11,FALSE,319.300018,,9.962333333,77.43747222,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43747222222223 9.962333333333333, 77.43852777777778 9.96486111111111)"
170,163,,S,DA,28, 162- 163,299.8924913,6.53,FALSE,315.374176,,9.964861111,77.43852778,GOOD,Available,,Veerapandi Main Road,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43852777777778 9.96486111111111, 77.43958333333333 9.967333333333334)"
171,164,,S,DA,28, 163- 164,297.2032975,8.7,FALSE,314.652252,,9.967333333,77.43958333,GOOD,Available,"11KV, LT",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43958333333333 9.967333333333334, 77.44055555555556 9.969611111111112)"
172,165,,S,DA,28, 164- 165,273.8586551,5.39,FALSE,315.598297,,9.969611111,77.44055556,GOOD,Available,,Theni - Kollam Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44055555555556 9.969611111111112, 77.44136111111112 9.971527777777778)"
173, 165A,,T,DB,26, 165- 165A,231.8092749,2.46,FALSE,318.970154,,9.971527778,77.44136111,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44136111111112 9.971527777777778, 77.44191666666667 9.973222222222223)"
174,166,,T,DC,26, 165A- 166,197.3787735,1.26,FALSE,324.183655,,9.973222222,77.44191667,GOOD,Available,"11KV, LT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44191666666667 9.973222222222223, 77.44286111111111 9.974666666666666)"
175,167,,T,DB,26, 166-  167,188.4904833,9.72,FALSE,327.059448,,9.974666667,77.44286111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44286111111111 9.974666666666666, 77.44336111111112 9.975222222222222)"
176,LILO : V02,3W,T,DB,26,  167- V02,84.0873265,1.54,FALSE,330.186096,"11°22'48""R",9.975222222,77.44336111,GOOD,Available,,,Plain,LILO AT VEERAPANDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44336111111112 9.975222222222222, 77.44394444444445 9.976166666666666)"
177,168,,S,DA,26, V02- 168,121.9715828,0.5,FALSE,328.860718,,9.976166667,77.44394444,GOOD,Available,,Theni - Thevaram Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44394444444445 9.976166666666666, 77.44550000000001 9.978333333333333)"
178,169,,S,DA,26, 168- 169,292.7788168,1.53,FALSE,327.964661,,9.978333333,77.4455,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44550000000001 9.978333333333333, 77.447 9.980472222222222)"
179,170,,S,DA,26, 169- 170,289.0163766,3.25,FALSE,321.139709,,9.980472222,77.447,GOOD,Available,11KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.447 9.980472222222222, 77.44869444444444 9.982861111111111)"
180,171,,S,DA,26, 170- 171,324.2864823,1.6,FALSE,317.404266,,9.982861111,77.44869444,GOOD,Available,230KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44869444444444 9.982861111111111, 77.4503611111111 9.985222222222221)"
181,172,,S,DA,26, 171- 172,318.0340516,6.45,FALSE,320.648743,,9.985222222,77.45036111,GOOD,Available,11KV,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4503611111111 9.985222222222221, 77.45205555555556 9.987555555555554)"
182,173,,S,DA,26, 172- 173,319.5650258,5.6,FALSE,318.201538,,9.987555556,77.45205556,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45205555555556 9.987555555555554, 77.45355555555555 9.989694444444444)"
183,174,,S,DA,28, 173-  174,288.5691133,2.06,FALSE,317.54837,,9.989694444,77.45355556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45355555555555 9.989694444444444, 77.45516666666667 9.991999999999999)"
184,175,,S,DA,26,  174- 175,309.0943196,0.36,FALSE,319.208252,,9.992,77.45516667,GOOD,Available,"2No-11KV, LT",NH THENI,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45516666666667 9.991999999999999, 77.45677777777779 9.994222222222222)"
185,176,,S,DA,26, 175-  176,302.8460585,0.96,FALSE,322.774261,,9.994222222,77.45677778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45677777777779 9.994222222222222, 77.45847222222223 9.996555555555554)"
186,177,,S,DA,28,  176- 177,318.6354717,0.69,FALSE,322.737427,,9.996555556,77.45847222,GOOD,Available,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45847222222223 9.996555555555554, 77.46013888888889 9.998916666666666)"
187,178,,T,DC,26, 177- 178,318.5454216,6.29,FALSE,322.343781,"26°7'48""L",9.998916667,77.46013889,GOOD,Available,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46013888888889 9.998916666666666, 77.46255555555555 10.000222222222222)"
188,179,,S,DA,26, 178- 179,302.7051657,5.69,FALSE,315.765045,,10.00022222,77.46255556,GOOD,Available,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46255555555555 10.000222222222222, 77.46511111111111 10.001611111111112)"
189,180,,S,DA,26, 179- 180,319.647059,2.6,FALSE,306.307709,,10.00161111,77.46511111,GOOD,Available,3No -LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46511111111111 10.001611111111112, 77.46719444444444 10.002722222222221)"
190,181,2W,T,DC,26, 180- 181,258.4430896,3.28,FALSE,304.18573,"25°17'24""R",10.00272222,77.46719444,GOOD,Available,"11KV-3N, LT -5N",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46719444444444 10.002722222222221, 77.46733333333333 10.002916666666666)"
191,Theni SS,,H-Pole,H-Pole,12, 181- Gantry,26.8124527,,,302.442902,,10.00291667,77.46733333,GOOD,No E/W,"11KV,LT-5N",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL ,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
