S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
86,122,S,SA,21,123-122,278.0383726149377,2.86,"=IF(H91>15,0)",370.485778999999,,9.87725,77.36397222222222,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36397222222222 9.87725, 77.362 9.875194444444444)"
87,121,S,SA,21,122-121,311.9342329324126,1.27,"=IF(H92>15,0)",372.02951,,9.875194444444444,77.362,GOOD,Available,LT,Village Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.362 9.875194444444444, 77.36005555555555 9.873222222222223)"
88,120,S,SA,21,121-120,306.48240322726195,2.82,"=IF(H93>15,0)",371.434814,,9.873222222222223,77.36005555555555,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36005555555555 9.873222222222223, 77.35805555555555 9.871166666666667)"
89,119,T,SB,21,120-119,316.52447268974225,3.47,"=IF(H94>15,0)",374.690491,"28°28'12""R",9.871166666666667,77.35805555555555,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35805555555555 9.871166666666667, 77.35730555555556 9.868388888888889)"
90,118,S,SA,21,119-118,316.6059917704594,1.86,"=IF(H95>15,0)",371.672699,,9.868388888888889,77.35730555555556,GOOD,Available,11 KV,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35730555555556 9.868388888888889, 77.35655555555554 9.86561111111111)"
91,117,S,SA,21,118-117,318.0222882696347,3.75,"=IF(H96>15,0)",372.060486,,9.86561111111111,77.35655555555554,GOOD,Available,2-LT,Ayyampatti -Kuchanoor Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35655555555554 9.86561111111111, 77.35580555555555 9.863)"
92,116,S,SA,21,117-116,299.89460634055416,2.96,"=IF(H97>15,0)",371.351715,,9.863,77.35580555555555,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35580555555555 9.863, 77.35525 9.860916666666666)"
93,115,T,SC,22,116-115,241.1708006496835,0.89,"=IF(H98>15,0)",371.486724999999,"32°47'24""L",9.860916666666666,77.35525,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35525 9.860916666666666, 77.35505555555555 9.86)"
94,114,T,DC,26,115-114,103.36968048901485,1.38,"=IF(H99>15,0)",370.589691,"62°0'0""L",9.86,77.35505555555555,GOOD,Available,"2-11KV,LT",Divaram-Chinamanur Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35505555555555 9.86, 77.35447222222221 9.860194444444444)"
95,Gantry (Margayankottai ss) ,Gantry,H-Pole,12,114- Gantry,68.90959150436689,,"=IF(H100>15,0)",373.190826,,9.860194444444444,77.35447222222221,GOOD,Available,,,SS,Rail Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G7:G100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note    :  ,1.  Shut down will be required in where earth wires are missing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
