S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
70,2,T,DC,26, 278-2,85.54150528819535,1.47,73.330757,"15°19'31"" R",8.288577972,77.620487,GOOD,Available,230 KV,SAND ROAD,PLAIN,DOWN LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.620487 8.288577972, 77.62204897 8.28622601)"
71,3,T,DC,26,2-3,312.0821211687712,2.09,72.765984,"25°39'39"" L",8.28622601,77.62204897,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62204897 8.28622601, 77.62350599 8.285358986)"
72,4,S,DA,26,3-4,187.092626546176,2.11,72.859207,,8.285358986,77.62350599,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62350599 8.285358986, 77.625463 8.284204965)"
73,5,S,DA,26,4-5,250.7003469855601,1.83,71.362907,,8.284204965,77.625463,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.625463 8.284204965, 77.62771396 8.282864029)"
74,6,S,DA,26,5-6,289.1259047128175,4.28,70.309692,,8.282864029,77.62771396,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62771396 8.282864029, 77.62988697 8.281581011)"
75,7,S,DA,26,6-7,278.46468198816507,4.7,68.106544,,8.281581011,77.62988697,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62988697 8.281581011, 77.63184196 8.280406035)"
76,8,S,DA,26,7-8,251.70196423439464,1.05,66.534096,,8.280406035,77.63184196,GOOD,Available,HT -2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63184196 8.280406035, 77.63418504 8.279014975)"
77,9,S,DA,26,8-9,300.6923042065586,2.17,64.168434,,8.279014975,77.63418504,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63418504 8.279014975, 77.63630197 8.277754001)"
78,10,S,DA,26,9-10,271.90809118611986,6.1,64.127319,,8.277754001,77.63630197,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63630197 8.277754001, 77.63859702 8.276385991)"
79,11,S,DA,26,10-11,294.84108266543603,2.93,62.99556,,8.276385991,77.63859702,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63859702 8.276385991, 77.64081303 8.275080007)"
