S.No,Tower No.,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
47,46,T,DC,25,45-46,284.1820419444998,0.78,"=IF(H52>15,0)",278.543091,3°37'43''RT,10.6723049841821,77.731043966487,GOOD,AVAILABLE,LT -2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.731043966487 10.6723049841821, 77.7328259591013 10.6741370167583)"
48,47,S,DC,26,46-47,284.9010872645232,1.95,"=IF(H53>15,0)",280.457062,,10.6741370167583,77.7328259591013,GOOD,AVAILABLE,LT,VILLAGE ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7328259591013 10.6741370167583, 77.7351583074778 10.6763624958693)"
49,48,S,DC,26,47-48,358.3067966167716,6.1,"=IF(H54>15,0)",275,,10.6763624958693,77.7351583074778,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7351583074778 10.6763624958693, 77.7373240236192 10.6785027310252)"
50,49,T,DC,25,48-49,338.6769677561901,2.08,"=IF(H55>15,0)",273,11°4'11''LT,10.6785027310252,77.7373240236192,GOOD,AVAILABLE,LT,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7373240236192 10.6785027310252, 77.7389993984252 10.6809635739773)"
51,50,T,DC,25,49-50,331.8929137603338,1.33,"=IF(H56>15,0)",271,3°4'57''RT,10.6809635739773,77.7389993984252,GOOD,AVAILABLE,LT,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7389993984252 10.6809635739773, 77.7408480271697 10.6833866145461)"
52,51,S,DC,26,50-51,339.5024676140611,3.07,"=IF(H57>15,0)",271,,10.6833866145461,77.7408480271697,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7408480271697 10.6833866145461, 77.7424192149192 10.6854327209293)"
53,52,S,DC,26,51-52,287.90256591788625,2.63,"=IF(H58>15,0)",272,,10.6854327209293,77.7424192149192,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7424192149192 10.6854327209293, 77.7440088428556 10.6874876283109)"
54,53,T,DC,25,52-53,289.9009049553749,2.4,"=IF(H59>15,0)",275,4°59'24''LT,10.6874876283109,77.7440088428556,GOOD,AVAILABLE,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7440088428556 10.6874876283109, 77.7450649626553 10.6891316547989)"
55,54,S,DC,26,53-54,219.1046948083906,5.19,"=IF(H60>15,0)",271,,10.6891316547989,77.7450649626553,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7450649626553 10.6891316547989, 77.7459171507507 10.6904522236436)"
56,55,T,DC,25,54-55,176.9117802484838,1.66,"=IF(H61>15,0)",274,9°59'49''LT,10.6904522236436,77.7459171507507,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7459171507507 10.6904522236436, 77.7468506433069 10.6926755234599)"
57,56,S,DC,26,55-56,269.97694368157653,4.02,"=IF(H62>15,0)",272,,10.6926755234599,77.7468506433069,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7468506433069 10.6926755234599, 77.7479241974651 10.6952408887445)"
58,57,S,DC,26,56-57,310.82635679804036,3.1,"=IF(H63>15,0)",269,,10.6952408887445,77.7479241974651,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7479241974651 10.6952408887445, 77.748782755807 10.6972569879144)"
59,58,S,DC,26,57-58,245.65201765409216,6.08,"=IF(H64>15,0)",271,,10.6972569879144,77.748782755807,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.748782755807 10.6972569879144, 77.7497546374797 10.6996786873787)"
60,59,S,DC,26,58-59,291.9063661496698,5.61,"=IF(H65>15,0)",272,,10.6996786873787,77.7497546374797,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7497546374797 10.6996786873787, 77.7506438735872 10.7020559627562)"
61,60,T,DC,25,59-60,284.07550475677607,3.75,"=IF(H66>15,0)",272,16°14'58''LT,10.7020559627562,77.7506438735872,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7506438735872 10.7020559627562, 77.7507693506777 10.703807529062)"
62,61,S,DC,26,60-61,197.87086269974392,1.88,"=IF(H67>15,0)",269,,10.703807529062,77.7507693506777,GOOD,AVAILABLE,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7507693506777 10.703807529062, 77.7509496454149 10.705567644909)"
63,62,T,DC,25,61-62,199.32848612577084,1.2,"=IF(H68>15,0)",266,15°30'29''RT,10.705567644909,77.7509496454149,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7509496454149 10.705567644909, 77.7516414877027 10.7073232345283)"
64,63,T,DC,25,62-63,212.06784965706993,0.59,"=IF(H69>15,0)",262,46°54'14''RT,10.7073232345283,77.7516414877027,GOOD,AVAILABLE,LT -2NO,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7516414877027 10.7073232345283, 77.7540984749794 10.7082952838391)"
65,64,T,DC,25,63-64,293.1964844234311,2.79,"=IF(H70>15,0)",259,24°12'49''RT,10.7082952838391,77.7540984749794,GOOD,AVAILABLE,"LT, HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7540984749794 10.7082952838391, 77.7557513024657 10.708226468414)"
66,65,T,DC,25,64-65,184.5999342732991,1.58,"=IF(H71>15,0)",262,1°0'17''LT,10.708226468414,77.7557513024657,GOOD,AVAILABLE,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7557513024657 10.708226468414, 77.7575047966092 10.7081838883459)"
67,66,T,DC,25,65-66,195.51808270352123,2.03,"=IF(H72>15,0)",261,82°7'30''LT,10.7081838883459,77.7575047966092,GOOD,AVAILABLE,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7575047966092 10.7081838883459, 77.757535809651 10.7083715591579)"
68,GANTRY ( VADUGAPATTY SS ),T,Gantry,12,66-GANTRY ,24.54943492261342,,,262,,10.7083715591579,77.757535809651,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G73),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
