S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation (m),Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
92,86,,S,DA+0,24,88-1 LILO SENGURUCHI,341.3968253,5.5,FALSE,262.0831299,,10.42321175,78.03318233,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03318233241964 10.423211753541256, 78.03488708761824 10.424297850047305)"
93,1 LILO NALAMANAR KOTAI,3W,T,DB+0,22,1 LILO SENGURUCHI-89,239,68,FALSE,264,,10.42429785,78.03488709,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03488708761824 10.424297850047305, 78.03548215900543 10.424529807815254)"
94,87,,S,DA+0,24,89-90,74,3.94,FALSE,265.4477539,,10.42452981,78.03548216,Good,NO E/W,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03548215900543 10.424529807815254, 78.03800393838665 10.426000664184006)"
95,88,,S,DA+0,24,90-91,324.7743696,4.99,FALSE,267.1300049,,10.42600066,78.03800394,Good,Good,LT,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03800393838665 10.426000664184006, 78.03906349476345 10.426517576152706)"
96,1 LILO SENGURUCHI,3W,T,DB+0,24,91-92,133.4551024,,FALSE,265.2073975,6°53'28''LT,10.42651758,78.03906349,Good,Good,,,Plain,LILO SENGURUCHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03906349476345 10.426517576152706, 78.04054390649769 10.427473867485649)"
97,89,,S,DA+0,24,92-93,197.7287822,6.46,FALSE,265.9283447,,10.42747387,78.04054391,Good,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04054390649769 10.427473867485649, 78.04313718351267 10.428965259517181)"
98,90,,S,DA+0,24,93-94,332.6818314,4.23,FALSE,266.649292,,10.42896526,78.04313718,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04313718351267 10.428965259517181, 78.04556667814134 10.431066686461659)"
99,91,,S,DA+0,24,94-95,357.5730134,4.21,FALSE,270.2,,10.43106669,78.04556668,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04556667814134 10.431066686461659, 78.04778897212192 10.43167110549953)"
100,92,,S,DA+0,24,95-96,256.5657685,5.44,FALSE,268.331665,,10.43167111,78.04778897,Good,Good,LT,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04778897212192 10.43167110549953, 78.05021477871205 10.433076918299655)"
101,93,,S,DA+0,24,96-97,312.0496446,2.9,FALSE,271.2156982,,10.43307692,78.05021478,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05021477871205 10.433076918299655, 78.05263999856888 10.434494298126186)"
102,94,,S,DA+0,24,97-98,312.6415578,0.54,FALSE,278.9061279,,10.4344943,78.05264,Good,Good,,PLOT AREA,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05263999856888 10.434494298126186, 78.05494669831523 10.435839090671319)"
103,95,,T,DC+0,24,98-99,297.3700223,0.11,FALSE,279.3867188,12°7'23''LT,10.43583909,78.0549467,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05494669831523 10.435839090671319, 78.0570327863718 10.437739184301464)"
104,96,,S,DA+0,24,99-100,314.6630112,1.05,FALSE,267.1300049,,10.43773918,78.05703279,Good,Good,LT,MUD ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0570327863718 10.437739184301464, 78.05921342229601 10.439687222417817)"
105,97,,S,DA+0,24,100-101,325.8949328,5.39,FALSE,271.2156982,,10.43968722,78.05921342,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05921342229601 10.439687222417817, 78.06096557533091 10.441270647746121)"
106,98,,S,DA+0,24,101-1 LILO VADAMADURAI,263.9948295,2.8,FALSE,277.2237549,,10.44127065,78.06096558,Good,Good,11 KV,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06096557533091 10.441270647746121, 78.06332751182028 10.443436028611814)"
107,99,,S,DA+0,24,1 LILO VADAMADURAI-102,356.791331,3.88,FALSE,269.0527344,,10.44343603,78.06332751,Good,Good,LT-2,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06332751182028 10.443436028611814, 78.06519055743395 10.445090616298028)"
108,100,,S,DA+0,24,102-103,278.288678,3.51,FALSE,274.8205566,,10.44509062,78.06519056,Good,Good,,MUD ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06519055743395 10.445090616298028, 78.06751293134042 10.447241747928313)"
109,101,,S,DA+0,24,103-104,352.5397128,0.8,FALSE,277.7044678,,10.44724175,78.06751293,Good,Good,11 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06751293134042 10.447241747928313, 78.06839998815092 10.447933338759109)"
110,1 LILO VADAMADURAI,3W,T,DB+0,24,104-105,127.7375407,0.45,FALSE,287,8°3'48''LT,10.44793334,78.06839999,Good,Good,66 KV,Our Line Over Crossing,Plain,LILO VADAMADURAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06839998815092 10.447933338759109, 78.06921672079422 10.448778988970124)"
111,102,,S,DA+0,24,105-1 LILO RENGANATHAPURAM (105/1),133.517223,4.2,FALSE,278.9061279,,10.44877899,78.06921672,Good,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06921672079422 10.448778988970124, 78.07127355600879 10.450636670170365)"
112,103,,S,DA+0,24,1 LILO RENGANATHAPURAM (105/1)-106,309.1167523,0.49,FALSE,280.107666,,10.45063667,78.07127356,Good,Good,,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07127355600879 10.450636670170365, 78.07356676089222 10.452720159841947)"
113,104,,S,DA+0,24,106-107,345.0999176,0.48,FALSE,281.5496826,,10.45272016,78.07356676,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07356676089222 10.452720159841947, 78.07527909988717 10.454271482481136)"
114,105,,S,DA+0,24,107-108,258.3677384,2.26,FALSE,275.7818604,,10.45427148,78.0752791,Good,Good,,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07527909988717 10.454271482481136, 78.07631669567853 10.455300025819474)"
115,1 LILO RENGANATHAPURAM (105/1),3W,T,DB+0,24,108-109,164.9128866,2.42,FALSE,273.5,5°16'42''RT,10.45530003,78.0763167,Good,NO E/W,LT,,Plain,LILO RENGANATHAPURAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07631669567853 10.455300025819474, 78.07732604445596 10.456131342976091)"
116,106,,S,DA+0,24,109-110,147.8850428,8.65,FALSE,274.0994873,,10.45613134,78.07732604,Good,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07732604445596 10.456131342976091, 78.07940701955151 10.457987515433732)"
117,107,,S,DA+0,24,110-1 LILO ERIYODU (110/1),310.9580462,2.5,FALSE,276.0220947,,10.45798752,78.07940702,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07940701955151 10.457987515433732, 78.08133561164776 10.459754085346374)"
118,108,,S,DA+0,24,1 LILO ERIYODU (110/1)-111,291.9370957,3.63,FALSE,275.0609131,,10.45975409,78.08133561,Good,Good,LT-2,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08133561164776 10.459754085346374, 78.0835333466542 10.461700027986957)"
119,109,,S,DA+0,24,111-112,327.1144083,0.82,FALSE,277.1,,10.46170003,78.08353335,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0835333466542 10.461700027986957, 78.08569998480003 10.463700033903013)"
120,110,,S,DA+0,24,112-113,328.633374,4.89,FALSE,279.2,,10.46370003,78.08569998,Good,Good,,MUD ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08569998480003 10.463700033903013, 78.08669868856082 10.464741988286336)"
121,1 LILO ERIYODU (110/1),3W,T,DB+0,22,113-114,163.0005298,1.62,FALSE,275.5,11°17'23''RT,10.46474199,78.08669869,Good,Good,,,Plain,LILO ERIYODU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08669868856082 10.464741988286336, 78.08761667459378 10.465383371517138)"
122,111,,S,DA+0,24,114-115 LILO PALAYAM (115/1),127.1239155,0.52,FALSE,278.3,,10.46538337,78.08761667,Good,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08761667459378 10.465383371517138, 78.0897166766096 10.4673500174585)"
123,112,,S,DA+0,24,115 LILO PALAYAM (115/1)-116,320.7798415,3.61,FALSE,286.6,,10.46735002,78.08971668,Good,Good,LT-2,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0897166766096 10.4673500174585, 78.09179999863788 10.469199987307753)"
124,113,,T,DB+0,24,116-117,310.6808398,0.44,FALSE,284.1,10°37'0''RT,10.46919999,78.0918,Good,Good,"LT,22 KV",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09179999863788 10.469199987307753, 78.09435002503255 10.470733372674225)"
125,114,,S,DA+0,24,117-118,330.9351752,1.25,FALSE,286.3,,10.47073337,78.09435003,Good,Good,,VADAMADURAI-VEDASANTHUR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09435002503255 10.470733372674225, 78.09685001146545 10.472233314247072)"
126,115 LILO PALAYAM (115/1),3W,S,DA+0,24,118-119,324.325175,1.2,FALSE,290.9,,10.47223331,78.09685001,Good,Good,LT,,Plain,LILO PALAYAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09685001146545 10.472233314247072, 78.09933331791095 10.47368329967692)"
127,116,,S,DA+0,24,119-120,319.9162596,0.65,FALSE,293.2,,10.4736833,78.09933332,Good,NO E/W,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09933331791095 10.47368329967692, 78.10166667210919 10.475066648976668)"
128,117,,S,DA+0,24,120-121,302.0217576,1.03,FALSE,297.6,,10.47506665,78.10166667,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10166667210919 10.475066648976668, 78.10394998634551 10.4763999583143)"
129,118,,S,DA+0,24,121-122,294.4764771,8.9,FALSE,296.4,,10.47639996,78.10394999,Good,Good,"LT,11 KV",THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10394998634551 10.4763999583143, 78.10666664497478 10.478033339785673)"
130,119,,S,DA+0,24,122-123,352.277602,3.34,FALSE,295.5,,10.47803334,78.10666664,Good,Good,,MUD ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10666664497478 10.478033339785673, 78.10919999138201 10.479533365177552)"
131,120,,S,DA+0,24,123-124,327.4523097,8.27,FALSE,296.3,,10.47953337,78.10919999,Good,Good,LT-2,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10919999138201 10.479533365177552, 78.1116833816466 10.481016626762997)"
132,121,,S,DA+0,24,124-125,321.8029396,5.52,FALSE,298.8,,10.48101663,78.11168338,Good,Good,LT,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1116833816466 10.481016626762997, 78.11401665202574 10.482366699907049)"
133,122,,S,DA+0,24,125-126,300.1293976,4.4,FALSE,298.8,,10.4823667,78.11401665,Good,Good,LT,MUD ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11401665202574 10.482366699907049, 78.11651663845852 10.483883321467212)"
134,123,,S,DA+0,24,126-127,325.2721703,2.25,FALSE,300.9,,10.48388332,78.11651664,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11651663845852 10.483883321467212, 78.11898334873581 10.485349986884463)"
135,124,,S,DA+0,24,127-128,319.2843813,6.8,FALSE,303.5,,10.48534999,78.11898335,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11898334873581 10.485349986884463, 78.12066668634486 10.486350031752037)"
136,125,2W,S,DA+0,24,128-129,219.1081497,3.35,FALSE,300.5,,10.48635003,78.12066669,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12066668634486 10.486350031752037, 78.12233334396664 10.487333312813202)"
137,126,,S,DA+0,24,129-130,216.5863322,2.9,FALSE,304.2,,10.48733331,78.12233334,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12233334396664 10.487333312813202, 78.12463333819058 10.488866698179667)"
138,127,,S,DA+0,24,130-131,307.8343527,5.4,FALSE,302.5,,10.4888667,78.12463334,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12463333819058 10.488866698179667, 78.12645003187849 10.489800023098056)"
139,128,,S,DA+0,24,131-132,228.2593216,4.6,FALSE,305.1,,10.48980002,78.12645003,Good,Good,LT,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12645003187849 10.489800023098056, 78.12896669829848 10.491283368502506)"
140,129,,S,DA+0,24,132-133,324.9222811,7.23,FALSE,307.5,,10.49128337,78.1289667,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12896669829848 10.491283368502506, 78.1309667042085 10.492533361722721)"
141,130,,S,DA+0,24,133-134,263.1569502,6.89,FALSE,307.5,,10.49253336,78.1309667,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1309667042085 10.492533361722721, 78.1335166467839 10.493983347152597)"
142,131,,S,DA+0,24,134-135,326.20104,4.05,FALSE,315.2,,10.49398335,78.13351665,Good,Good,LT-2,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1335166467839 10.493983347152597, 78.13610003315293 10.495533328687369)"
143,132,,S,DA+0,24,135-136,334.9822536,1.92,FALSE,315.1,,10.49553333,78.13610003,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13610003315293 10.495533328687369, 78.13831671125915 10.496833361869509)"
144,133,,S,DA+0,24,136-137,286.2947674,2.23,FALSE,323.7,,10.49683336,78.13831671,Good,Good,"LT-2,11 KV",THAR ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13831671125915 10.496833361869509, 78.14026667720732 10.498016635140514)"
145,134,,S,DA+0,24,137-138,254.5944866,1.92,FALSE,316.5,,10.49801664,78.14026668,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14026667720732 10.498016635140514, 78.14263330756094 10.499433344414774)"
146,135,2W,T,DC+0,24,138-139,307.0222449,3.49,FALSE,320.6,17°19'11''LT,10.49943334,78.14263331,Good,Good,,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14263330756094 10.499433344414774, 78.14446668123783 10.501483306473736)"
147,136,,S,DA+0,24,139-140,307.0543678,0.18,FALSE,327.1,,10.50148331,78.14446668,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14446668123783 10.501483306473736, 78.14628337492759 10.503599988481906)"
148,137,,S,DA+0,24,140-141,311.4364333,0.88,FALSE,326.8,,10.50359999,78.14628337,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14628337492759 10.503599988481906, 78.14818330091563 10.505799986607586)"
149,138,,S,DA+0,24,141-142,324.3692418,1.06,FALSE,333.5,,10.50579999,78.1481833,Good,Good,LT-2,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14818330091563 10.505799986607586, 78.15011667069726 10.50799998473326)"
150,139,,S,DA+0,24,142-143,326.7602284,2.24,FALSE,335.3,,10.50799998,78.15011667,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15011667069726 10.50799998473326, 78.15201668050432 10.510216662846362)"
151,140,,S,DA+0,24,143-144,325.7781797,1.55,FALSE,347.2,,10.51021666,78.15201668,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15201668050432 10.510216662846362, 78.15438331086001 10.512966681458206)"
152,141,,S,DA+0,24,144-145,403.8691001,2.59,FALSE,338.4,,10.51296668,78.15438331,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15438331086001 10.512966681458206, 78.15580002013118 10.514633339085119)"
153,142,,S,DA+0,24,145-146,245.095575,2.9,FALSE,344.7,,10.51463334,78.15580002,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15580002013118 10.514633339085119, 78.15773330609366 10.516850017198111)"
154,143,,S,DA+0,24,146-147,328.1438227,2.53,FALSE,338.8,,10.51685002,78.15773331,Good,Good,LT-2,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15773330609366 10.516850017198111, 78.15983330810995 10.519266687520831)"
155,144,,S,DA+0,24,147-148,356.835748,3.59,FALSE,343.4,,10.51926669,78.15983331,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15983330810995 10.519266687520831, 78.16166668178704 10.521416645684594)"
156,145,,S,DA+0,24,148-149,315.4173088,4.55,FALSE,346.6,,10.52141665,78.16166668,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16166668178704 10.521416645684594, 78.16345001550198 10.523433331587961)"
157,146,2W,T,DD+0,24,149-150,300.6534809,1.88,FALSE,346.8,56°25'8''RT,10.52343333,78.16345002,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16345001550198 10.523433331587961, 78.1663499863494 10.523050027156142)"
158,147,,S,DA+0,24,150-151,324.5016279,2.49,FALSE,353.5,,10.52305003,78.16634999,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1663499863494 10.523050027156142, 78.1692333610287 10.522733358854499)"
159,148,,S,DA+0,24,151-152,321.8012557,2.8,FALSE,354.7,,10.52273336,78.16923336,Good,Good,LT,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1692333610287 10.522733358854499, 78.17225000796792 10.522383330578185)"
160,149,,S,DA+0,24,152-153,336.7248518,5.9,FALSE,365.4,,10.52238333,78.17225001,Good,Good,LT,MUD ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17225000796792 10.522383330578185, 78.17508334268534 10.522033302301939)"
161,150,,S,DA+0,24,153-1 LILO AYYALUR (153/1),316.7887252,4.55,FALSE,374.1,,10.5220333,78.17508334,Good,Good,,FORREST,FORREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17508334268534 10.522033302301939, 78.17803335349451 10.521633317882715)"
162,151,,S,DA+0,24,1 LILO AYYALUR (153/1)-2,330.1796456,3.25,FALSE,388.9,,10.52163332,78.17803335,Good,Good,,FORREST,FORREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17803335349451 10.521633317882715, 78.18013335550675 10.521499961803464)"
163,152,,S,DA+0,24,2-3,234.5186729,6.8,FALSE,399.9,,10.52149996,78.18013336,Good,Good,,FORREST,FORREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18013335550675 10.521499961803464, 78.18283333414512 10.521050021241303)"
164,153,,S,DA+0,24,3-4,303.9342726,5.5,FALSE,358.3,,10.52105002,78.18283333,Good,Good,,FORREST,FORREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18283333414512 10.521050021241303, 78.1849166561698 10.520733352939637)"
165,1 LILO AYYALUR (153/1),3W,T,DB+0,24,4-5,234.8943491,1.62,FALSE,336.9,77°8'18''LT,10.52073335,78.18491666,Good,NO E/W,LT,,Plain,LILO AYYALUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1849166561698 10.520733352939637, 78.18425004341049 10.519066695312866)"
166,2,,S,DA+0,24,5-6,202.4203479,0.48,FALSE,344.1,,10.5190667,78.18425004,Good,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18425004341049 10.519066695312866, 78.18361670680703 10.517583349908406)"
167,3,,S,DA+0,24,6-7,182.2577706,1.96,FALSE,341.4,,10.51758335,78.18361671,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18361670680703 10.517583349908406, 78.1827166580444 10.515333311820788)"
168,4,,S,DA+0,24,7-8,271.8782221,0.21,FALSE,339.9,,10.51533331,78.18271666,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1827166580444 10.515333311820788, 78.18208332144101 10.51388332639103)"
169,5,,T,DB+0,24,8-9,178.8625325,0.53,FALSE,360.2,5°43'36''RT,10.51388333,78.18208332,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18208332144101 10.51388332639103, 78.18103332043187 10.512016676554541)"
170,6,,S,DA+0,24,9-10,240.4913293,0.88,FALSE,343.7,,10.51201668,78.18103332,Good,Good,,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18103332043187 10.512016676554541, 78.18021667160676 10.510550011137372)"
171,7,,S,DA+0,24,10-11,189.3728501,1.26,FALSE,337.7,,10.51055001,78.18021667,Good,Good,LT-2,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18021667160676 10.510550011137372, 78.17936666280714 10.509083345720311)"
172,8,,T,DB+0,22,11-12,191.1642839,0.94,FALSE,337.4,6°45'59''LT,10.50908335,78.17936666,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17936666280714 10.509083345720311, 78.17823334567953 10.506450003200639)"
173,9,,S,DA+0,24,12-13,320.8428302,2.02,FALSE,340.1,,10.50645,78.17823335,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17823334567953 10.506450003200639, 78.17713330470745 10.503816660680966)"
174,10,,S,DA+0,24,13-14,319.4328486,0.84,FALSE,334.4,,10.50381666,78.1771333,Good,Good,LT-1,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17713330470745 10.503816660680966, 78.17608330369715 10.501216678135917)"
175,11,,S,DA+0,24,14-15 (153/15),313.9478943,1.23,FALSE,333,,10.50121668,78.1760833,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17608330369715 10.501216678135917, 78.1749666665567 10.498483339511342)"
176,12,,S,DA+0,24,15 (153/15)-GANTRY,330.3683376,1.44,0,343,,10.49848334,78.17496667,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1749666665567 10.498483339511342, 78.17385002941623 10.495750000886881)"
177,13,,T,DD+0,24,GANTRY-,330.3690044,0.92,FALSE,341.2,22°25'12''RT,10.49575,78.17385003,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17385002941623 10.495750000886881, 78.17208337568879 10.493966667167822)"
178,14,,T,DB+0,24,-,280.4624583,0.64,FALSE,341.8,6°3'42''LT,10.49396667,78.17208338,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17208337568879 10.493966667167822, 78.17141667911184 10.493133338354415)"
179,15 (153/15),,T,DD+0,24,-,121.6630851,0.62,FALSE,340.4,37°54'36''LT,10.49313334,78.17141668,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17141667911184 10.493133338354415, 78.17136672775696 10.493063749265978)"
180,GANTRY,2W,T,BAY,12,15-GANTRY,42,NIL,,340,,10.49306375,78.17136673,Good,NO E/W,,,Plain,AYYALUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL KM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sembatty Jursdication,,,,,,,30754.67631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNPM Jursdication,,,,,,,15520.28215,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayyalur LILO,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNPM Jursdication ( Ayyalur to Puthanatham LILO),,,,,,,1897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
