S. No ,Tower No,Joint Box,Supspension / Tenion,Tower type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),,Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain /Hilly / Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
51,49,,S,A+0,28,48-49,249,3.12,FALSE,79.601707,,9.997069942,78.657889,GOOD,GOOD,"2LT, 220KV",Village Road,Plain,220KV LINE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65788900430661 9.997069941740966, 78.6554870023204 9.997709899953968)"
52,50,,S,A+0,28,49-50,275,0.12,FALSE,82.112854,,9.9977099,78.655487,GOOD,GOOD,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6554870023204 9.997709899953968, 78.6527969981418 9.998418925037374)"
53,51,,S,A+0,28,50-51,308,0.51,FALSE,82.075844,,9.998418925,78.652797,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6527969981418 9.998418925037374, 78.6511020096865 9.998812958238053)"
54,52 LILO,3W,T,B+0,26,51-52 LILO,193,1.22,FALSE,83.707512,5°11'9''RT,9.998812958,78.65110201,GOOD,GOOD,"5LT, 66KV",,LILO,LILO AT KALLAL TAPPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6511020096865 9.998812958238053, 78.6498970272893 9.999209925124088)"
55,53,,S,A+0,28,52 LILO-53,142,0.64,FALSE,83.511055,,9.999209925,78.64989703,GOOD,GOOD,"LT, 66KV ",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6498970272893 9.999209925124088, 78.64716201229098 9.999942922447802)"
56,54,,S,A+0,28,53-54,313,0.33,FALSE,84.798615,,9.999942922,78.64716201,GOOD,GOOD,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64716201229098 9.999942922447802, 78.64448399423402 10.000680948914999)"
57,55,,S,A+0,28,54-55,307,0.06,FALSE,85.51828,,10.00068095,78.64448399,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64448399423402 10.000680948914999, 78.64184201836063 10.0013849448566)"
58,56,,S,A+0,28,55-56,303,4.37,FALSE,85.353317,,10.00138494,78.64184202,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64184201836063 10.0013849448566, 78.63928897447973 10.00209296411498)"
59,57,,S,A+0,28,56-57,293,0.02,FALSE,86.599503,,10.00209296,78.63928897,GOOD,GOOD,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63928897447973 10.00209296411498, 78.63648698807526 10.002838953384519)"
60,58,,S,A+0,28,57-58,321,0.18,FALSE,87.026665,,10.00283895,78.63648699,GOOD,GOOD,2 LT LINES,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63648698807526 10.002838953384519, 78.63370897391376 10.003585948482106)"
