SL.NO,TOWER NO,Tower Suspension/ Tension,DIVATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
41,41,T,"55°53'07""RT",PC+3,24.65,T40-T41,125.74277167692895,2.55,48,8.323749369,77.18914848,NORMAL,AVAILABLE,,Road,Agri Land,"road,house",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18914848 8.323749369, 77.19022505 8.324484493)"
42,42,T,"28°35'45""RT",PB+3,23.85,T41-T42,143.82988153019173,2.69,38,8.324484493,77.19022505,NORMAL,AVAILABLE,,Soil Road,Agri Land,"soil road,2Nos compound wall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19022505 8.324484493, 77.1913033 8.324594293)"
43,43,T,"54°20'15""LT",PC,21.65,T42-T43,119.43165115665421,2.49,36,8.324594293,77.1913033,NORMAL,AVAILABLE,,"Road, Pond",Agri Land,"pond,road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1913033 8.324594293, 77.19255321 8.326765862)"
44,44,T,"50°35'47""RT",PC+3,24.65,T43-T44,276.92668439497214,2.52,32,8.326765862,77.19255321,NORMAL,AVAILABLE,LT Line-3Nos,,Agri Land,"4Nos compound wall, fencing-4nos,3nos lt line,house",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19255321 8.326765862, 77.19361503 8.326944324)"
45,45,T,"60°28'26""LT",PC+3,24.653,T44-T45,118.65575138189504,2.61,28,8.326944324,77.19361503,NORMAL,AVAILABLE,11KV Line,Road,Agri Land,"Road,11 kv line,4Nos compound wall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19361503 8.326944324, 77.19396002 8.327891102)"
46,46,T,"05°22'40""RT",PB,20.85,T45-T46,111.43061300205034,2.67,27,8.327891102,77.19396002,NORMAL,AVAILABLE,,,Agri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19396002 8.327891102, 77.19504163 8.330167482)"
47,47,T,"07°43'05""LT",PB,20.85,T46-T47,278.6218386450436,2.53,32,8.330167482,77.19504163,NORMAL,AVAILABLE,LT Line,"Odai(Nala),Road",Agri Land,"Odai(nala),Road,lt line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19504163 8.330167482, 77.19529342 8.330957685)"
48,48,T,"35°18'30""LT",PC+6,27.65,T47-T48,91.71997786742993,2.82,34,8.330957685,77.19529342,NORMAL,AVAILABLE,,Railway ,Agri Land,"Railway track,2nos fencing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19529342 8.330957685, 77.19478984 8.332529133)"
49,49,T,"08°08'03""LT",PC+6,27.65,T48-T49,182.49414801033942,2.73,27,8.332529133,77.19478984,NORMAL,AVAILABLE,"Lt line,33Kv line",Pond,Agri Land,"pond ,4Nos  fencing,lt line ,33 kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19478984 8.332529133, 77.19393656 8.334284357)"
50,50,T,"15°28'14""RT",PB,20.85,T49-T50,215.74945006643048,2.87,36,8.334284357,77.19393656,NORMAL,AVAILABLE,,,Agri Land,"house,2Nos  compound wall,4nos fencing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19393656 8.334284357, 77.19375014 8.335299467)"
51,51,T,"34°23'54""RT",PC+3,24.65,T50-T51,114.16780026348275,2.56,42,8.335299467,77.19375014,NORMAL,AVAILABLE,,Road,Agri Land,"road,house,4nos compound wall ,2nos fencing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19375014 8.335299467, 77.19426345 8.336445929)"
52,52,T,"57°06'39""LT",PC+3,24.65,T51-T52,138.8772966506903,2.49,46,8.336445929,77.19426345,NORMAL,AVAILABLE,"LT line,33Kv Line",Road,Agri Land,"Road,4nos compound wall,house,Lt line,33kv Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19426345 8.336445929, 77.19409012 8.336710983)"
53,53,T,,PC,21.65,T52-T53,34.99511012989072,2.83,47,8.336710983,77.19409012,NORMAL,AVAILABLE,LT Line,Road,Agri Land,"road,2nos lt line,2nos compound wall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H7:H59)/1000,km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
