S. No ,Tower No,SUSPENTION/TENTION,Circuit,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of Tower  (Missing  parts, broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
45,T.NO 44,S,SA,26,"=B50&""-""&B51",246.0081299469593,2.17,224,,9.12961111111111,77.3766666666666,GOOD,GOOD,NO,LT,2nos MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3766666666666 9.12961111111111, 77.3784722222222 9.13091666666666)"
46,T.NO 45,S,SA,26,"=B51&""-""&B52",245.63590942694026,3.86,222,,9.13091666666666,77.3784722222222,GOOD,GOOD,NO,"11KV,LT",NALA,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3784722222222 9.13091666666666, 77.3803888888888 9.13216666666666)"
47,T.NO 46,S,SA,29,"=B52&""-""&B53",251.55715056424057,2.41,228,,9.13216666666666,77.3803888888888,GOOD,GOOD,NO,2nos LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3803888888888 9.13216666666666, 77.3820833333333 9.13336111111111)"
48,T.NO 47,T,SB,27,"=B53&""-""&B54",229.4733099948663,2.66,229,"6°15'19.09""",9.13336111111111,77.3820833333333,GOOD,GOOD,NO,4nos LT,"2nos MUD ROAD, 2nos TAAR ROAD",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3820833333333 9.13336111111111, 77.3835833333333 9.13466666666666)"
49,T.NO 48,S,SA,26,"=B54&""-""&B55",219.57231155134292,3.71,228,,9.13466666666666,77.3835833333333,GOOD,GOOD,NO,"2nos LT, 11KV","MUD ROAD, POND",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3835833333333 9.13466666666666, 77.3854166666666 9.13616666666666)"
50,T.NO 49,S,SA,29,"=B55&""-""&B56",261.8415551435639,3.84,220,,9.13616666666666,77.3854166666666,GOOD,GOOD,NO,LT,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3854166666666 9.13616666666666, 77.3871666666666 9.13766666666666)"
51,T.NO 50,T,SB,27,"=B56&""-""&B57",254.46610776290032,4.1,218,"0°17'57.67""",9.13766666666666,77.3871666666666,GOOD,GOOD,NO,,POND,INSIDE THE POND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3871666666666 9.13766666666666, 77.3883055555555 9.13861111111111)"
52,T.NO 51,S,SA,26,"=B57&""-""&B58",160.96272860510285,3.79,217,,9.13861111111111,77.3883055555555,GOOD,GOOD,NO,LT,,CULTIVATION,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3883055555555 9.13861111111111, 77.3901388888889 9.14013888888888)"
53,T.NO 52,S,SA,26,"=B58&""-""&B59",264.66015944981217,4.23,216,,9.14013888888888,77.3901388888889,GOOD,GOOD,NO,LT,,CULTIVATION,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3901388888889 9.14013888888888, 77.3918888888889 9.14161111111111)"
54,T.NO 53,S,SA,26,"=B59&""-""&B60",250.3377718203947,4.98,216,,9.14161111111111,77.3918888888889,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3918888888889 9.14161111111111, 77.3936666666666 9.14311111111111)"
