S.No,Tower No.,Joint Box,Tower Model,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation (m),Deviation Angle (Degrees),Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
96,325,,PC,T,B+0,22,328-329,208,6.89,FALSE,259.1992188,9°44'15''LT,10.50325993,77.86915502,Good,Good,,,WATER LOGGED AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8691550157964 10.5032599344849, 77.8709401935338 10.5031500477343)"
97,326,,PA+3,S,A+3,27,329-330,200,1.78,FALSE,267.3703613,,10.50315005,77.87094019,Good,Good,22KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8709401935338 10.5031500477343, 77.8730302210897 10.5030269175767)"
98,327,,PC,T,C+0,22,330-331,233,5,FALSE,255.5943604,31°15'16''LT,10.50302692,77.87303022,Good,Good,"22KV,LT",THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8730302210897 10.5030269175767, 77.8746826294809 10.5038908403366)"
99,328,,PA,S,A+0,24,331-332,209,4.01,FALSE,260.4008789,,10.50389084,77.87468263,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8746826294809 10.5038908403366, 77.8763772826641 10.504740094766)"
100,329,,PA+3,S,A+3,22,332-333,212,5.78,FALSE,255.5943604,,10.50474009,77.87637728,Good,Good,LT,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8763772826641 10.504740094766, 77.8788028378039 10.5059644393622)"
101,330,2W,PB+3,T,B+3,25,333-334,303,7.01,FALSE,254.6330566,4°21'51''RT,10.50596444,77.87880284,Good,Good,"2-LT,22KV",MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8788028378039 10.5059644393622, 77.8800397552549 10.506600793451)"
102,331,,PB+3,T,B+3,25,334-335,157,6.77,FALSE,255.1136475,3°56'59''RT,10.50660079,77.88003976,Good,Good,110 KV SEM-UDUMALAPET RENGANATHAPURAM LINE 2,,WATER LOGGED AREA,OUR LINE OVER CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8800397552549 10.506600793451, 77.8820471372455 10.5075920373201)"
103,332,,PA,S,A+0,24,335-336,250,5.18,FALSE,252.4700928,,10.50759204,77.88204714,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8820471372455 10.5075920373201, 77.8839669283479 10.5085448920726)"
104,333,,PA,S,A+0,24,336-337,240,2.7,FALSE,258.7185059,,10.50854489,77.88396693,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8839669283479 10.5085448920726, 77.8860325645655 10.5096230562776)"
105,334,,PB+3,T,B+3,25,337-338,260,3.12,FALSE,257.9975586,2°12'15''RT,10.50962306,77.88603256,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8860325645655 10.5096230562776, 77.8883941657841 10.510845053941)"
106,335,,PA,S,A+0,24,338-339,296,4.07,FALSE,258.237915,,10.51084505,77.88839417,Good,Good,LT,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8883941657841 10.510845053941, 77.8905088361352 10.511992201209)"
107,336,,PB+3,T,B+3,25,339-340,269,4.18,FALSE,257.7573242,5°48'31''RT,10.5119922,77.89050884,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8905088361352 10.511992201209, 77.892569778487 10.5128546152263)"
108,337,,PA,S,A+0,24,340-341,249,6.1,FALSE,257.7573242,,10.51285462,77.89256978,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.892569778487 10.5128546152263, 77.894625859335 10.5138006806373)"
109,338,,PA,S,A+0,24,341-342,253,5.25,FALSE,254.873291,,10.51380068,77.89462586,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.894625859335 10.5138006806373, 77.8967463970184 10.5147278029471)"
110,339,,PA,S,A+0,24,342-343,258,5.17,FALSE,254.1523438,,10.5147278,77.8967464,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8967463970184 10.5147278029471, 77.8989328164607 10.5156925600022)"
111,340,,PB,T,B+0,22,343-344,267,7.17,FALSE,255.3540039,13°35'29''RT,10.51569256,77.89893282,Good,Good,22KV,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8989328164607 10.5156925600022, 77.9014460463076 10.5161507986485)"
112,341,,PA,S,A+0,24,344-345,284,4.8,FALSE,249.5860596,,10.5161508,77.90144605,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9014460463076 10.5161507986485, 77.9036348126828 10.5166164971888)"
113,342,,PA,S,A+0,24,345-346,249,3.74,FALSE,246.461792,,10.5166165,77.90363481,Good,Good,2-LT,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9036348126828 10.5166164971888, 77.9061052948236 10.5170126259326)"
114,343,2W,PB,T,B+0,22,346-347,278,3.07,FALSE,243.8182373,1°18'43''LT,10.51701263,77.90610529,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9061052948236 10.5170126259326, 77.9082933906465 10.5174145381897)"
115,344,,PA,S,A+0,24,347-348,248,4.07,FALSE,248.8651123,,10.51741454,77.90829339,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9082933906465 10.5174145381897, 77.9107231367379 10.5178720224648)"
116,345,,PA+3,S,A+3,27,348-349,275,5.78,FALSE,258.9588623,,10.51787202,77.91072314,Good,Good,LT,THAR ROAD,AGRI,ITI COLLEGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9107231367379 10.5178720224648, 77.9132201895117 10.5183003377169)"
117,346,,PA,S,A+0,24,349-350,282,3.88,FALSE,241.8956299,,10.51830034,77.91322019,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9132201895117 10.5183003377169, 77.9152482748031 10.51866277121)"
118,347,,PB,T,B+0,22,350-351,230,4.37,FALSE,236.6085205,2°9'2''RT,10.51866277,77.91524827,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9152482748031 10.51866277121, 77.9178040008991 10.5191126279532)"
119,348,,PA+3,S,A+3,27,351-352,288,3.95,FALSE,232.5228271,,10.51911263,77.917804,Good,Good,,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9178040008991 10.5191126279532, 77.9199807811528 10.5195046495646)"
120,349,,PA,S,A+0,24,352-353,246,4.89,FALSE,232.2824707,,10.51950465,77.91998078,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9199807811528 10.5195046495646, 77.9223309829831 10.5199249181896)"
121,350,,PA,S,A+0,24,353-356 LILO VEDACHANDUR ,266,3.65,FALSE,223.6307373,,10.51992492,77.92233098,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9223309829831 10.5199249181896, 77.9245604854077 10.5203083902597)"
122,351,,PC,T,C+0,22,356 LILO VEDACHANDUR -357,252,2.73,FALSE,225.3129883,33°7'45''LT,10.52030839,77.92456049,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9245604854077 10.5203083902597, 77.9257039446383 10.5213631689548)"
123,352,,PA,S,A+0,24,357-358,176,3.12,FALSE,228.9179688,,10.52136317,77.92570394,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9257039446383 10.5213631689548, 77.9267905745655 10.5224018543958)"
124,353,,PC+3,T,B+3,25,358-359,170,2.47,FALSE,234.4454346,5°29'44''RT,10.52240185,77.92679057,Good,Good,LT,,AGRI,NEAR NAGA SOAP COMPANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9267905745655 10.5224018543958, 77.9286563023924 10.5238280352205)"
125,356 LILO VEDACHANDUR ,3W,KC,T,DB+0,22,359-360,270,8.01,FALSE,225.5533447,10°55'34''LT,10.52382804,77.9286563,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9286563023924 10.5238280352205, 77.9299147613346 10.5234982911497)"
126,357,,PB,T,D+0,24,360-361,147,7.87,FALSE,220.9871826,93°41'15''LT,10.52349829,77.92991476,Good,Good,"22KV,LT",THAR ROAD,AGRI,NAGA SOAP COMPANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9299147613346 10.5234982911497, 77.9294680897146 10.5212542042136)"
127,358,,PB,T,C+0,22,361-362,259,7.18,FALSE,224.8323975,28°14'45''RT,10.5212542,77.92946809,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9294680897146 10.5212542042136, 77.9299018532037 10.5198153667151)"
128,359,,PA,S,A+0,24,362-363,171,4,FALSE,238.2907715,,10.51981537,77.92990185,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9299018532037 10.5198153667151, 77.930613476783 10.5174385104328)"
129,360,,PA,S,A+0,24,363-364,280,5.78,FALSE,218.5837402,,10.51743851,77.93061348,Good,Good,"2-22KV,LT",MUD ROAD,CANEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.930613476783 10.5174385104328, 77.9314238391816 10.5148116219788)"
130,361,,PB,T,C+0,22,364-365,310,6.91,FALSE,222.6694336,24°43'44''LT,10.51481162,77.93142384,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9314238391816 10.5148116219788, 77.9311343282461 10.512214237824)"
131,362,,PA,S,A+0,24,365-366,295,6.05,FALSE,227.4759521,,10.51221424,77.93113433,Good,Good,,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9311343282461 10.512214237824, 77.9309271275997 10.5098211206495)"
132,363,,PA,S,A+0,24,366-367,272,7.89,FALSE,228.9179688,,10.50982112,77.93092713,Good,Good,,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9309271275997 10.5098211206495, 77.9306957870721 10.5071876104921)"
133,364,,PB,T,B+0,22,367-368,298,6.78,FALSE,230,12°5'46''RT,10.50718761,77.93069579,Good,Good,,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9306957870721 10.5071876104921, 77.9309670254588 10.5049809906631)"
134,365,,PA,S,A+0,24,368-369,252,3.98,FALSE,232,,10.50498099,77.93096703,Good,Good,"22KV,LT",MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9309670254588 10.5049809906631, 77.931282101199 10.5025753006339)"
135,366,,PA,S,A+0,24,369-370,274,3.75,FALSE,231,,10.5025753,77.9312821,Good,Good,,,CANEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.931282101199 10.5025753006339, 77.931596590206 10.5001153796911)"
136,367,,PB,T,B+0,22,370-371,280,3.12,FALSE,229,16°58'10''LT,10.50011538,77.93159659,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.931596590206 10.5001153796911, 77.9313224181532 10.4981395974755)"
137,368,,PA,S,A+0,24,371-372,226,4.07,FALSE,228,,10.4981396,77.93132242,Good,Good,,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9313224181532 10.4981395974755, 77.9310451447963 10.4958386812359)"
138,369,,PA,S,A+0,24,372-372/1 LILO LAKSHMANAPATTY,262,4.7,FALSE,230,,10.49583868,77.93104514,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9310451447963 10.4958386812359, 77.930711377412 10.4933576378971)"
139,370,,PA,S,A+0,24,372/1 LILO LAKSHMANAPATTY-373,283,4.93,FALSE,235,,10.49335764,77.93071138,Good,Good,22KV,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.930711377412 10.4933576378971, 77.9303487762808 10.4907143209129)"
140,371,,PA,S,A+0,24,373-374,301,5,FALSE,231,,10.49071432,77.93034878,Good,Good,LT,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9303487762808 10.4907143209129, 77.9299946408718 10.4879985842853)"
141,372,,PB,T,B+0,22,374-LILO 1,309,5.73,FALSE,236,12°42'50''RT,10.48799858,77.92999464,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9299946408718 10.4879985842853, 77.9296856001019 10.4871613159775)"
142,372/1 LILO LAKSHMANAPATTY,3W,,T,DB+0,22,LILO 1-375,104,5.81,FALSE,237,1°45'54''LT,10.48716132,77.9296856,Good,Good,,THAR ROAD,AGRI,LILO LAKSHMANAPATTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9296856001019 10.4871613159775, 77.9291408602148 10.4855313710868)"
143,373,,PA,S,A+0,24,375-376,195,4.75,FALSE,238,,10.48553137,77.92914086,Good,NO E/W,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9291408602148 10.4855313710868, 77.9282125644385 10.482902219519)"
144,374,,PA,S,A+0,24,376-377,314,4.18,FALSE,239,,10.48290222,77.92821256,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9282125644385 10.482902219519, 77.9275367315858 10.4810483101755)"
145,LILO 1,3W,,T,B+0,22,377-378,223,3.25,FALSE,238.7713623,4°20'47''LT,10.48104831,77.92753673,Good,Good,LT,,AGRI,LILO VITALNAICKENPATTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9275367315858 10.4810483101755, 77.9273466300219 10.4803695436567)"
146,375,,PB,T,B+0,22,378-379 LILO THADIKOMBU,83,4.24,FALSE,231.321167,6°54'32''LT,10.48036954,77.92734663,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9273466300219 10.4803695436567, 77.9269315581768 10.4776480235159)"
147,376,,PA,S,A+0,24,379 LILO THADIKOMBU-380,311,2.89,FALSE,242.1359863,,10.47764802,77.92693156,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9269315581768 10.4776480235159, 77.9264661110937 10.4749416746199)"
148,377,,PA,S,A+0,24,380-381,310,1.05,FALSE,244.0585938,,10.47494167,77.92646611,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9264661110937 10.4749416746199, 77.926073083654 10.4722931608557)"
149,378,,PB,T,C+0,22,381-382,302,1.42,FALSE,244.2989502,18°58'15''RT,10.47229316,77.92607308,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.926073083654 10.4722931608557, 77.9248323105275 10.4699164722114)"
150,379 LILO THADIKOMBU,3W,PB,T,DB+0,22,382-383,302,5.78,FALSE,243,1°17'19''LT,10.46991647,77.92483231,Good,Good,LT,,AGRI,LILO THADIKOMBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9248323105275 10.4699164722114, 77.9238647036254 10.4679561126977)"
151,380,,PA,S,A+0,24,383-384,247,3.08,FALSE,248,,10.46795611,77.9238647,Good,NO E/W,"2-22KV,LT",THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9238647036254 10.4679561126977, 77.922674473375 10.4656002949923)"
152,381,,PA,S,A+0,24,384-385,297,3.78,FALSE,239,,10.46560029,77.92267447,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.922674473375 10.4656002949923, 77.921567140147 10.4633340798318)"
153,382,,PB,T,B+0,22,385-386,284,3.98,FALSE,242,4°10'5''LT,10.46333408,77.92156714,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.921567140147 10.4633340798318, 77.9206327255815 10.4610030725598)"
154,383,,PA,S,A+0,24,386-387,283,4.1,FALSE,236,,10.46100307,77.92063273,Good,Good,,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9206327255815 10.4610030725598, 77.9197533801198 10.4587166570127)"
155,384,,PA+3,S,A+3,27,387-388,276,4.32,FALSE,241,,10.45871666,77.91975338,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9197533801198 10.4587166570127, 77.9188178759068 10.4562681354582)"
156,385,,PA,S,A+0,24,388-389,295,4.75,FALSE,240,,10.45626814,77.91881788,Good,Good,"22KV,LT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9188178759068 10.4562681354582, 77.9179846309125 10.4540174268186)"
157,386,,PB,T,C+0,22,389-390,271,4.98,FALSE,239,29°57'15''RT,10.45401743,77.91798463,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9179846309125 10.4540174268186, 77.9183012153953 10.4517652932554)"
158,387,,PA,S,A+0,24,390-391,257,5.47,FALSE,241,,10.45176529,77.91830122,Good,Good,22KV ,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9183012153953 10.4517652932554, 77.9186174646019 10.4494678974151)"
159,388,,PA,S,A+0,24,391-392,262,5.37,FALSE,243,,10.4494679,77.91861746,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9186174646019 10.4494678974151, 77.9191627912223 10.4472768679261)"
160,389,,PA,S,A+0,24,392-393,255,5.89,FALSE,238,,10.44727687,77.91916279,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9191627912223 10.4472768679261, 77.9197431541979 10.4449319466948)"
161,390,,PB,T,D+0,24,393-394,273,7.32,FALSE,238,41°36'40''LT,10.44493195,77.91974315,Good,Good,"22KV,LT",MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9197431541979 10.4449319466948, 77.9184043966233 10.4422883782535)"
162,391,,PA,S,A+0,24,394-395,333,7.01,FALSE,239,,10.44228838,77.9184044,Good,Good,,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9184043966233 10.4422883782535, 77.9177796095609 10.4398822691291)"
163,392,,PA,S,A+0,24,395-396,281,5.95,FALSE,240,,10.43988227,77.91777961,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9177796095609 10.4398822691291, 77.9171026032418 10.4377474822103)"
164,393,,PA+3,S,A+3,27,396-397,253,3.28,FALSE,239,,10.43774748,77.9171026,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9171026032418 10.4377474822103, 77.9162650834769 10.435027135536)"
165,394,,PA,S,A+0,24,397-398,321,3.07,FALSE,242,,10.43502714,77.91626508,Good,Good,LT,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9162650834769 10.435027135536, 77.9154826328158 10.4323423281311)"
166,395,,PB,T,B+0,22,398-399,315,3.32,FALSE,245,5°38'45''LT,10.43234233,77.91548263,Good,Good,LT,,CANEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9154826328158 10.4323423281311, 77.915002265945 10.4297632165253)"
167,396,2W,PC,T,D+0,24,399-400,296,3.92,FALSE,246,43°42'17''RT,10.42976322,77.91500227,Good,Good,LT,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.915002265945 10.4297632165253, 77.9129445087164 10.4282914381474)"
168,397,,PA,S,A+0,24,400-401,283,3.01,FALSE,247,,10.42829144,77.91294451,Good,Good,22KV ,CAR TRACK,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9129445087164 10.4282914381474, 77.9107119888067 10.4266767483204)"
169,398,,PA,S,A+0,24,401-402,308,3.18,FALSE,250,,10.42667675,77.91071199,Good,Good,2-LT,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9107119888067 10.4266767483204, 77.9084889404475 10.4250981006771)"
170,399,,PA,S,A+0,24,402-403,304,3.35,FALSE,252,,10.4250981,77.90848894,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9084889404475 10.4250981006771, 77.9062472004443 10.4234744422137)"
171,400,,PA,S,A+0,24,403-404,309,3.8,FALSE,253,,10.42347444,77.9062472,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9062472004443 10.4234744422137, 77.9039965756237 10.4218688886612)"
172,401,,PB,S,A+0,24,404-405,309,3.78,FALSE,255,,10.42186889,77.90399658,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9039965756237 10.4218688886612, 77.9013204853981 10.4206284508109)"
173,402,,PA+3,S,A+3,27,405-406,328,4.01,FALSE,258,,10.42062845,77.90132049,Good,Good,LT,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9013204853981 10.4206284508109, 77.8985433094203 10.4193166829645)"
174,403,,PC+6,T,D+6,30,406-407,341,4.59,FALSE,259,61°42'28''RT,10.41931668,77.89854331,Good,Good,,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8985433094203 10.4193166829645, 77.8999574203044 10.4182921629399)"
175,404,,PC+6,T,D+6,30,407-408,197,4.25,FALSE,261,85°41'44''LT,10.41829216,77.89995742,Good,Good,RAILWAY CROSSING DIN-PALANY,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8999574203044 10.4182921629399, 77.8977067116647 10.4156837984919)"
176,405,,PA+3,S,A+3,27,408-409,385,3.17,FALSE,258,,10.4156838,77.89770671,Good,Good,22KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8977067116647 10.4156837984919, 77.8974597807973 10.4140311386436)"
177,406,2W,PB+3,T,B+3,25,409-410,190,2.49,FALSE,260.8814697,3°40'13''RT,10.41403114,77.89745978,Good,Good,"2-LT,22KV",DIN-PALANY NH,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8974597807973 10.4140311386436, 77.8969399351626 10.411627292633)"
178,407,,PA,S,A+0,24,410-411,278,1.82,FALSE,262.8040771,,10.41162729,77.89693994,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8969399351626 10.411627292633, 77.8964709676802 10.4093668609857)"
179,408,,PA,S,A+0,24,411-412,261,2.78,FALSE,261.8427734,,10.40936686,77.89647097,Good,Good,2-LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8964709676802 10.4093668609857, 77.8960683848708 10.40751228109)"
180,409,,PA,S,A+0,24,412-413,215,4.54,FALSE,260.8814697,,10.40751228,77.89606838,Good,Good,22KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8960683848708 10.40751228109, 77.8957115672528 10.4057939909398)"
181,410,,PA,S,A+0,24,413-414,200,4.75,FALSE,263.5251465,,10.40579399,77.89571157,Good,Good,,CAR TRACK,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8957115672528 10.4057939909398, 77.8952248301357 10.4036050569266)"
182,411,,PC,T,C+0,22,414-415,254,5.89,FALSE,265.4477539,30°54'59''RT,10.40360506,77.89522483,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8952248301357 10.4036050569266, 77.8935065399855 10.4018018580973)"
183,412,,PA,S,A+0,24,415-416,279,2.42,FALSE,262.8040771,,10.40180186,77.89350654,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8935065399855 10.4018018580973, 77.8916750941425 10.3998642135411)"
184,413,,PA,S,A+0,24,416-417,299,2.87,FALSE,266.4089355,,10.39986421,77.89167509,Good,Good,22KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8916750941425 10.3998642135411, 77.889752453193 10.3978674765676)"
185,414,,PA,S,A+0,24,417-418,310,4.04,FALSE,263.0444336,,10.39786748,77.88975245,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.889752453193 10.3978674765676, 77.8878421336412 10.3958500362932)"
186,415,2W,PB,T,C+0,22,418-419,311,3.35,FALSE,266.649292,27°15'47''LT,10.39585004,77.88784213,Good,Good,,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8878421336412 10.3958500362932, 77.8870492056012 10.3930918872356)"
187,416,,PA,S,A+0,22,419-420,323,2.63,FALSE,264.967041,,10.39309189,77.88704921,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8870492056012 10.3930918872356, 77.8864234965294 10.3907291963696)"
188,417,,PA,S,A+0,24,420-421,276,3.54,FALSE,269.7736816,,10.3907292,77.8864235,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8864234965294 10.3907291963696, 77.8857614099979 10.3882758133113)"
189,418,,PA,S,A+0,24,421-422,287,4.12,FALSE,262.5637207,,10.38827581,77.88576141,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8857614099979 10.3882758133113, 77.8850093018263 10.3855590708553)"
190,419,,PA,S,A+0,24,422-423,318,3.58,FALSE,269.2930908,,10.38555907,77.8850093,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8850093018263 10.3855590708553, 77.8842944093048 10.3828845731914)"
