SL.NO,TOWER NO,TOWER S / T,DEVIATION OF  ANGLE ,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
38,38,T,"13°44'34""LT",HCR+3,24.94,T37-T38,269.6784183652942,40.25,14,8.47153329031212,78.0345918238163,AVAILABLE,11KV LINE,ROAD,PLAIN LAND,"DC Line,11 KV LINE,ROAD CROSSING,GOOD,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0345918238163 8.47153329031212, 78.0348281934857 8.47394348230442)"
39,39,T,"21°40'13""RT",HCR+3,24.94,T38-T39,268.0774253327538,40.050000000000004,16,8.47394348230442,78.0348281934857,AVAILABLE,LT LINE,ROAD,PLAIN LAND,"DC Line,LT LINE,ROAD CROSSING,GOOD, PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0348281934857 8.47394348230442, 78.0359815433621 8.47617326122453)"
40,40,T,"49°36'23""RT",KCR,24,T39-T40,277.64472196675143,44.07,14,8.47617326122453,78.0359815433621,AVAILABLE,,,PLAIN LAND,"DC Line,GOOD, PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0359815433621 8.47617326122453, 78.0383331701159 8.47672009230172)"
41,41,T,"35°40'37""RT",KCR,24,T40-T41,266.15405823318423,36.02,11,8.47672009230172,78.0383331701159,AVAILABLE,LT LINE,,PLAIN LAND,"DC Line,LT LINE,GOOD, PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0383331701159 8.47672009230172, 78.0403548851609 8.47588508856104)"
42,42,T,"18°2'44""LT",HCR,21.94,T41-T42,241.2305217214087,41.31,11,8.47588508856104,78.0403548851609,AVAILABLE,,,PLAIN LAND,"DC Line,GOOD, PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0403548851609 8.47588508856104, 78.0427665263414 8.4756967316286)"
43,43,T,"8°24'4""RT",HCR+3,24.94,T42-T43,266.6091474443334,37.01,11,8.4756967316286,78.0427665263414,AVAILABLE,,ROAD,PLAIN LAND,"DC Line ,ROAD CROSSING,GOOD, PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0427665263414 8.4756967316286, 78.0452559515833 8.47512967058828)"
44,44,T,"4°53'53""LT",HCR,21.94,T43-T44,281.45407533381984,40.21,23,8.47512967058828,78.0452559515833,AVAILABLE,LT LINE - 2NOS,,PLAIN LAND,"DC LINE,  LTLINE 2NOS,ROAD,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0452559515833 8.47512967058828, 78.0482224747538 8.47471515175487)"
45,45,T,"29°35'27""LT",KCR,24,T44-T45,330.1518215987944,35.89,19,8.47471515175487,78.0482224747538,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0482224747538 8.47471515175487, 78.0497560277581 8.47531968587214)"
46,46,T,"46°57'11""RT",KCR,24,T45-T46,181.78222095960743,35.9,20,8.47531968587214,78.0497560277581,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0497560277581 8.47531968587214, 78.05195205410678 8.474259324654986)"
47,47,T,"2°13'51""LT",HCR,21.94,T46-T47,267.8206537965273,35.870000000000005,18,8.474259324654986,78.05195205410678,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05195205410678 8.474259324654986, 78.0540817603468 8.4733784083771)"
48,48,T,"66°43'23""RT",KCR,24,T47-T48,255.22016829594304,35.86,19,8.4733784083771,78.0540817603468,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0540817603468 8.4733784083771, 78.0540881305933 8.47103586300714)"
49,49,T,"2°18'58""RT",HCR,21.94,T48-T49,259.31608061395286,35.870000000000005,15,8.47103586300714,78.0540881305933,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0540881305933 8.47103586300714, 78.054000288248 8.46871817490482)"
50,50,T,"72°41'42""LT",KCR,24,T49-T50,256.74635959445186,35.88,18,8.46871817490482,78.054000288248,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.054000288248 8.46871817490482, 78.0561158806085 8.46797368635229)"
51,51,T,"22°1'46""LT",KCR,24,T50-T51,247.30236939621247,35.89,16,8.46797368635229,78.0561158806085,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0561158806085 8.46797368635229, 78.0583333969116 8.46807250941455)"
52,52,T,"32°32'22""RT",KCR+3,27,T51-T52,244.6438953785714,35.9,14,8.46807250941455,78.0583333969116,AVAILABLE,"LT LINE, 11KV LINE",ROAD,PLAIN LAND,"DC LINE,PLAIN LAND,LT LINE, 11KV LINE, ROAD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0583333969116 8.46807250941455, 78.0604335665702 8.46686640205056)"
