,Tower No,Joint Box,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
42,T.NO-41,,DA,S,26,40-41,342.4923357,3.9,172,,9.0322226,77.30482082,GOOD,GOOD,"2nos LT,11KV",TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30482082 9.0322226, 77.30608952 9.03442895)"
43,T.NO-42,,DA,S,26,41-42,281.1921052,7.98,172,,9.03442895,77.30608952,GOOD,GOOD,2nos 11KV,2nos NALA,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30608952 9.03442895, 77.30747729 9.03677012)"
44,T.NO-43,,DA,S,26,42-43,300.6675905,4.52,174,,9.03677012,77.30747729,GOOD,GOOD,11KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30747729 9.03677012, 77.30888355 9.03915635)"
45,T.NO-44,,DA,S,26,43-44,305.996732,3.12,176,,9.03915635,77.30888355,GOOD,GOOD,"LT,11KV",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30888355 9.03915635, 77.31042626 9.04155075)"
46,T.NO-45,,DA,S,26,44-45,314.6108708,4.28,178,,9.04155075,77.31042626,GOOD,GOOD,2nos LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31042626 9.04155075, 77.31094485 9.04302972)"
47,T.NO-01 110KV ACHAMPUTHUR LILO,3W,DC,T,26,45-01,173.2974322,4.11,177,"19°9'30.07""",9.04302972,77.31094485,GOOD,GOOD,,,CULTIVATION,NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31094485 9.04302972, 77.3115681 9.0438121)"
48,T.NO-46,,DB,T,24,Jan-46,110.4219181,4.96,178,"8°25'2.46""",9.0438121,77.3115681,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3115681 9.0438121, 77.31306661 9.04639655)"
49,T.NO-47,,DA,S,26,46-47,330.0575707,2.13,175,,9.04639655,77.31306661,GOOD,GOOD,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31306661 9.04639655, 77.31447273 9.04874659)"
50,T.NO-48,,DA,S,26,47-48,302.5392537,2.56,175,,9.04874659,77.31447273,GOOD,GOOD,2nos LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31447273 9.04874659, 77.31584244 9.05108781)"
51,T.NO-49,,DA,S,26,48-49,299.6681498,3.48,179,,9.05108781,77.31584244,GOOD,GOOD,LT,NALA,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31584244 9.05108781, 77.31723076 9.05349217)"
