SL.NO,TOWER NO,Joint Box,TOWER S/T,DEVIATION OF  ANGLE ,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
83,83,,T,"06°20'11""LT",PB+6,26.85,T82-T83,222.3965053,2.58,55,8.714228745,77.59386163,AVAILABLE,,ROAD,PLAIN LAND,"Sc  line,Road, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59386163101806 8.714228745484776, 77.59366281718411 8.715032071542119)"
84,84,,T,"54°58'59""LT",PC+6,27.65,T83-T84,91.55697681,2.37,55,8.715032072,77.59366282,AVAILABLE,,RAILWAY CROSSING,PLAIN LAND,"Sc  line,Railway crossing, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59366281718411 8.715032071542119, 77.5922962279644 8.71555904308206)"
85,85,,T,"05°39'47""LT",PB,20.85,T84-T85,161.3789689,2.76,55,8.715559043,77.59229623,AVAILABLE,,,PLAIN LAND,"Sc  line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5922962279644 8.71555904308206, 77.59159818134266 8.715751932699693)"
86,86,3W,T(T OFF),"12°22'33""LT",KCR,20.85,T85-T86,79.77011674,2.53,55,8.715751933,77.59159818,AVAILABLE,,,PLAIN LAND,"Sc  line,T OFF Spur line Palayapettai  lilo, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59159818134266 8.715751932699693, 77.59048238284689 8.715812940025454)"
87,87,,T,"30°48'46""RT",PC,21.65,T86-T87,123.0448221,2.35,55,8.71581294,77.59048238,AVAILABLE,,,PLAIN LAND,"Sc  line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59048238284689 8.715812940025454, 77.58937295424286 8.716556298008433)"
88,88,,T,"46°21'51""RT",PC,24.65,T87-T88,147.274091,2.57,55,8.716556298,77.58937295,AVAILABLE,11KV LINE,ROAD,PLAIN LAND,"Sc  line, 11kv line,Road, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58937295424286 8.716556298008433, 77.5891546893611 8.717829557275136)"
89,89,,T,"55°28'39""RT",PC,21.65,T88-T89,142.9418278,2.84,55,8.717829557,77.58915469,AVAILABLE,11KV LINE,,PLAIN LAND,"Sc  line, 11kv line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5891546893611 8.717829557275136, 77.58971125009876 8.718368073512229)"
90,90,,T,"37°56'31""RT",PC,21.65,T89-T90,18,2.68,55,8.718368074,77.58971125, NOT AVAILABLE,,,PLAIN LAND,"Sc  line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58971125009876 8.718368073512229, 77.59003311041077 8.718403190497138)"
MELAKALLUR,,2W,,,,,T90-Gantry (Melakllur),35.6520216,,,8.71840319,77.59003311,AVAILABLE,11KV LINE,ROAD,PLAIN LAND,"pay, road, 11kv line, plain land, melakallur ss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
