,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
63,62,,S,,A,22,T61-T62,299.0388042,above 200,87,8.922859701,77.61863183,GOOD,AVAILABLE,,ROAD,AGRI LAND,"SC Line,road.agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6186318323016 8.9228597014423, 77.615858092904 8.92343403410466)"
64,63,,S,,A,25,T62-T63,311.7974969,above 200,88,8.923434034,77.61585809,GOOD,AVAILABLE,"110KV LINE, 33KV LINE,",,AGRI LAND,"SC Line,33kv line,110kv below the line.agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.615858092904 8.92343403410466, 77.6131681725382 8.92401631508522)"
65,64,,S,,A,22,T63-T64,302.9567043,above 200,90,8.924016315,77.61316817,GOOD,AVAILABLE,,,AGRI LAND,"SC Line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6131681725382 8.92401631508522, 77.6104748994112 8.92457905332967)"
66,65,,S,,A,22,T64-T65,302.8649638,above 200,90,8.924579053,77.6104749,GOOD,AVAILABLE,,,AGRI LAND,"SC Line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6104748994112 8.92457905332967, 77.6077366992831 8.92516232613258)"
67,66,,S,,A,22,T65-T66,308.1715662,above 200,91,8.925162326,77.6077367,GOOD,AVAILABLE,,CART TRACK,PLAIN LAND,"SC Line,cart track,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6077366992831 8.92516232613258, 77.6050719246268 8.92570121505416)"
68,67,,S,,A+3,25,T66-T67,299.2559962,above 200,91,8.925701215,77.60507192,GOOD,AVAILABLE,"11KV LINE, LT LINE",ROAD,PLAIN LAND,"SC Line,11kv line,lt line,road.plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6050719246268 8.92570121505416, 77.6023256778716 8.92628316120088)"
69,68,,S,,A,22,T67-T68,309.0050743,above 200,98,8.926283161,77.60232568,GOOD,AVAILABLE,,,PLAIN LAND,"SC Line,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6023256778716 8.92628316120088, 77.5994530320167 8.92687570529905)"
70,69,,S,,A,25,T68-T69,322.8565811,above 200,97,8.926875705,77.59945303,GOOD,AVAILABLE,11kv line,"ROAD, CART TRACK",PLAIN LAND,"SC Line,11kv line,road.cart track,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5994530320167 8.92687570529905, 77.5966883450746 8.92746791722021)"
71,70,,S,,A,25,T69-T70,311.2250247,above 200,100,8.927467917,77.59668835,GOOD,AVAILABLE,11kv line, CART TRACK,AGRI LAND,"SC Line,11kv line,cart track,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5966883450746 8.92746791722021, 77.5944885984063 8.92789915818195)"
72,71,,S,,A,25,T70-T71,246.7337424,above 200,101,8.927899158,77.5944886,GOOD,AVAILABLE,11kv line, CART TRACK,AGRI LAND,"SC Line,11kv line,cart track,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5944885984063 8.92789915818195, 77.5924484431743 8.92830920095835)"
73,72,2W,T,,E,22,T71-T72,229.0517859,above 200,100,8.928309201,77.59244844,GOOD,AVAILABLE,,,AGRI LAND,"SC Line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5924484431743 8.92830920095835, 77.5905910134315 8.92874242820511)"
74,73,,T,,E,22,T72-T73,209.9507592,above 200,101,8.928742428,77.59059101,GOOD,AVAILABLE,,,AGRI LAND,"SC Line,fencing,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5905910134315 8.92874242820511, 77.5883738324046 8.92919055951747)"
75,74,,T,"20°49'3""RT",C,22,T73-T74,248.9801383,above 200,103,8.92919056,77.58837383,GOOD,AVAILABLE,,,AGRI LAND,"SC Line,fencing,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5883738324046 8.92919055951747, 77.5856993347406 8.93036404489026)"
76,75,,S,,A,25,T74-T75,321.6946266,above 200,104,8.930364045,77.58569933,GOOD,AVAILABLE,LT LINE,"CART TRACK, ROAD",AGRI LAND,"SC Line,lt line,road,cart track,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5856993347406 8.93036404489026, 77.5830057263374 8.93151434173271)"
77,76,,S,,A,22,T75-T76,322.5969281,above 200,105,8.931514342,77.58300573,GOOD,AVAILABLE,,CART TRACK,PLAIN LAND,"SC Line,cart track,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5830057263374 8.93151434173271, 77.5803620740771 8.93270371769199)"
78,77,,S,,A,25,T76-T77,319.3089232,above 200,106,8.932703718,77.58036207,GOOD,AVAILABLE,LT LINE,CART TRACK,AGRI LAND,"SC Line,lt line,cart track,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5803620740771 8.93270371769199, 77.5776517018675 8.93386824912353)"
79,78,,S,,A,22,T77-T78,324.9106856,above 200,108,8.933868249,77.5776517,GOOD,AVAILABLE,,ROAD,PLAIN LAND,"SC Line,fencing.road.plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5776517018675 8.93386824912353, 77.5749775394797 8.93501820370049)"
