S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
41,42,,T,DC,26,41-42,284.8659267,1.82,FALSE,345.311584,"47°30'36""R",10.00952778,77.391,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.391 10.009527777777778, 77.38961111111112 10.008055555555556)"
42,43,,T,DC,26,42-43,221.1721884,1.25,FALSE,341.18692,"31°9'0""L",10.00805556,77.38961111,GOOD,Available,11KV,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38961111111112 10.008055555555556, 77.387 10.007333333333333)"
43,44,,S,DA,26,43-44,298.5456303,3.18,FALSE,341.898499,,10.00733333,77.387,GOOD,Available,2 - LT,Kottakudi River & Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.387 10.007333333333333, 77.38575 10.006972222222222)"
44,45,,T,DC+6,32,44-45,145,5.12,FALSE,344.518829,"50°56'24""R",10.00697222,77.38575,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38575 10.006972222222222, 77.38541666666667 10.00613888888889)"
45,46,,T,DC+6,32,45-46,98.26792679,4.08,FALSE,343.586182,"54°46'12""L",10.00613889,77.38541667,GOOD,Available,,Kottakudi River,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38541666666667 10.00613888888889, 77.38366666666667 10.005777777777778)"
46,47,,T,DC,26,46-47,195.2514943,3.08,FALSE,343.899536,"42°18'36""L",10.00577778,77.38366667,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38366666666667 10.005777777777778, 77.38208333333333 10.006694444444445)"
47,48,,S,DA,25,47-48,201.5980269,0.28,FALSE,344.425873,,10.00669444,77.38208333,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38208333333333 10.006694444444445, 77.38058333333332 10.007555555555555)"
48,49,,T,DB,25,48-49,188.8295945,3.07,FALSE,342.379211,"4°35'24""L",10.00755556,77.38058333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38058333333332 10.007555555555555, 77.38041666666666 10.007666666666667)"
49,Gantry ( Bodi SS),2W,Gantry,H-POLE,12,49-Gantry,32,,,343.091064,,10.00766667,77.38041667,GOOD,NO E/W,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note :,1.  Shut down will be required in where earth wires are missing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For M/s. SPTL;,,,,,,,,,,,,,,,,,For TANTRANSCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
