S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
50,6,,S,DC,26,07-Jun,280,1.19,144.516159,,9.00321099,77.54425501,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5442550145089 9.00321098975837, 77.5422700121998 9.00194599293172)"
51,5,,T,DC,26,06-May,259.4051293,0.33,141.748138,"15°54'39"" R",9.001945993,77.54227001,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5422700121998 9.00194599293172, 77.5404219701886 9.00139303877949)"
52,4,,S,DC,26,05-Apr,215,1.06,140.101959,,9.001393039,77.54042197,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5404219701886 9.00139303877949, 77.5386500358581 9.00084997527301)"
53,3,,S,DC,26,04-Mar,204.0008484,2.23,139.129333,,9.000849975,77.53865004,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5386500358581 9.00084997527301, 77.5367920193821 9.00028696283698)"
54,2,,T,DC,26,03-Feb,213.7027354,1.2,136.007599,"21°4'39"" R",9.000286963,77.53679202,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5367920193821 9.00028696283698, 77.5355789903551 9.0003739669919)"
55,1,,T,DC,26,02-Jan,133.8039585,3.93,135.883408,"23°7'13"" L",9.000373967,77.53557899,GOOD,Available,"HT -2NO,LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5355789903551 9.0003739669919, 77.5351319834589 9.00022099725902)"
56, 1/1,,T,DC,26,01-01-2001,55,2.67,135.075348,"5°28'56"" L",9.000220997,77.53513198,GOOD,Available,HT,,PLAIN,Common Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5351319834589 9.00022099725902, 77.5352449715137 9.00024999864399)"
57,Gantry (Uthumalai SS),2W,Gantry,DP,12,1/1-Gantry ,18,,135.943924,,9.000249999,77.53524497,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
