SL.NO,TOWER NO,TOWER S / T,DEVIATION OF  ANGLE ,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA  (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
77,74,S,,GCR+3,23.62,T73-T74,293,ABOVE 200,56,8.804497719501796,77.62882691027123,AVAILABLE,,,HILLS AREA,DC LINE:  hills area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62882691027123 8.804497719501796, 77.62647159116868 8.803893440040316)"
78,75,S,,GCR,23.62,T74-T75,267.7753090709158,ABOVE 200,55,8.803893440040316,77.62647159116868,AVAILABLE,,,HILLS AREA,DC LINE:  hills area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62647159116868 8.803893440040316, 77.6237920669351 8.803148688452048)"
79,76,T,"4°2'37.8""RT",HCR,21.94,T75-T76,323,ABOVE 200,54,8.803148688452048,77.6237920669351,AVAILABLE,,,HILLS AREA,DC LINE: hills area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6237920669351 8.803148688452048, 77.62208148989501 8.802926742393025)"
80,77,S,,GCR,23.62,T76-T77,210,ABOVE 200,53,8.802926742393025,77.62208148989501,AVAILABLE,11KV LINE,,PLAIN LAND,"DC LINE: Road, 11kv line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62208148989501 8.802926742393025, 77.61961687065222 8.802670688309119)"
81,78,S,,GCR,23.62,T77-T78,275,ABOVE 200,52,8.802670688309119,77.61961687065222,AVAILABLE,230KV LINE,,PLAIN LAND,"DC LINE: 230 line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61961687065222 8.802670688309119, 77.61721093561466 8.802173421712167)"
82,79,T,"1°34'13.6""LT",HCR,21.94,T78 - T79,270,ABOVE 200,51,8.802173421712167,77.61721093561466,AVAILABLE,400KV LINE,,PLAIN LAND,"DC LINE: 400kv line multi, palin land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61721093561466 8.802173421712167, 77.61487640538273 8.802668150446328)"
83,80,T,"22°48'3.8""RT",HCR,21.94,T79 - T80,270,ABOVE 200,50,8.802668150446328,77.61487640538273,AVAILABLE,,,PLAIN LAND,DC LINE: Plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61487640538273 8.802668150446328, 77.6124553789092 8.803171158909556)"
84,81,S,,GCR,23.62,T80 - T81,277,ABOVE 200,49,8.803171158909556,77.6124553789092,AVAILABLE,,,PLAIN LAND,DC LINE: Plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6124553789092 8.803171158909556, 77.61009570655541 8.803699018388734)"
85,82,S,,GCR,23.62,T81 - T82,272,ABOVE 200,51,8.803699018388734,77.61009570655541,AVAILABLE,,,PLAIN LAND,DC LINE: Plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61009570655541 8.803699018388734, 77.60758448005296 8.804098322320645)"
86,83,S,,GCR,23.62,T82 - T83,272,ABOVE 200,53,8.804098322320645,77.60758448005296,AVAILABLE,,,PLAIN LAND,DC LINE: Plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60758448005296 8.804098322320645, 77.60538239262308 8.804473765849254)"
87,84,S,,GCR,23.62,T83 - T84,272,ABOVE 200,54,8.804473765849254,77.60538239262308,AVAILABLE,LT LINE,,PLAIN LAND,"DC LINE: Plain land, lt line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60538239262308 8.804473765849254, 77.60335161960673 8.802660475923759)"
88,85,T,"52°31'40.4""LT",KCR,24,T84 - T85,272,ABOVE 200,56,8.802660475923759,77.60335161960673,AVAILABLE,LT LINE,,PLAIN LAND,"DC LINE: Plain land, lt line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60335161960673 8.802660475923759, 77.60130039996447 8.800886266163072)"
89,86,S,,GCR,23.62,T85 - T86,304,ABOVE 200,57,8.800886266163072,77.60130039996447,AVAILABLE,,,PLAIN LAND,DC LINE: Plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60130039996447 8.800886266163072, 77.59935044056576 8.799088520972326)"
90,87,S,,GCR,23.62,T86 - T87,302,ABOVE 200,53,8.799088520972326,77.59935044056576,AVAILABLE,,,PLAIN LAND,DC LINE: Plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59935044056576 8.799088520972326, 77.5975433022169 8.797582663122814)"
91,88,T ,"24°52'23.0""RT",HCR+3,24.94,T87- T88,303,ABOVE 200,52,8.797582663122814,77.5975433022169,AVAILABLE,"11KV LINE,LT LINE","ROAD,CART TRACK",PLAIN LAND," DC line , 11 kv line , Lt line, Road ,  cart track",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5975433022169 8.797582663122814, 77.59491138263408 8.796731203602626)"
92,89,T,"5°8'47.9""RT",HCR+6,23.62,T88- T89,276,ABOVE 200,51,8.796731203602626,77.59491138263408,AVAILABLE,"11KV LINE,LT LINE",,AGRI LAND,"Dc line ,11 kv line,  Lt line , Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59491138263408 8.796731203602626, 77.59303886422653 8.796248169207555)"
93,90,S,,GCR+3,23.62,T89 - T90,306,ABOVE 200,49,8.796248169207555,77.59303886422653,AVAILABLE,,,AGRI LAND,"Dc line, Agri  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59303886422653 8.796248169207555, 77.59144495949033 8.795774729766448)"
94,91,S,,GCR,23.62,T90 - T91,219,ABOVE 200,48,8.795774729766448,77.59144495949033,AVAILABLE,,,AGRI LAND," Dc line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59144495949033 8.795774729766448, 77.58981752909507 8.795291022607476)"
95,92,T,"0°8'47.9""RT",HCR+3,21.94,T91 - T92,371,ABOVE 200,47,8.795291022607476,77.58981752909507,AVAILABLE,LT LINE,,AGRI LAND,"Dc line,  Lt line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58981752909507 8.795291022607476, 77.58729021692791 8.79454326437479)"
96,93,S,,GCR,23.62,T92 - T93,298,ABOVE 200,46,8.79454326437479,77.58729021692791,AVAILABLE,,POND,WATER LOGGED AREA,"Dc line,  pond, water",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58729021692791 8.79454326437479, 77.58435286571695 8.79366330733533)"
97,94,S,,GCR+3,23.62,T93 - T94,351,ABOVE 200,45,8.79366330733533,77.58435286571695,AVAILABLE,LT LINE,,PLAIN LAND,"Dc line,  Lt line ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58435286571695 8.79366330733533, 77.58218765174634 8.793032827403293)"
98,95,S,,GCR+3,23.62,T94 - T95,261,ABOVE 200,44,8.793032827403293,77.58218765174634,AVAILABLE,,,PLAIN LAND,"Dc line, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58218765174634 8.793032827403293, 77.57965363665383 8.792245963226986)"
99,96,S,,GCR,23.62,T95 - T96,303,ABOVE 200,45,8.792245963226986,77.57965363665383,AVAILABLE,,,PLAIN LAND,Dc Line ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57965363665383 8.792245963226986, 77.57850900740885 8.791767870274928)"
100,97 (LILO),T,"6°1'54.8""LT",KCR,24.94,T96- T97,295,ABOVE 200,46,8.791767870274928,77.57850900740885,AVAILABLE,,ROAD,PLAIN LAND,"Dc line, road , (LILO ON SITHAPARPANALLUR )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57850900740885 8.791767870274928, 77.5770877642438 8.791547564994731)"
101,98,T,"13°55'11.9""RT",HCR,21.94,T97 - T98,158.34720701348394,ABOVE 200,46,8.791547564994731,77.5770877642438,AVAILABLE,,CART TRACK,PLAIN LAND,"Dc line ,  cart track",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5770877642438 8.791547564994731, 77.57722489135935 8.790753345243363)"
102,99,T,"90°53'13.8""LT",KCR,24,T98 - T99,89.1798596601301,ABOVE 200,47,8.790753345243363,77.57722489135935,AVAILABLE,,CART TRACK,PLAIN LAND,"Dc line, cart track",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57722489135935 8.790753345243363, 77.57609300542026 8.788989997580662)"
103,100,T,"46°21'22.2""RT",KCR,24,T99 - T100,238,ABOVE 200,44,8.788989997580662,77.57609300542026,AVAILABLE,,CART TRACK,PLAIN LAND,"Dc line, cart track",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57609300542026 8.788989997580662, 77.57465869625155 8.7872130568562)"
104,101,S,,GCR,23.62,T100 - T101,253,ABOVE 200,44,8.7872130568562,77.57465869625155,AVAILABLE,,,PLAIN LAND,"Dc line, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57465869625155 8.7872130568562, 77.57327332900724 8.785366525167284)"
105,102,S,,GCR,23.62,T101 - T102,258,ABOVE 200,43,8.785366525167284,77.57327332900724,AVAILABLE,,,PLAIN LAND," Dc line , ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57327332900724 8.785366525167284, 77.57173944136544 8.783408651040881)"
106,103,S,,GCR,23.62,T102 - T103,276,ABOVE 200,42,8.783408651040881,77.57173944136544,AVAILABLE,,,PLAIN LAND,"Dc line, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57173944136544 8.783408651040881, 77.57030446341216 8.781605841552015)"
107,104,T,"3°36'35.6""RT",HCR,21.94,T103 - T104,259,ABOVE 200,45,8.781605841552015,77.57030446341216,AVAILABLE,,"ODAI (NALA),CART TRACK",PLAIN LAND,"Dc line, odai( nala), cart track",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57030446341216 8.781605841552015, 77.56860930626046 8.779675452886735)"
108,105,S,,GCR,23.62,T104 - T105,284,ABOVE 200,46,8.779675452886735,77.56860930626046,AVAILABLE,,,WATER LOGGED AREA,"Dc line ,  water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56860930626046 8.779675452886735, 77.5670311595432 8.777832529685579)"
109,106,S,,GCR,23.62,T105 - T106,267,ABOVE 200,44,8.777832529685579,77.5670311595432,AVAILABLE,,,PLAIN LAND,"Dc line, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5670311595432 8.777832529685579, 77.56549861748103 8.776067142431549)"
110,107,S,,GCR,23.62,T106 - T107,267,ABOVE 200,43,8.776067142431549,77.56549861748103,AVAILABLE,,,PLAIN LAND, Dc line ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56549861748103 8.776067142431549, 77.56391174781332 8.774178143394808)"
111,108,T,"7°20'41.6""LT",HCR,21.94,T107 - T108,270,ABOVE 200,42,8.774178143394808,77.56391174781332,AVAILABLE,,,PLAIN LAND," Dc line,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56391174781332 8.774178143394808, 77.56256226112285 8.772036310019132)"
112,109,S,,GCR,26.62,T108 - T109,288,ABOVE 200,41,8.772036310019132,77.56256226112285,AVAILABLE,LT LINE-2NOS,ROAD,PLAIN LAND," Dc line ,  road , 2nos  Lt line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56256226112285 8.772036310019132, 77.56129123149911 8.76990936749392)"
113,110,S,,GCR,23.62,T109 - T110,272,ABOVE 200,40,8.76990936749392,77.56129123149911,AVAILABLE,,,PLAIN LAND,Dc line ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56129123149911 8.76990936749392, 77.56005406855039 8.767824169684271)"
114,111,S,,GCR,23.62,T110 - T111,279,ABOVE 200,42,8.767824169684271,77.56005406855039,AVAILABLE,,,PLAIN LAND,Dc line ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56005406855039 8.767824169684271, 77.55870390510346 8.765607744232206)"
115,112,S,,GCR,26.62,T111 - T112,288,ABOVE 200,41,8.765607744232206,77.55870390510346,AVAILABLE,,ROAD,PLAIN LAND,"Dc line, road ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55870390510346 8.765607744232206, 77.55738358937278 8.76363683716626)"
116,113,T,"2°3'50.3""LT",HCR,21.94,T112 - T113,267,ABOVE 200,40,8.76363683716626,77.55738358937278,AVAILABLE,,,PLAIN LAND, Dc line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H7:H122),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
