S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
41,185,,S,SA,22,184-185,255.257609,1.15,FALSE,175.049026,,9.959472222,78.01916667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01916666666666 9.959472222222221, 78.02086111111112 9.958694444444443)"
42,186,,S,SA,22,185-186,206.10585,0.4,FALSE,175.59639,,9.958694444,78.02086111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02086111111112 9.958694444444443, 78.023 9.957694444444444)"
43,187,2W,T,SC,22,186-187,257.4410928,0.21,FALSE,174.244614,"0°29'28"" R",9.957694444,78.023,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.023 9.957694444444444, 78.02469444444445 9.956888888888889)"
44,188,,S,SA,22,187-188,208.135309,3.61,FALSE,174.601746,,9.956888889,78.02469444,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02469444444445 9.956888888888889, 78.02658333333333 9.956027777777777)"
45,189,,S,SA,22,188-189,228.7924653,1.03,FALSE,174.493271,,9.956027778,78.02658333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02658333333333 9.956027777777777, 78.02844444444445 9.955166666666665)"
46,190,,S,SA,22,189-190,223.1909685,1.34,FALSE,169.981445,,9.955166667,78.02844444,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02844444444445 9.955166666666665, 78.03033333333333 9.95436111111111)"
47,191,,S,SA,22,190-191,227.7416267,2.19,FALSE,166.412048,,9.954361111,78.03033333,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03033333333333 9.95436111111111, 78.03247222222222 9.953333333333333)"
48,192,,S,SA,22,191-192,259.8186772,1.2,FALSE,164.530029,,9.953333333,78.03247222,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03247222222222 9.953333333333333, 78.03416666666666 9.952527777777776)"
49,193,,S,SA,22,192-193,206.027787,1.71,FALSE,168.558029,,9.952527778,78.03416667,GOOD,Available,,Village Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03416666666666 9.952527777777776, 78.03561111111111 9.951833333333333)"
50,194,,T,SC,22,193-194,177.5744335,0.42,FALSE,165.976913,,9.951833333,78.03561111,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03561111111111 9.951833333333333, 78.03797222222222 9.95075)"
51,195,,T,SC,22,194-195,283.8975408,0.3,FALSE,168.857071,"5°11'37"" L",9.95075,78.03797222,GOOD,Available,11 KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03797222222222 9.95075, 78.03977777777777 9.950083333333332)"
52,196,,S,SA,22,195-196,213.7420586,2.95,FALSE,168.637833,,9.950083333,78.03977778,GOOD,Available,230 KV,,PLAIN,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03977777777777 9.950083333333332, 78.04172222222222 9.949361111111111)"
53,197,,S,SA,22,196-197,226.991957,2.13,FALSE,171.95697,,9.949361111,78.04172222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04172222222222 9.949361111111111, 78.04319444444444 9.948805555555555)"
54,198,,T,SC,22,197-198,172.8181198,1.29,FALSE,171.693054,"14°56'25"" L",9.948805556,78.04319444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04319444444444 9.948805555555555, 78.045 9.948638888888889)"
55,199,,T,SC,22,198-199,198.6436082,1.05,0,164.54837,"5°58'53"" R",9.948638889,78.045,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.045 9.948638888888889, 78.04724999999999 9.948194444444445)"
56,200,,T,SC,22,199-200,250.9530445,1.42,FALSE,163.186035,"22°12'46"" R",9.948194444,78.04725,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04724999999999 9.948194444444445, 78.04802777777778 9.947694444444444)"
57,201,,T,DC,26,200-201,104.8140249,2.31,0,167.641907,"34°1'14"" R",9.947694444,78.04802778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total length of Chekkanurani Jurisdiction,,,,,,,,12163.92238,,Meter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,202,,S,DA,22,201-202,204.3519972,3.37,FALSE,162.518051,,9.949388889,78.04733333,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04733333333333 9.949388888888889, 78.0465 9.951333333333332)"
59,203,,T,DC,22,202-203,233.0736284,Not taken,FALSE,159.935455,"32°7'28"" L",9.951333333,78.0465,GOOD,Available,,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0465 9.951333333333332, 78.04697222222222 9.954416666666665)"
60,204,2W,S,DA,22,203-204,345.4084442,3.57,FALSE,160.752792,,9.954416667,78.04697222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04697222222222 9.954416666666665, 78.04705555555556 9.955555555555556)"
61,205,,S,DA,22,204-205,128.5610926,Not taken,FALSE,163.484558,,9.955555556,78.04705556,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04705555555556 9.955555555555556, 78.04736111111112 9.957888888888888)"
62,206,,S,DA,22,205-206,260.159034,3.82,FALSE,161.928848,,9.957888889,78.04736111,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04736111111112 9.957888888888888, 78.04763888888888 9.960138888888888)"
63,207,,T,DC,26,206-207,249.8907584,1.7,FALSE,160.423904,"25°27'59"" R",9.960138889,78.04763889,GOOD,Available,"230 KV ,HT",NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04763888888888 9.960138888888888, 78.047 9.962194444444444)"
64,208,,T,DC,26,207-208,238.7009957,0.9,FALSE,161.391159,"9°33'24"" R",9.962194444,78.047,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.047 9.962194444444444, 78.04677777777778 9.963944444444444)"
65,209,,T,DC,26,208-209,195.5741019,2.75,FALSE,160.265732,"26°21'17"" L",9.963944444,78.04677778,GOOD,Available,"LT,HT",Main Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04677777777778 9.963944444444444, 78.04730555555555 9.965583333333333)"
66,210,,T,DC,26,209-210,189.3480092,1.95,FALSE,160.283585,"11°17'7"" L",9.965583333,78.04730556,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04730555555555 9.965583333333333, 78.0475 9.967222222222222)"
67,211,,T,DC,26,210-211,183.1348739,1.98,FALSE,161.567627,"37°44'5"" R",9.967222222,78.0475,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0475 9.967222222222222, 78.04608333333333 9.969666666666667)"
68,212,,T,DC,26,211-212,312.9303755,1.07,FALSE,163.751434,"34°25'35"" L",9.969666667,78.04608333,GOOD,Available,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04608333333333 9.969666666666667, 78.04619444444444 9.971333333333334)"
69,213,,T,DC,26,212-213,184.8828506,5.38,FALSE,165.275803,"16°28'15"" R",9.971333333,78.04619444,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04619444444444 9.971333333333334, 78.04613888888889 9.971694444444445)"
70,213M,,T,DC,26,213-M,41.1325878,1.09,FALSE,154.613037,"31°21'46"" L",9.971694444,78.04613889,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04613888888889 9.971694444444445, 78.04669444444444 9.973361111111112)"
71,214,,T,DC,26,M-214,193.727084,1.57,FALSE,158,"4°20'29"" L",9.973361111,78.04669444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04669444444444 9.973361111111112, 78.04675 9.973555555555556)"
72,215,,T,DC,26,214-215,22.79899411,1.35,FALSE,154,"90°3'13"" R",9.973555556,78.04675,GOOD,Available,110 KV,SS INSIDE,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04675 9.973555555555556, 78.04522222222222 9.973944444444445)"
73,216,,T,DC,26,215-216,174.1847563,0.88,FALSE,158,"90°34'16"" L",9.973944444,78.04522222,GOOD,Available,,SAMAYANALLUR SS,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04522222222222 9.973944444444445, 78.04530555555556 9.974305555555556)"
74,217,,T,DC,26,216-217,39.28826575,0.69,FALSE,159,"69°5'46"" R",9.974305556,78.04530556,GOOD,Available,"HT,LT",ROAD SS,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04530555555556 9.974305555555556, 78.04613888888889 9.973722222222221)"
75,218,,T,DC,26,217-218,111.0144773,0.76,FALSE,157,"56°53'4"" L",9.973722222,78.04613889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04613888888889 9.973722222222221, 78.0466111111111 9.973916666666668)"
76,219,,T,DC,26,218-219,55.71398224,2.93,FALSE,154,"27°22'51"" R",9.973916667,78.04661111,GOOD,Available,"HT,LT",ROAD SS,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0466111111111 9.973916666666668, 78.04636111111111 9.973944444444445)"
77,Gantry (Samayanallur SS),,Gantry,H-POLE,22,219-Gantry,27.15722681,,,149,,9.973944444,78.04636111,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1.Shut down will be requried in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
