SL.NO,TOWER NO,Joint Box,TOWER    T/ S,DEVIATION OF  ANGLE   ,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA                          (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
105,105,,S,,GC,23.62,T104-T105,245.5811582,33.95,61,8.315775613,77.66898863,AVAILABLE,LT LINE,,AGRI LAND,"Dc Line,Agri land, lt Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66898862657774 8.31577561324001, 77.67130538768576 8.316134847617155)"
106,106,,S,,GC,23.62,T105-T106,258.4551335,31.73,61,8.316134848,77.67130539,AVAILABLE,,,PLAIN LAND," Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67130538768576 8.316134847617155, 77.67365534061702 8.316425404976078)"
107,107,,S,,GC,23.62,T106-T107,261.0261338,36.84,60,8.316425405,77.67365534,AVAILABLE,,,PLAIN LAND," Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67365534061702 8.316425404976078, 77.67587151513904 8.316686436440982)"
108,108,,S,,GC,23.62,T107-T108,245.9937502,39.7,60,8.316686436,77.67587152,AVAILABLE,LT LINE,CART TRACK,PLAIN LAND,"  Dc Line,cart track , lt Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67587151513904 8.316686436440982, 77.67797168750435 8.316978653753303)"
109,109,,T,"05°23'24""RT",HC,21.94,T108-T109,233.7528488,47.84,58,8.316978654,77.67797169,AVAILABLE,,,PLAIN LAND," Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67797168750435 8.316978653753303, 77.68024821113968 8.317274851669765)"
110,110,2W,T,"17°50'03""LT",HC,21.94,T109-T110,253.0765257,35.93,57,8.317274852,77.68024821,AVAILABLE,LT LINE,,AGRI LAND,"  Dc Line,lt Line,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68024821113968 8.317274851669765, 77.68260855531695 8.317354411533435)"
111,111,,S,,GC,23.62,T110-T111,260.332832,38.72,55,8.317354412,77.68260856,AVAILABLE,,,PLAIN LAND," Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68260855531695 8.317354411533435, 77.68467519156229 8.317957812277566)"
112,112,,S,,GC,23.62,T111-T112,237.3960293,30.67,55,8.317957812,77.68467519,AVAILABLE,,,AGRI LAND," Dc Line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68467519156229 8.317957812277566, 77.68657151532335 8.318541645917463)"
113,113,,S,,GC,23.62,T112-T113,218.7946312,31.59,54,8.318541646,77.68657152,AVAILABLE,,,AGRI LAND,"Dc Line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68657151532335 8.318541645917463, 77.68881216989425 8.319384562329363)"
114,114,,S,,GC,23.62,T113-T114,264.0229462,37.73,53,8.319384562,77.68881217,AVAILABLE,,,PLAIN LAND,"Dc line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68881216989425 8.319384562329363, 77.69070547443705 8.320104407888453)"
