S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
89,86,S,DA+0,24,T85-T86,310,3.17,"=IF(H94>15,0)",245.612745098039,,10.124583333333334,77.64980555555556,Good,Good,Lt,Mutroad,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64980555555556 10.124583333333334, 77.65247222222223 10.125666666666667)"
90,87,S,DA+0,24,T86-T87,322,3.28,"=IF(H95>15,0)",246.026960784314,,10.125666666666667,77.65247222222223,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65247222222223 10.125666666666667, 77.65519444444445 10.126750000000001)"
91,88,S,DA+0,24,T87-T88,324,2.98,"=IF(H96>15,0)",246.441176470588,,10.126750000000001,77.65519444444445,Good,Good,Lt,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65519444444445 10.126750000000001, 77.65786111111112 10.127833333333333)"
92,89,S,DA+0,24,T88-T89,320,3.14,"=IF(H97>15,0)",246.855392156863,,10.127833333333333,77.65786111111112,Good,Good,Lt,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65786111111112 10.127833333333333, 77.66038888888889 10.128833333333334)"
93,90,S,DA+0,24,T89-T90,303,3.24,"=IF(H98>15,0)",247.269607843137,,10.128833333333334,77.66038888888889,Good,Good,,Fnc,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66038888888889 10.128833333333334, 77.66283333333334 10.129833333333334)"
94,91,S,DA+0,24,T90-T91,293,3.27,"=IF(H99>15,0)",247.683823529412,,10.129833333333334,77.66283333333334,Good,Good,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66283333333334 10.129833333333334, 77.66497222222223 10.130638888888889)"
95,92,T,DB+0,22,T91-T92,254,3.32,"=IF(H100>15,0)",248.098039215686,"06°04'38"" RT",10.130638888888889,77.66497222222223,Good,Good,Lt,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66497222222223 10.130638888888889, 77.66702777777778 10.131472222222223)"
96,93,S,DA+0,24,T92-T93,247,3.22,"=IF(H101>15,0)",248.512254901961,,10.131472222222223,77.66702777777778,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66702777777778 10.131472222222223, 77.66938888888889 10.132444444444445)"
97,94,S,DA+0,24,T93-T94,389,2.98,"=IF(H102>15,0)",248.926470588235,,10.132444444444445,77.66938888888889,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66938888888889 10.132444444444445, 77.67194444444445 10.133194444444445)"
98,95,S,DA+0,24,T94-T95,298,3.35,"=IF(H103>15,0)",249.34068627451,,10.133194444444445,77.67194444444445,Good,Good,Lt,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67194444444445 10.133194444444445, 77.67472222222223 10.134055555555555)"
99,96,S,DA+0,24,T95-T96,324,3.31,"=IF(H104>15,0)",249.754901960784,,10.134055555555555,77.67472222222223,Good,Good,22Kv,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67472222222223 10.134055555555555, 77.67750000000001 10.134833333333333)"
100,97,S,DA+0,24,T96-T97,321,3.23,"=IF(H105>15,0)",250.169117647059,,10.134833333333333,77.67750000000001,Good,Good,"22KV,Lt",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67750000000001 10.134833333333333, 77.68036111111111 10.135638888888888)"
101,98,S,DA+0,24,T97-T98,329,3.71,"=IF(H106>15,0)",250.583333333333,,10.135638888888888,77.68036111111111,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68036111111111 10.135638888888888, 77.68266666666668 10.136333333333333)"
102,99,S,DA+0,24,T98-T99,268,3.42,"=IF(H107>15,0)",250.997549019608,,10.136333333333333,77.68266666666668,Good,Good,"Lt,22Kv","Saravana Mill,Coumpund Wall",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68266666666668 10.136333333333333, 77.68488888888889 10.137027777777778)"
103,100,S,DA+0,24,T99-T100,260,3.13,"=IF(H108>15,0)",251.411764705882,,10.137027777777778,77.68488888888889,Good,Good,"Lt,22Kv",Nala,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68488888888889 10.137027777777778, 77.68597222222223 10.137244444444445)"
104,1 LILO ELUVANAMPATTY,T,DB+0,22,T100-1 LILO,129,3.8,"=IF(H109>15,0)",279,"03°00'32"" RT",10.137244444444445,77.68597222222223,NO E/W,GOOD,,,,LILO ELEVANAMPATTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68597222222223 10.137244444444445, 77.68769444444445 10.13786111111111)"
105,101,S,DA+0,24,T100-T101,209,2.97,"=IF(H110>15,0)",251.825980392157,,10.13786111111111,77.68769444444445,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68769444444445 10.13786111111111, 77.69036111111112 10.138638888888888)"
106,102,S,DA+0,24,T101-T102,309,3.28,"=IF(H111>15,0)",252.240196078431,,10.138638888888888,77.69036111111112,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69036111111112 10.138638888888888, 77.69283333333334 10.139388888888888)"
107,103,S,DA+0,24,T102-T103,289,3.44,"=IF(H112>15,0)",252.654411764706,,10.139388888888888,77.69283333333334,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69283333333334 10.139388888888888, 77.69530555555556 10.14011111111111)"
108,104,S,DA+0,24,T103-T104,287,3.32,"=IF(H113>15,0)",253.06862745098,,10.14011111111111,77.69530555555556,Good,Good,Lt,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69530555555556 10.14011111111111, 77.69772222222223 10.140805555555556)"
109,105,S,DA+0,24,T104-T105,279,3.17,"=IF(H114>15,0)",253.482843137255,,10.140805555555556,77.69772222222223,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69772222222223 10.140805555555556, 77.70041666666667 10.14161111111111)"
110,106,S,DA+0,24,T105-T106,313,3.27,"=IF(H115>15,0)",253.897058823529,,10.14161111111111,77.70041666666667,Good,Good,"33Kv,11Kv ",Nala,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70041666666667 10.14161111111111, 77.70330555555556 10.142472222222223)"
111,107,S,DA+0,24,T106-T107,336,3.32,"=IF(H116>15,0)",254.311274509804,,10.142472222222223,77.70330555555556,Good,Good,33Kv,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70330555555556 10.142472222222223, 77.70591666666667 10.143277777777778)"
112,108,S,DA+0,24,T107-T108,303,3.22,"=IF(H117>15,0)",254.725490196078,,10.143277777777778,77.70591666666667,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70591666666667 10.143277777777778, 77.70816666666667 10.143916666666666)"
113,109,S,DA+0,24,T108-T109,262,2.98,"=IF(H118>15,0)",255.139705882353,,10.143916666666666,77.70816666666667,Good,Good,"110Kv,11Kv",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70816666666667 10.143916666666666, 77.71102777777779 10.144777777777778)"
114,110,S,DA+0,24,T109-T110,332,3.35,"=IF(H119>15,0)",255.553921568627,,10.144777777777778,77.71102777777779,Good,Good,11Kv,Nala,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71102777777779 10.144777777777778, 77.71372222222223 10.145583333333333)"
115,111,S,DA+0,24,T110-T111,312,3.31,"=IF(H120>15,0)",255.968137254902,,10.145583333333333,77.71372222222223,Good,Good,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71372222222223 10.145583333333333, 77.7165 10.146416666666665)"
116,112,S,DA+0,24,T111-T112,321,3.23,"=IF(H121>15,0)",256.382352941177,,10.146416666666665,77.7165,Good,Good,11Kv ,Nala,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7165 10.146416666666665, 77.71908333333333 10.147194444444445)"
117,113,S,DA+0,24,T112-T113,301,3.71,"=IF(H122>15,0)",256.796568627451,,10.147194444444445,77.71908333333333,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71908333333333 10.147194444444445, 77.72152777777778 10.14786111111111)"
118,114,S,DA+0,24,T113-T114,284,3.42,"=IF(H123>15,0)",257.210784313726,,10.14786111111111,77.72152777777778,Good,Good,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72152777777778 10.14786111111111, 77.72383333333333 10.148555555555555)"
119,115,S,DA+0,24,T114-T115,266,3.13,"=IF(H124>15,0)",257.625,,10.148555555555555,77.72383333333333,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72383333333333 10.148555555555555, 77.72605555555556 10.149222222222221)"
120,116,T,DD+0,24,T115-T116,260,2.97,"=IF(H125>15,0)",258.039215686275,"31°02'26"" LT",10.149222222222221,77.72605555555556,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72605555555556 10.149222222222221, 77.72780555555556 10.15113888888889)"
121,117,S,DA+0,24,T116-T117,289,3.28,"=IF(H126>15,0)",258.453431372549,,10.15113888888889,77.72780555555556,Good,Good,,"Road,Nala",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72780555555556 10.15113888888889, 77.72977777777778 10.15313888888889)"
122,118,S,DA+0,24,T117-T118,314,3.44,"=IF(H127>15,0)",258.867647058824,,10.15313888888889,77.72977777777778,Good,Good,11Kv,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72977777777778 10.15313888888889, 77.73172222222222 10.155277777777778)"
123,119,S,DA+0,24,T118-T119,322,3.32,"=IF(H128>15,0)",259.281862745098,,10.155277777777778,77.73172222222222,Good,Good,11Kv,"Bund,Road",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73172222222222 10.155277777777778, 77.73380555555556 10.157444444444446)"
124,120,S,DA+0,24,T119-T120,336,3.17,"=IF(H129>15,0)",259.696078431373,,10.157444444444446,77.73380555555556,Good,Good,33Kv,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73380555555556 10.157444444444446, 77.73552777777778 10.159277777777778)"
125,121,S,DA+0,24,T120-T121,284,3.27,"=IF(H130>15,0)",260.110294117647,,10.159277777777778,77.73552777777778,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73552777777778 10.159277777777778, 77.73725 10.161083333333334)"
126,122 LILO BATLAKUNDA,T,DB+0,22,T121-T122,277,3.32,"=IF(H131>15,0)",260.524509803922,"02°07'32"" RT",10.161083333333334,77.73725,Good,Good,22Kv,Compundwall,Plain,LILO TO BATLAKUNDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73725 10.161083333333334, 77.73905555555555 10.163027777777778)"
127,123,T,DC+0,22,T122-T123,297,3.22,"=IF(H132>15,0)",260.938725490196,"22°09'25"" RT",10.163027777777778,77.73905555555555,NO E/W,Good,"Lt,22Kv",NH Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73905555555555 10.163027777777778, 77.74080555555555 10.163833333333333)"
128,124,S,DA+0,24,T123-T124,215,2.98,"=IF(H133>15,0)",261.352941176471,,10.163833333333333,77.74080555555555,Good,Good,,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74080555555555 10.163833333333333, 77.74258333333333 10.16463888888889)"
129,125,S,DA+3,27,T124-T125,218,3.35,"=IF(H134>15,0)",261.767156862745,,10.16463888888889,77.74258333333333,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74258333333333 10.16463888888889, 77.7448611111111 10.165694444444444)"
130,126,S,DA+3,27,T125-T126,280,3.31,"=IF(H135>15,0)",262.18137254902,,10.165694444444444,77.7448611111111,Good,Good,"Lt,22Kv",River,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7448611111111 10.165694444444444, 77.74711111111111 10.166666666666666)"
131,127,T,DC+0,22,T126-T127,273,3.23,"=IF(H136>15,0)",262.595588235294,"25°01'21"" LT",10.166666666666666,77.74711111111111,Good,Good,"Lt,22Kv","Road,Canal",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74711111111111 10.166666666666666, 77.75019444444445 10.167277777777777)"
132,128,T,DB+0,22,T127-T128,348,3.71,"=IF(H137>15,0)",263.009803921569,"12°51'22"" RT",10.167277777777777,77.75019444444445,Good,Good,"Lt,22Kv",Kamarajapuram,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75019444444445 10.167277777777777, 77.75233333333334 10.168833333333334)"
133,129,S,DA+0,24,T128-T129,296,3.42,"=IF(H138>15,0)",263.424019607843,,10.168833333333334,77.75233333333334,Good,Good,Lt,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75233333333334 10.168833333333334, 77.75469444444444 10.170527777777778)"
134,130,S,DA+0,24,T129-T130,323,3.13,"=IF(H139>15,0)",263.838235294118,,10.170527777777778,77.75469444444444,Good,Good,"Lt,22Kv",Gandinagar,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75469444444444 10.170527777777778, 77.75680555555556 10.171972222222221)"
135,131,S,DA+0,24,T130-T131,285,2.97,"=IF(H140>15,0)",264.252450980392,,10.171972222222221,77.75680555555556,Good,Good,Lt,"Mutroad,Palt",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75680555555556 10.171972222222221, 77.75883333333333 10.173416666666666)"
136,132,S,DA+0,24,T131-T132,277,3.28,"=IF(H141>15,0)",264.666666666667,,10.173416666666666,77.75883333333333,Good,Good,"Lt,22Kv","Road,Palt",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75883333333333 10.173416666666666, 77.76133333333334 10.175194444444443)"
137,133,S,DA+0,24,T132-T133,340,3.44,"=IF(H142>15,0)",265.080882352941,,10.175194444444443,77.76133333333334,Good,Good,,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76133333333334 10.175194444444443, 77.76363888888889 10.17686111111111)"
138,134,S,DA+0,24,T133-T134,319,3.32,"=IF(H143>15,0)",265.495098039216,,10.17686111111111,77.76363888888889,Good,Good,Lt,"Road,Nala",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76363888888889 10.17686111111111, 77.76605555555555 10.178555555555555)"
139,135,S,DA+0,24,T134-T135,328,3.17,"=IF(H144>15,0)",265.90931372549,,10.178555555555555,77.76605555555555,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76605555555555 10.178555555555555, 77.76841666666667 10.180222222222222)"
140,136,S,DA+0,24,T135-T136,322,2.5,"=IF(H145>15,0)",266.323529411765,,10.180222222222222,77.76841666666667,Good,Good,,Mutroad,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76841666666667 10.180222222222222, 77.76905 10.180663888888889)"
141,1 LILO AYYAMPALAYAM,T,DB+0,22,T136-1 LILO,99,1.24,"=IF(H146>15,0)",264,"01°00'31"" RT",10.180663888888889,77.76905,NO E/W,GOOD,,,,LILO AYYAMPALAYAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76905 10.180663888888889, 77.77058333333333 10.18175)"
142,137,S,DA+0,24,1 LILO-T137,214,2.98,"=IF(H147>15,0)",266.737745098039,,10.18175,77.77058333333333,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77058333333333 10.18175, 77.77316666666667 10.183583333333333)"
143,138,S,DA+0,24,T137-T138,351,2.68,"=IF(H148>15,0)",267.151960784314,,10.183583333333333,77.77316666666667,Good,Good,11Kv,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77316666666667 10.183583333333333, 77.77511111111112 10.184944444444445)"
144,139,T,DC+0,22,T138-T139,265,3.9,"=IF(H149>15,0)",267.566176470588,"19°35'09"" RT",10.184944444444445,77.77511111111112,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77511111111112 10.184944444444445, 77.77674999999999 10.18538888888889)"
145,140,S,DA+0,24,T139-T140,190,3.4,"=IF(H150>15,0)",267.980392156863,,10.18538888888889,77.77674999999999,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77674999999999 10.18538888888889, 77.77922222222222 10.185972222222222)"
146,141,S,DA+0,24,T140-T141,284,3.1,"=IF(H151>15,0)",268.394607843137,,10.185972222222222,77.77922222222222,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77922222222222 10.185972222222222, 77.78191666666666 10.186694444444445)"
147,142,S,DA+0,24,T141-T142,311,2.98,"=IF(H152>15,0)",268.808823529412,,10.186694444444445,77.78191666666666,Good,Good,,"400kv line Crossing,our Line passing below",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78191666666666 10.186694444444445, 77.78416666666666 10.18725)"
148,143,S,DA+0,24,T142-T143,258,3.5,"=IF(H153>15,0)",269.223039215686,,10.18725,77.78416666666666,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78416666666666 10.18725, 77.78661111111111 10.187888888888889)"
149,144,S,DA+0,24,T143-T144,281,3.65,"=IF(H154>15,0)",269.637254901961,,10.187888888888889,77.78661111111111,Good,Good,,"400kv line Crossing, our Line passing below",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78661111111111 10.187888888888889, 77.78933333333333 10.188583333333334)"
150,145,S,DA+3,27,T144-T145,311,3.45,"=IF(H155>15,0)",270.051470588235,,10.188583333333334,77.78933333333333,Good,Good,LT 33KV,"765kv line Crossing, our Line passing below ",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78933333333333 10.188583333333334, 77.79194444444444 10.18925)"
151,146,S,DA+3,27,T145-T146,301,3.25,"=IF(H156>15,0)",270.46568627451,,10.18925,77.79194444444444,Good,Good,LT,NH Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79194444444444 10.18925, 77.79380555555555 10.189722222222223)"
152,147,S,DA+0,24,T146-T147,213,3.78,"=IF(H157>15,0)",270.879901960784,,10.189722222222223,77.79380555555555,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79380555555555 10.189722222222223, 77.79638888888888 10.19036111111111)"
153,148,S,DA+0,24,T147-T148,297,3.48,"=IF(H158>15,0)",271.294117647059,,10.19036111111111,77.79638888888888,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79638888888888 10.19036111111111, 77.79810555555555 10.190675)"
154,1 LILO NILAKOTAI,T,DB+0,22,T148-1LILO,209,3.31,"=IF(H159>15,0)",256,"03°20'45"" RT",10.190675,77.79810555555555,NO E/W,GOOD,,,,LILO NILAKOTAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79810555555555 10.190675, 77.79861111111111 10.191)"
155,149,T,DD+0,24,T1 LILO-T149,74,3.65,"=IF(H160>15,0)",271.708333333333,"48°33'08"" LT",10.191,77.79861111111111,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79861111111111 10.191, 77.79986111111111 10.193555555555555)"
156,150,S,DA+0,24,T149-T150,319,2.95,"=IF(H161>15,0)",272.122549019608,,10.193555555555555,77.79986111111111,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79986111111111 10.193555555555555, 77.80105555555555 10.196)"
157,151,S,DA+0,24,T150-T151,304,3.1,"=IF(H162>15,0)",272.536764705882,,10.196,77.80105555555555,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80105555555555 10.196, 77.80225 10.198583333333334)"
158,152,S,DA+0,24,T151-T152,320,2.98,"=IF(H163>15,0)",272.950980392157,,10.198583333333334,77.80225,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80225 10.198583333333334, 77.80355555555555 10.20122222222222)"
159,153,S,DA+0,24,T152-T153,328,3.35,"=IF(H164>15,0)",273.365196078431,,10.20122222222222,77.80355555555555,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80355555555555 10.20122222222222, 77.80475 10.20375)"
160,154,S,DA+0,24,T153-T154,313,3.31,"=IF(H165>15,0)",273.779411764706,,10.20375,77.80475,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80475 10.20375, 77.806 10.206416666666666)"
161,155,S,DA+0,24,T154-T155,330,3.23,"=IF(H166>15,0)",274.19362745098,,10.206416666666666,77.806,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.806 10.206416666666666, 77.80722222222222 10.208916666666665)"
162,156,S,DA+0,24,T155-T156,311,3.71,"=IF(H167>15,0)",274.607843137255,,10.208916666666665,77.80722222222222,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80722222222222 10.208916666666665, 77.80838888888889 10.21125)"
163,157,S,DA+0,24,T156-T157,294,3.42,"=IF(H168>15,0)",275.022058823529,,10.21125,77.80838888888889,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80838888888889 10.21125, 77.80966666666666 10.213888888888889)"
164,158,S,DA+0,24,T157-T158,327,3.13,"=IF(H169>15,0)",275.436274509804,,10.213888888888889,77.80966666666666,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80966666666666 10.213888888888889, 77.81086111111111 10.2165)"
165,159,S,DA+0,24,T158-T159,321,2.97,"=IF(H170>15,0)",275.850490196078,,10.2165,77.81086111111111,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81086111111111 10.2165, 77.81205555555556 10.218916666666667)"
166,160,S,DA+0,24,T159-T160,302,3.28,"=IF(H171>15,0)",276.264705882353,,10.218916666666667,77.81205555555556,Good,Good,11KV Line,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81205555555556 10.218916666666667, 77.81311111111111 10.221194444444444)"
167,161,S,DA+0,24,T160-T161,281,3.44,"=IF(H172>15,0)",276.678921568627,,10.221194444444444,77.81311111111111,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81311111111111 10.221194444444444, 77.81433333333334 10.223694444444444)"
168,162,S,DA+0,24,T161-T162,312,3.32,"=IF(H173>15,0)",277.093137254902,,10.223694444444444,77.81433333333334,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81433333333334 10.223694444444444, 77.81552777777777 10.226111111111111)"
169,163,S,DA+0,24,T162-T163,303,3.17,"=IF(H174>15,0)",277.507352941177,,10.226111111111111,77.81552777777777,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81552777777777 10.226111111111111, 77.81669444444444 10.228527777777778)"
170,164,S,DA+0,24,T163-T164,298,2.5,"=IF(H175>15,0)",277.921568627451,,10.228527777777778,77.81669444444444,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81669444444444 10.228527777777778, 77.81780555555555 10.230972222222222)"
171,165,S,DA+0,24,T164-T165,303,2.98,"=IF(H176>15,0)",278.335784313726,,10.230972222222222,77.81780555555555,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81780555555555 10.230972222222222, 77.819 10.233416666666665)"
172,166,S,DA+0,24,T165-T166,303,2.68,"=IF(H177>15,0)",278.75,,10.233416666666665,77.819,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.819 10.233416666666665, 77.82008333333333 10.235722222222222)"
173,167,T,DB+0,22,T166-T167,287,3.9,"=IF(H178>15,0)",279.164215686275,"08°00'32"" RT",10.235722222222222,77.82008333333333,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82008333333333 10.235722222222222, 77.82152777777777 10.237916666666665)"
174,168,S,DA+0,24,T167-T168,292,3.4,"=IF(H179>15,0)",279.578431372549,,10.237916666666665,77.82152777777777,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82152777777777 10.237916666666665, 77.82302777777777 10.240222222222222)"
175,169,S,DA+0,24,T168-T169,309,3.1,"=IF(H180>15,0)",279.992647058824,,10.240222222222222,77.82302777777777,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82302777777777 10.240222222222222, 77.82441666666666 10.24236111111111)"
176,170,S,DA+0,24,T169-T170,285,2.98,"=IF(H181>15,0)",280.406862745098,,10.24236111111111,77.82441666666666,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82441666666666 10.24236111111111, 77.82580555555555 10.244444444444444)"
177,171,S,DA+0,24,T170-T171,281,3.5,"=IF(H182>15,0)",280.821078431373,,10.244444444444444,77.82580555555555,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82580555555555 10.244444444444444, 77.82694444444444 10.246305555555555)"
