SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DEVIATION OF ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER NO,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
82,81,,T,"55°51'50""RT",PC+3,24.65,T80-T81,255.3076822,2.31,21,8.115240898,77.52126362,GOOD,AVAILABLE,,"ROAD, POND",Water logged,Scline.Road.water logged area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52126362 8.115240898, 77.5220988 8.112815548)"
83,82,,T,"68°35'10""LT",PC+3,24.65,T81-T82,283.744966,2.4,17,8.112815548,77.5220988,GOOD,AVAILABLE,11KV LINE,,AGRI LAND,"SC LINE,11kv line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5220988 8.112815548, 77.5243884 8.112716925)"
84,83,,T,"24°00'47""RT",PB,21.65,T82-T83,252.7195787,2.73,16,8.112716925,77.5243884,GOOD,AVAILABLE,"LT LINE, 1KV LINE",ROAD,AGRI LAND,"SCline,11kv line, Lt line,Road, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5243884 8.112716925, 77.52671756 8.111597306)"
85,84,,S,,PA,20.9,T83-T84,285.164965,1.86,15,8.111597306,77.52671756,GOOD,AVAILABLE,,,AGRI LAND,SC. line.agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52671756 8.111597306, 77.52869434 8.110578601)"
86,85,,T,"10°32'03""LT",PB,20.85,T84-T85,245.4106392,2.31,16,8.110578601,77.52869434,GOOD,AVAILABLE,,,AGRI LAND,"SC. Line, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52869434 8.110578601, 77.53046226 8.110078025)"
87,86,2W,S,,PA,20.9,T85-T86,202.6731687,1.76,17,8.110078025,77.53046226,GOOD,AVAILABLE,,,PLAIN LAND,"SC.line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53046226 8.110078025, 77.53282126 8.109402849)"
88,87,3W,T,"57°28'54""RT",KC,24,T86-T87,270.6553129,2.93,26,8.109402849,77.53282126,GOOD,AVAILABLE,,CART TRACK,PLAIN LAND,"dc line,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53282126 8.109402849, 77.53315453 8.108286252)"
89,88,2W,T,"18°35'42""RT",HC+3,24.94,T87-T88,128.9105997,2.63,27,8.108286252,77.53315453,GOOD,AVAILABLE,LT LINE,ROAD,PLAIN LAND,"dc line.Road,Lt Line, plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53315453 8.108286252, 77.53307976 8.106184841)"
90,89,,T,"74°35'15""LT",KC+3,27,T88-T89,232.6862072,2.56,28,8.106184841,77.53307976,GOOD,AVAILABLE,11KV LINE,,PLAIN LAND,"dc linel,11kv line,Fencing-2Nos,.plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53307976 8.106184841, 77.53433168 8.105792808)"
91,90,,T,"13°47'43""LT",HC,21.94,T89-T90,144.7127415,2.31,27,8.105792808,77.53433168,GOOD,AVAILABLE,LT LINE,CART TRACK,PLAIN LAND,"dc line.cart track,lt line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53433168 8.105792808, 77.53612876 8.105678588)"
92,91,,T,"05°55'45""LT",HC+3,24.94,T90-T91,198.578381,2.57,28,8.105678588,77.53612876,GOOD,AVAILABLE,"LT LINE-2, 11KV LINE",ROAD-2NOS,PLAIN LAND,"dc line, lt line-2nos,11kv line,Road-2Nos, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53612876 8.105678588, 77.5366139 8.105697834)"
93,GANTRY,2W,,,,,T91-Gantry (Kanyakumari),53.54277188,,28,8.105697834,77.5366139,GOOD,NOT AVAILABLE,,,,T91-KANYAKUMARI GANTRY Earth wire Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
