S.NO,TOWER NO,TOWER S/T,DEVIATION OF  ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTANCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
=1+A51,215,T,"1°48'19.7""RT",MA,21.95,T214 - T215,198.98650035872578,0.07,130,9.25645670917515,77.5628331676125,AVAILABLE,"LT LINE, 11KV LINE",,AGRI LAND,"DC line,WELL,LT LINE,11 KV LINE,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5628331676125 9.25645670917515, 77.5638617947697 9.25551659191599)"
=1+A52,216,T,"3°41'36.8""LT",MA,21.95,T215 - T216,153.66798722566213,2.96,130,9.25551659191599,77.5638617947697,AVAILABLE,,"RAILWAY TRACK, ROAD",AGRI LAND,"DC line,RAILWAY TRACK  CROSSING,ROAD, FENCING,KOLI PANNAI,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5638617947697 9.25551659191599, 77.5650741532445 9.25454404276432)"
=1+A53,217,T (LILO ),"27°39'29.1""RT",KCR+9,33,T216 - T217,171.3207274441617,2.07,129,9.25454404276432,77.5650741532445,AVAILABLE,,,AGRI LAND,"DC line,agri land, (LILO ON KALINGAPATTI )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5650741532445 9.25454404276432, 77.5662979111075 9.25176370878169)"
=1+A54,218,S,,LA,24.2,T217 - T218,335.82395497794755,3.3,129,9.25176370878169,77.5662979111075,AVAILABLE,LT LINE,,AGRI LAND,"DC line,Lt line,Good,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5662979111075 9.25176370878169, 77.5675260275602 9.24897342530337)"
=1+A55,219,S,,LA,24.2,T218 - T219,337.0246014432353,6.79,128,9.24897342530337,77.5675260275602,AVAILABLE,,NALA,AGRI LAND,"DC line,nala crossing,good,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5675260275602 9.24897342530337, 77.5687410682439 9.2462122406477)"
=1+A56,220,S,,LA,24.2,T219 - T220,333.49908565091886,4.23,128,9.2462122406477,77.5687410682439,AVAILABLE,LT LINE,"ROAD, CART TRACK",AGRI LAND,"DC line, pump house,LT line,Road,Cart track,Good,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5687410682439 9.2462122406477, 77.5699101760983 9.24358538882965)"
=1+A57,221,S,,LA,24.2,T220 - T221,317.8574715466571,3.78,128,9.24358538882965,77.5699101760983,AVAILABLE,,NALA,AGRI LAND,"DC line,Nala,Good,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5699101760983 9.24358538882965, 77.5710631906986 9.2408923324413)"
=1+A58,222,S,,LA,24.2,T221 - T222,323.87701660502296,1.76,128,9.2408923324413,77.5710631906986,AVAILABLE,LT LINE,,AGRI LAND,"DC line,LT line, Good,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5710631906986 9.2408923324413, 77.572272196412 9.23820455029697)"
=1+A59,223,S,,LA,24.2,T222 - T223,325.8029009477827,4.34,127,9.23820455029697,77.572272196412,AVAILABLE,,"NALA, CART TRACK",PLAIN LAND,"DC line, nala,cart tark,good,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.572272196412 9.23820455029697, 77.5733712315559 9.23556009946317)"
=1+A60,224,S,,LA,24.2,T223 - T224,316.62246057091915,3.14,127,9.23556009946317,77.5733712315559,AVAILABLE,,,AGRI LAND,"DC line, Good,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5733712315559 9.23556009946317, 77.5745540857315 9.232926218619)"
=1+A61,225,S,,LA,24.2,T224 - T225,319.1844293446057,2.33,130,9.232926218619,77.5745540857315,AVAILABLE,,,AGRI LAND,"DC line,Good,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5745540857315 9.232926218619, 77.5757168233394 9.23026981452311)"
=1+A62,226,S,,LA,24.2,T225 - T226,320.5755509533196,1.05,127,9.23026981452311,77.5757168233394,AVAILABLE,,,AGRI LAND,"DC line,Good,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5757168233394 9.23026981452311, 77.5768641382455 9.22763787977602)"
=1+A63,227,S,,LA,24.2,T226 - T227,317.4165265340628,2.77,127,9.22763787977602,77.5768641382455,AVAILABLE,,,AGRI LAND,"DC line,Good,Agri lad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5768641382455 9.22763787977602, 77.5780295580625 9.22497448610521)"
=1+A64,228,S,,LA,24.2,T227 - T228,321.4035957017218,3.89,127,9.22497448610521,77.5780295580625,AVAILABLE,,NALA,AGRI LAND,"DC line,nala,Good,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5780295580625 9.22497448610521, 77.5791953131556 9.2223160364612)"
=1+A65,229,S,,LA,24.2,T228 - T229,320.9160988935244,4.12,124,9.2223160364612,77.5791953131556,AVAILABLE,LT LINE,CART TRACK,AGRI LAND,"DC line,cart trark,LT line,Good,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5791953131556 9.2223160364612, 77.5803654268384 9.21961752246497)"
=1+A66,230,S,,LA,24.2,T229 - T230,325.1768352941983,1.77,126,9.21961752246497,77.5803654268384,AVAILABLE,,NALA,AGRI LAND,"DC line,nala,Good,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5803654268384 9.21961752246497, 77.5814792141318 9.21711656336985)"
=1+A67,231,S,,LA,24.2,T230 - T231,302.66214215195697,8.83,126,9.21711656336985,77.5814792141318,AVAILABLE,,ROAD,AGRI LAND,"DC line,road,Good,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5814792141318 9.21711656336985, 77.5826355814933 9.21446169499084)"
=1+A68,232,S,,LA,24.2,T231 - T232,320.1442739219464,2.34,126,9.21446169499084,77.5826355814933,AVAILABLE,11KV LINE,NALA-2NOS,AGRI LAND,"DC line,2nos nala, 11kv line,Good,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5826355814933 9.21446169499084, 77.5831106677651 9.21317694598435)"
=1+A69,232A,T (LILO ),"00°00'00""",KCR,24,T232 - T232A,151.47502707045524,2.05,127,9.21317694598435,77.5831106677651,AVAILABLE,,,AGRI LAND,"DC line, Good,Agri land ( LILO ON SANKARANKOVIL )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5831106677651 9.21317694598435, 77.5837919488549 9.21178893523783)"
