S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken, etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain / Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
53,50,,S,A+0,26,49-50,287.5554213,10.13,FALSE,93.645149,,9.746098906,78.454812,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45481200338277 9.746098906247683, 78.4561709613397 9.743649881861133)"
54,51,,S,A+0,26,50-51,309.3802529,8.41,FALSE,91.548515,,9.743649882,78.45617096,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4561709613397 9.743649881861133, 78.45750401921592 9.74122290187777)"
55,52,,T,C+0,28,51-52,305.8748166,0.96,FALSE,92.311279,"38°31'12"" R",9.741222902,78.45750402,GOOD,AVAILABLE,2 LT,VILLAGE ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45750401921592 9.74122290187777, 78.45934099710912 9.740431901767744)"
56,53,2W,T,C+0,28,52-53,219.8549721,2.48,FALSE,95.602058,"60°38'60"" L",9.740431902,78.459341,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45934099710912 9.740431901767744, 78.45961902483658 9.737819933133125)"
57,54,,S,A+0,28,53-54,290.6689183,3.82,FALSE,96.303772,,9.737819933,78.45961902,GOOD,AVAILABLE,LT,VILLAGE ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45961902483658 9.737819933133125, 78.45989504090724 9.735160942021748)"
58,55,,S,A+0,26,54-55,295.8217578,8.19,FALSE,96.775284,,9.735160942,78.45989504,GOOD,AVAILABLE,2 LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45989504090724 9.735160942021748, 78.46016996733053 9.732597923700691)"
59,56,,S,A+0,26,55-56,285.24582,4.82,FALSE,95.42778,,9.732597924,78.46016997,GOOD,AVAILABLE,,VILLAGE ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46016996733053 9.732597923700691, 78.46044598340129 9.729935915104177)"
60,57,,S,A+0,26,56-57,296.1537867,6.17,FALSE,92.916374,,9.729935915,78.46044598,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46044598340129 9.729935915104177, 78.46072803444224 9.72714792650503)"
61,58,,S,A+0,26,57-58,310.0912313,5.34,FALSE,93.128006,,9.727147927,78.46072803,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46072803444224 9.72714792650503, 78.4610089958358 9.724582896527508)"
62,59,,S,A+0,26,58-59,285.5377945,7.26,FALSE,93.938278,,9.724582897,78.461009,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4610089958358 9.724582896527508, 78.46128098859296 9.722046951753606)"
63,60,,S,A+0,26,59-60,282.2320887,1.23,FALSE,93.714455,,9.722046952,78.46128099,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46128098859296 9.722046951753606, 78.4614900332575 9.720115928924711)"
64,60A,,T,DC+0,28,60-60A,214.931214,0.93,FALSE,91.824677,"89°51'0"" R",9.720115929,78.46149003,GOOD,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4614900332575 9.720115928924711, 78.46418800024169 9.720389933463347)"
65,60B,,T,DC+0,28,60A-60B,297.76645,0.71,FALSE,91.124413,"80°5'24"" R",9.720389933,78.464188,GOOD,AVAILABLE,33KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46418800024169 9.720389933463347, 78.46415204187724 9.71988190631413)"
66,60BH - Gantry,2W,T,H-POLE,12,60B-60BH,56.36062218,10.53,FALSE,86.259521,,9.719881906,78.46415204,GOOD,NO E/W,LT,,GANTRY,Mana madurai SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL LENGTH,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: ,1. Shut down will be required in where earth wires are missing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2. Earth wire is not available at T.No  60B - Gantry (Manamadurai SS), due to clearance issue and there is no provision for fixing the OPGW at Gantry tower. So we are proposing ADSS cable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No of Suspension Tower ( A)                    ,,,,,:,40,,,"No of Tension Tower      ( B,C & D)       ",,,,:,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For M/S SPTL;,,,,,,,,,,,,,,,,,For  TAN TRANSCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
