SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVIATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
48,46,,T,"15°97'18""LT",PB,20.85,T45-T46,184.2216792,38.82,37,8.949984174,78.06764234,AVAILABLE,,,PLAIN LAND," sc line, Plain land, 230Kv Line,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06764234 8.949984174, 78.06765608 8.950466392)"
49,47,,Dp,"32°19'96""RT",DP,DP,T46-T47,53.40221353,39.73,37,8.950466392,78.06765608,AVAILABLE,230KV LINE,,PLAIN LAND," sc line, Plain land, 230Kv Line,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06765608 8.950466392, 78.06743313 8.950841634)"
50,48,,Dp,"30°49'33""LT",DP,DP,T47-T48,48.24694176,39.84,37,8.950841634,78.06743313,AVAILABLE,,,PLAIN LAND," sc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06743313 8.950841634, 78.06743246 8.951307291)"
51,49,2W,T,"13°47'06""RT",PB,20.85,T48-T49,51.54810159,40.74,38,8.951307291,78.06743246,NOT AVAILABLE,,,PLAIN LAND," sc line, Plain land,T.NO.48 TO T.NO.49  Earth wire is not Available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06743246 8.951307291, 78.06691915 8.953424601)"
52,50,,S,,PA,20.9,T49-T50,241.0985633,39.81,37,8.953424601,78.06691915,AVAILABLE,,,PLAIN LAND," sc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06691915 8.953424601, 78.06636561 8.955808173)"
53,51,,S,,PA,20.9,T50-T51,270.8034126,39.93,37,8.955808173,78.06636561,AVAILABLE,11KV LINE,,PLAIN LAND," sc line, Plain land, 11Kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06636561 8.955808173, 78.06583788 8.958174177)"
54,52,,S,,PA,20.9,T51-T52,268.2786926,38.72,36,8.958174177,78.06583788,AVAILABLE,,,PLAIN LAND," sc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06583788 8.958174177, 78.06524578 8.960526256)"
55,53,,S,,PA+3,23.9,T52-T53,268.4029519,39.67,37,8.960526256,78.06524578,AVAILABLE,"33KV LINE, 11KV LINE",MUD ROAD,PLAIN LAND," sc line, Plain land, 33KV line,  11Kv line, Mudroad, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06524578 8.960526256, 78.06473114 8.962992247)"
56,54,,S,,PA+3,23.9,T53-T54,278.8029038,38.59,37,8.962992247,78.06473114,AVAILABLE,33KV LINE,ROAD,PLAIN LAND," sc line, Plain land, 33KV line,  road, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06473114 8.962992247, 78.06424197 8.965147905)"
57,55,,T,"13°12'22""RT",PB,20.85,T54-T55,244.6330894,41.76,37,8.965147905,78.06424197,AVAILABLE,,,PLAIN LAND," sc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06424197 8.965147905, 78.0631050467491 8.96758935703686)"
58,56,,S,,PA,20.9,T55-T56,297.824467,38.84,38,8.967589357,78.06310505,AVAILABLE,,,PLAIN LAND," sc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0631050467491 8.96758935703686, 78.0620157346129 8.96993541396378)"
59,57,,S,,PA,20.9,T56-T57,286.052609,38.91,36,8.969935414,78.06201573,AVAILABLE,,,PLAIN LAND," sc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0620157346129 8.96993541396378, 78.0608127638697 8.97232848238378)"
60,58,,S,,PA,20.9,T57-T58,296.1582815,39.75,34,8.972328482,78.06081276,AVAILABLE,,,PLAIN LAND," sc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0608127638697 8.97232848238378, 78.0596470087766 8.97468245679191)"
61,59,,S,,PA,20.9,T58-T59,290.461107,38.47,34,8.974682457,78.05964701,AVAILABLE,33KV LINE,,PLAIN LAND," sc line ,33kv line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0596470087766 8.97468245679191, 78.0584192276001 8.9770354224183)"
62,60,,S,,PA,20.9,T59-T60,293.4408459,40.88,33,8.977035422,78.05841923,AVAILABLE,,,PLAIN LAND," sc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0584192276001 8.9770354224183, 78.0573393031954 8.97945957371403)"
