S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
41,68,T,DC,26,67-68,189.14238298184523,4.49,84.369781,"2°7'45"" R",9.48371800594031,78.0830730032175,GOOD,Available,230 KV,,PLAIN,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0830730032175 9.48371800594031, 78.0848519783467 9.48412695899605)"
42,69,S,DA,26,68-69,200.68818879331116,2.51,85.042213,,9.48412695899605,78.0848519783467,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0848519783467 9.48412695899605, 78.0866850167512 9.48461403138935)"
43,70,S,DA,26,69-70,208.54735110568654,5.37,84.697083,,9.48461403138935,78.0866850167512,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0866850167512 9.48461403138935, 78.089507035911 9.48527100495994)"
44,71,S,DA,26,70-71,318.5602367546521,1.74,86.926147,,9.48527100495994,78.089507035911,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.089507035911 9.48527100495994, 78.0921279732137 9.48597801849246)"
45,72,S,DA,26,71-72,298.4903998092641,3.15,87.848129,,9.48597801849246,78.0921279732137,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0921279732137 9.48597801849246, 78.0948449671268 9.48668201453983)"
46,73,S,DA,26,72-73,308.6044446206758,1.86,87.680183,,9.48668201453983,78.0948449671268,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0948449671268 9.48668201453983, 78.0975529924035 9.4873450230807)"
47,74,T,DC,26,73-74,306.531596521056,3.22,90.2311169999999,"0°6'45"" L",9.4873450230807,78.0975529924035,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0975529924035 9.4873450230807, 78.1002910248935 9.48802102357149)"
48,75,S,DA,26,74-75,310.0771505914391,2.49,90.146866,,9.48802102357149,78.1002910248935,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1002910248935 9.48802102357149, 78.1031169835478 9.4887420348823)"
49,76,S,DA,26,75-76,320.6655576129518,5.58,91.325462,,9.4887420348823,78.1031169835478,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1031169835478 9.4887420348823, 78.1052960269153 9.48930102400481)"
50,77,S,DA,26,76-77,247.34191730972267,4.84,93.2923049999999,,9.48930102400481,78.1052960269153,GOOD,Available,"LT,HT",NH ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1052960269153 9.48930102400481, 78.1086330302059 9.49022403918206)"
51,78,S,DA,26,77-78,380.70209999840716,3.42,94.65815,,9.49022403918206,78.1086330302059,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1086330302059 9.49022403918206, 78.1111160013824 9.49084899388253)"
52,79,S,DA,26,78-79,281.50862312713326,2.71,93.470543,,9.49084899388253,78.1111160013824,GOOD,Available,"LT ,HT",POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1111160013824 9.49084899388253, 78.1139220111072 9.49162901379168)"
53,80,T,DC,26,79-80,320.2363494938905,1.48,95.680588,"43°10'49"" R",9.49162901379168,78.1139220111072,GOOD,Available,"220 KV,  LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1139220111072 9.49162901379168, 78.1144919805228 9.49133397080004)"
54,80A,T,H-POLE,12,80-80A ,70.64205499900162,1.65,96.5308299999999,"15°37'30"" L",9.49133397080004,78.1144919805228,GOOD,Available,"110 KV,230 KV",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1144919805228 9.49133397080004, 78.114954996854 9.49123699218034)"
56,80B,T,H-POLE,12,80A -80B,41.54423699203047,2.54,103.082168999999,"11°45'35"" L",9.49123699218034,78.114954996854,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.114954996854 9.49123699218034, 78.1153330206871 9.49123598635196)"
57,80C,T,SC,22,80B-80C,53.24819425121983,1.13,105.968422,"2°34'59"" R",9.49123598635196,78.1153330206871,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1153330206871 9.49123598635196, 78.1158169917762 9.49121301993727)"
55, LILO : 01,T,DC,26,80C- LILO : 01,52.00471344493253,2.45,97.2548369999999,,9.49121301993727,78.1158169917762,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G62),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
