S.No,Tower No.,Joint box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
77,108,,T,DC,26,107-108,286.4481416,0.45,FALSE,96.502357,"1°44'47"" L",9.859527778,78.38422222,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38422222222223 9.859527777777778, 78.38647222222222 9.858972222222222)"
78,109,,S,DA,26,108-109,255.8494497,1.77,FALSE,100.091942,,9.858972222,78.38647222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38647222222222 9.858972222222222, 78.38869444444445 9.85838888888889)"
79,110,,S,DA,26,109-110,251.8812078,1.55,FALSE,99.269928,,9.858388889,78.38869444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38869444444445 9.85838888888889, 78.3908888888889 9.857805555555554)"
80,111,,S,DA,26,110-111,247.923993,0.6,FALSE,99.717117,,9.857805556,78.39088889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3908888888889 9.857805555555554, 78.39305555555556 9.85725)"
81,112,,T,DC,26,111-112,245.7766642,0.98,FALSE,95.527046,"0°9'18"" R",9.85725,78.39305556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39305555555556 9.85725, 78.39552777777779 9.85661111111111)"
82,113,,S,DA,26,112-113,281.4746372,1,FALSE,97.844536,,9.856611111,78.39552778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39552777777779 9.85661111111111, 78.39772222222223 9.856055555555555)"
83,114,,S,DA,26,113-114,248.4326692,1.08,FALSE,97.604042,,9.856055556,78.39772222,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39772222222223 9.856055555555555, 78.39997222222223 9.855444444444444)"
84,115,,S,DA,26,114-115,254.8718487,1.06,FALSE,98.025841,,9.855444444,78.39997222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39997222222223 9.855444444444444, 78.40222222222222 9.854833333333334)"
85,116,2W,T,DC,26,115-116,257.6612412,1.36,FALSE,101.057549,"0°11'31"" L",9.854833333,78.40222222,GOOD,Available,"HT,LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40222222222222 9.854833333333334, 78.4045 9.854222222222221)"
86,117,,S,DA,26,116-117,259.6013083,1.4,FALSE,95.497017,,9.854222222,78.4045,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4045 9.854222222222221, 78.40680555555556 9.853638888888888)"
87,118,,S,DA,26,117-118,259.3790126,3.03,FALSE,96.233063,,9.853638889,78.40680556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40680555555556 9.853638888888888, 78.40908333333334 9.853027777777777)"
88,119,,S,DA,26,118-119,260.0730356,3.68,FALSE,99.603363,,9.853027778,78.40908333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40908333333334 9.853027777777777, 78.41133333333335 9.852444444444444)"
89,120,,S,DA,26,119-S120,254.0022442,1.82,FALSE,97.571327,,9.852444444,78.41133333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41133333333335 9.852444444444444, 78.4136388888889 9.851861111111111)"
90,121,,T,DC,26,S120-121,260.8448133,2.29,FALSE,98.694557,"0°56'50"" R",9.851861111,78.41363889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4136388888889 9.851861111111111, 78.41600000000001 9.851222222222221)"
