S. No ,Tower No,Joint Box,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
93,T.NO-90,,SA,S,26,89-90,289.2092668,2.32,135,,9.56263294,77.7126406,GOOD,GOOD,NO,,POND,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7126406 9.56263294, 77.71029027 9.56355481)"
94,T.NO-91,,SA,S,26,90-91,277.634652,2.58,134,,9.56355481,77.71029027,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71029027 9.56355481, 77.7078127 9.56450477)"
95,T.NO-92,,SA,S,26,91-92,291.7841668,2.46,138,,9.56450477,77.7078127,GOOD,GOOD,NO,400KV DC LINE CROSSING ABOVE OUR LINE,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7078127 9.56450477, 77.7053802 9.56540015)"
96,T.NO-93,,SC,T,26,92-93,285.0140347,3.2,140,"29°53'18.47""",9.56540015,77.7053802,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7053802 9.56540015, 77.70360367 9.5675192)"
97,T.NO-94,,SA,S,26,93-94,305.1196487,2.9,141,,9.5675192,77.70360367,GOOD,GOOD,NO,LT,MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70360367 9.5675192, 77.70182748 9.56968342)"
98,T.NO-95,,SC,T,26,94-95,308.9546892,3.38,142,"16°58'4.09""",9.56968342,77.70182748,GOOD,GOOD,NO,,LT,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70182748 9.56968342, 77.70094911 9.57026851)"
99,T.NO-96 10KV VALAYAPATTI SS,3W,DD,T,28,95-96,116.211015,4.33,147,"170°1'8.44""",9.57026851,77.70094911,GOOD,GOOD,NO,,,INSIDE SS,NEED 3WAY JUNCTION BOX. TOWER TO GANTRY NO EARTH WIRE.2 FEEDER ON THIS TOWER 1.OUR LINE 2.T KALLUPATTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70094911 9.57026851, 77.70306278 9.56933949)"
101,T.NO-97,,DD,T,28,96-97,253.9488137,4.37,147,"94°48'15.94""",9.56933949,77.70306278,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70306278 9.56933949, 77.70361234 9.57091638)"
102,T.NO-98,,DD,T,28,97-98,184.6780983,3.82,142,"45°12'9.31""",9.57091638,77.70361234,GOOD,GOOD,NO,"11KV,LT",,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70361234 9.57091638, 77.70519316 9.57167205)"
103,T.NO-99,,DB,T,24,98-99,192.7537289,3.43,141,"9°1'24.47""",9.57167205,77.70519316,GOOD,GOOD,NO,2nos LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70519316 9.57167205, 77.70702721 9.57221792)"
104,T.NO-100,,DA,S,26,99-100,210.3449548,4.05,143,,9.57221792,77.70702721,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70702721 9.57221792, 77.70919892 9.57286957)"
105,T.NO-101,,DB,T,24,100-101,249.2388413,3.26,133,"13°54'19.01""",9.57286957,77.70919892,GOOD,GOOD,NO,11KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70919892 9.57286957, 77.70950855 9.57288522)"
106,DP TOWER,,DP,DP,20,101-DP,34.05877273,DP,141,,9.57288522,77.70950855,GOOD,GOOD,YES,,,PLAIN LAND,2 EARTH WIRE ON THIS TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70950855 9.57288522, 77.71000145 9.57305304)"
107,DP TOWER,,DP,DP,20,DP-DP,57.24508713,DP,137,,9.57305304,77.71000145,GOOD,GOOD,NO,400KV DC LINE CROSSING ABOVE OUR LINE,,PLAIN LAND,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71000145 9.57305304, 77.71036684 9.57321282)"
108,T.NO-102,,DB,T,24,DP-102,43.8634244,4.14,140,"7°5'50.80""",9.57321282,77.71036684,GOOD,GOOD,NO,,,PLAIN LAND,2 EARTH WIRE ON THIS TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71036684 9.57321282, 77.71303124 9.57400515)"
109,T.NO-103,,DA,S,24,102-103,305.5552323,3.83,138,,9.57400515,77.71303124,GOOD,GOOD,NO,2nos LT,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71303124 9.57400515, 77.71559516 9.57475307)"
110,T.NO-104,,DA,S,26,103-104,293.5745221,2.92,134,,9.57475307,77.71559516,GOOD,GOOD,NO,,,PLAIN LAND,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71559516 9.57475307, 77.71732007 9.57530878)"
111,T.NO-105,,DA,S,26,104-105,199.2234926,4.08,133,,9.57530878,77.71732007,GOOD,GOOD,NO,,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71732007 9.57530878, 77.71930036 9.57592571)"
112,T.NO-106,,DA,S,26,105-106,228.0109646,3.86,135,,9.57592571,77.71930036,GOOD,GOOD,NO,LT,MUDROAD,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71930036 9.57592571, 77.72167243 9.57658473)"
113,T.NO-107,,DA,S,26,106-107,270.6011826,4.28,131,,9.57658473,77.72167243,GOOD,GOOD,NO,LT,NALA,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72167243 9.57658473, 77.72383499 9.57722731)"
114,T.NO-108,,DA,S,26,107-108,247.9879029,3.16,131,,9.57722731,77.72383499,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72383499 9.57722731, 77.72595219 9.5778883)"
115,T.NO-109,,DA,S,26,108-109,243.8216561,4.47,129,,9.5778883,77.72595219,GOOD,GOOD,NO,,,WATER LOGGED,"HEAVY BUSHES,INSIDE THE POND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72595219 9.5778883, 77.72806882 9.578477)"
116,T.NO-110,2W,DD,T,28,109-110,241.4808481,HEAVY BUSHES,130,"33°8'43.74""",9.578477,77.72806882,GOOD,GOOD,NO,,,WATER LOGGED,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72806882 9.578477, 77.72961214 9.58022668)"
117,T.NO-111,,DA,S,26,110-111,257.3888109,4.61,128,,9.58022668,77.72961214,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72961214 9.58022668, 77.73114766 9.58213905)"
118,T.NO-112,,DA,S,26,111-112,270.662151,3.74,126,,9.58213905,77.73114766,GOOD,GOOD,NO,,NALA,CULTIVATION,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73114766 9.58213905, 77.73266428 9.5839612)"
119,T.NO-113,,DA,S,26,112-113,261.5989297,3.22,130,,9.5839612,77.73266428,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73266428 9.5839612, 77.73414465 9.5858017)"
120,T.NO-114,,DA,S,26,113-114,260.6645354,3.78,128,,9.5858017,77.73414465,GOOD,GOOD,NO,,MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73414465 9.5858017, 77.73560676 9.58763329)"
121,T.NO-115,,DA,S,26,114-115,258.6445437,3.43,128,,9.58763329,77.73560676,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73560676 9.58763329, 77.73702243 9.58934779)"
122,T.NO-116,,DB,T,24,115-116,245.3507693,3.76,127,"0°53'7.56""",9.58934779,77.73702243,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73702243 9.58934779, 77.73846615 9.5911524)"
123,T.NO-117,,DA,S,26,116-117,255.0490149,3.46,125,,9.5911524,77.73846615,GOOD,GOOD,NO,,"NALA,MUDROAD",PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73846615 9.5911524, 77.73992838 9.592993)"
124,T.NO-118,,DA,S,26,117-118,259.4339993,3.63,127,,9.592993,77.73992838,GOOD,GOOD,NO,,"MUDROAD, TAAR ROAD,NALA",PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73992838 9.592993, 77.74155491 9.5948865)"
125,T.NO-119,,DA,S,26,118-119,275.4087871,4.15,127,,9.5948865,77.74155491,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74155491 9.5948865, 77.74275086 9.59644006)"
126,T.NO-120,,DA,S,26,119-120,216.4000924,4.16,127,,9.59644006,77.74275086,GOOD,GOOD,NO,2nos LT,"2nos TAAR ROAD,2nos NALA",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74275086 9.59644006, 77.74413879 9.59809149)"
127,T.NO-121,,DB,T,24,120-121,238.0273094,5.12,122,"1°26'17.27""",9.59809149,77.74413879,GOOD,GOOD,NO,LT,"CANAL, POND",WATER LOGGED,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74413879 9.59809149, 77.74553664 9.59984221)"
128,T.NO-122,,DA,S,26,121-122,247.2427956,4.74,124,,9.59984221,77.74553664,GOOD,GOOD,NO,2nos LT,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74553664 9.59984221, 77.7467319 9.60130541)"
129,T.NO-123,,DA,S,26,122-123,208.4922061,4.64,122,,9.60130541,77.7467319,GOOD,GOOD,NO,LT,MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7467319 9.60130541, 77.74813014 9.60310128)"
130,T.NO-124,,DA,S,26,123-124,251.2050955,5.61,130,,9.60310128,77.74813014,GOOD,GOOD,NO,LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74813014 9.60310128, 77.74950902 9.60475274)"
131,T.NO-125,,DA,S,26,124-125,237.394187,3.46,131,,9.60475274,77.74950902,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74950902 9.60475274, 77.75098929 9.60655697)"
132,T.NO-126 LILO 110KV ERICHANATHAM,2W,DB,T,24,125-126,257.5305807,5.72,126,0,9.60655697,77.75098929,GOOD,GOOD,NO,,,PLAIN LAND,2 EARTH WIRE ON THIS TOWR 1.OUR LINE 2. ERICHANATHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75098929 9.60655697, 77.75253417 9.6084691)"
133,T.NO-127,,DA,S,26,126-127,271.2802978,4.96,122,,9.6084691,77.75253417,GOOD,GOOD,NO,LT,,PLAIN LAND,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75253417 9.6084691, 77.75386736 9.61009379)"
134,T.NO-128,,DA,S,26,127-128,231.918089,4.48,124,,9.61009379,77.75386736,GOOD,GOOD,NO,"LT,11KV",MUDROAD,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75386736 9.61009379, 77.75531068 9.61182601)"
135,T.NO-129,,DA,S,26,128-129,248.7930867,2.94,126,,9.61182601,77.75531068,GOOD,GOOD,NO,"LT,11KV",TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75531068 9.61182601, 77.75669947 9.61356769)"
136,T.NO-130,,DA,S,26,129-130,245.8393785,1.72,125,,9.61356769,77.75669947,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75669947 9.61356769, 77.75807881 9.61526426)"
137,T.NO-131,,DA,S,26,130-131,241.2902816,2.2,125,,9.61526426,77.75807881,GOOD,GOOD,NO,11KV,,WATER LOGGED,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75807881 9.61526426, 77.7592468 9.61671857)"
138,T.NO-132,,DA,S,26,131-132,205.8470306,3.22,125,,9.61671857,77.7592468,GOOD,GOOD,NO,,,WATER LOGGED,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7592468 9.61671857, 77.76009304 9.61778695)"
139,T.NO-1 LILO 110KV WATRAP,3W,DB,T,24,132-01,150.4160896,1.3,125,"1°22'37.61""",9.61778695,77.76009304,GOOD,GOOD,YES,,,WATER LOGGED,"INSIDE POND,COPPING DAMAGE,BUSHES       NEED 3 WAY JUNCTION BOX,2EARTH WIRE ON THIS TOWER 1.CONTINUE TO OUR FEEDER T.KALLUPATTI 2.WATRAP 110KV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76009304 9.61778695, 77.76192258 9.61998584)"
140,T.NO-133,,DA,S,26,01-133,315.6358661,1.6,127,,9.61998584,77.76192258,GOOD,GOOD,NO,,,WATER LOGGED,COPPING DAMAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76192258 9.61998584, 77.76362383 9.62207733)"
141,T.NO-134,,DA,S,26,133-134,297.5130249,2.06,124,,9.62207733,77.76362383,GOOD,GOOD,NO,,,WATER LOGGED,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76362383 9.62207733, 77.76504031 9.62385487)"
142,T.NO-135,,DA,S,26,134-135,250.8385935,2.31,129,,9.62385487,77.76504031,GOOD,GOOD,NO,,,PLAIN LAND,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76504031 9.62385487, 77.76645615 9.62555109)"
143,T.NO-136,,DA,S,26,135-136,243.7970467,2.64,130,,9.62555109,77.76645615,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76645615 9.62555109, 77.7680844 9.62761602)"
144,T.NO-137,,DB,T,24,136-137,290.2223286,2.88,129,"1°38'28.51""",9.62761602,77.7680844,GOOD,GOOD,NO,LT,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7680844 9.62761602, 77.76947267 9.6292763)"
145,T.NO-138,,DA,S,26,137-138,238.8011725,2.81,131,,9.6292763,77.76947267,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76947267 9.6292763, 77.77088922 9.6310538)"
146,T.NO-139,2W,DA,S,29,138-139,250.8385935,3.09,131,,9.6310538,77.77088922,GOOD,GOOD,NO,LT,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77088922 9.6310538, 77.77223118 9.63261505)"
147,T.NO-140,,DB,T,27,139-140,227.1387241,2.88,130,"1°41'43.59""",9.63261505,77.77223118,GOOD,GOOD,NO,"LT,11KV",TAARROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77223118 9.63261505, 77.77365509 9.63417564)"
148,T.NO-141,,DA,S,26,140-141,233.0257497,2.36,132,,9.63417564,77.77365509,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77365509 9.63417564, 77.77566025 9.63555987)"
149,T.NO-142,3W,DA,S,26,141-142,268.3020686,2.64,133,,9.63555987,77.77566025,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,            30˚< D-TYPE)                                          ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
