S. No ,Tower No,Supspension/Tenion,Tower type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
86,82,T,DD+0,28,81-82,317,7.15,305.426422,49°33'22''RT,10.0124,77.671,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.671 10.0124, 77.6736 10.0102)"
87,83,S,DA+0,26,82-83,306,5.38,308.573639,,10.0102,77.6736,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6736 10.0102, 77.6746 10.0079)"
88,84,S,DA+0,26,83-84,334,0.52,313.012908999999,,10.0079,77.6746,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6746 10.0079, 77.6763 10.0058)"
89,85,S,DA+0,26,84-85,293,0.69,318.041137999999,,10.0058,77.6763,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6763 10.0058, 77.6779 10.0038)"
90,86,S,DA+0,26,85-86,289,2.14,323.355225,,10.0038,77.6779,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6779 10.0038, 77.6796 10.0016)"
91,87,T,DB (TR),28,86-87,302,0.26,330.750336,10°51'59''RT,10.0016,77.6796,GOOD,AVAILABLE,,,Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6796 10.0016, 77.6817 9.99907)"
92,88,S,DA+0,26,87-88,362,2.03,363.903624999999,,9.99907,77.6817,GOOD,AVAILABLE,,,Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6817 9.99907, 77.6833 9.99703)"
93,89,S,DA+0,26,88-89,289,0.3,374.443817,,9.99703,77.6833,GOOD,AVAILABLE,,,Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6833 9.99703, 77.6845 9.99551)"
94,90,S,DA+0,26,89-90,214,0.75,382.874451,,9.99551,77.6845,GOOD,AVAILABLE,,,Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6845 9.99551, 77.6862 9.99338)"
95,91,S,DA+0,26,90-91,302,2.56,361.819640999999,,9.99338,77.6862,GOOD,AVAILABLE,,,Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6862 9.99338, 77.6881 9.99109)"
96,92,S,DA+0,26,91-92,326,0.5,352.074370999999,,9.99109,77.6881,GOOD,AVAILABLE,,,Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6881 9.99109, 77.6895 9.98925)"
97,93,S,DA+0,26,92-93,259,0.93,345.44339,,9.98925,77.6895,GOOD,AVAILABLE,,,Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6895 9.98925, 77.691 9.98744)"
98,94,S,DA+0,26,93-94,259,0.57,338.777435,,9.98744,77.691,GOOD,AVAILABLE,,,Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.691 9.98744, 77.6928 9.98513)"
99,95,T,DC+0,28,94-95,324,4.17,328.773773,12°17'7''LT,9.98513,77.6928,GOOD,AVAILABLE,,,Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6928 9.98513, 77.6948 9.9827)"
100,96,T,DB+0,28,95-96,343,0.26,366.794861,8°47'47''LT,9.9827,77.6948,GOOD,AVAILABLE,,RAILWAY CROSSING,Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6948 9.9827, 77.6968 9.98085)"
101,97,S,DA+0,26,96-97,300,0.65,344.055144999999,,9.98085,77.6968,GOOD,AVAILABLE,,,Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6968 9.98085, 77.6988 9.97891)"
102,98,S,DA+0,26,97-98,314,0.67,326.790893999999,,9.97891,77.6988,GOOD,AVAILABLE,,,Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6988 9.97891, 77.7008 9.97707)"
103,99,S,DA+0,26,98-99,300,5.34,315.848418999999,,9.97707,77.7008,GOOD,AVAILABLE,,,Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7008 9.97707, 77.7028 9.97521)"
104,100,S,DA+0,26,99-100,298,1.4,309.139190999999,,9.97521,77.7028,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7028 9.97521, 77.7048 9.97328)"
